fribbleID subjID learning task label rt resp trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10125 1459001 FL contingencyJudgement tob 2288 53 audio-slider-response 598 0 15 1 25 eeee barrel
10125 1459706 FL contingencyJudgement tob 2641 42 audio-slider-response 578 0 15 1 25 eeee barrel
10125 1431956 LF contingencyJudgement tob 3013 -55 audio-slider-response 597 0 14 1 25 eeee barrel
10125 1459701 LF contingencyJudgement bim 2537 54 audio-slider-response 601 0 15 1 25 eeee barrel
10125 1431979 FL contingencyJudgement bim 4899 47 audio-slider-response 582 0 14 1 25 eeee barrel
10125 1431953 FL contingencyJudgement tob 4052 100 audio-slider-response 616 0 14 1 25 eeee barrel
10125 1459043 LF contingencyJudgement dep 2411 -100 audio-slider-response 599 1 15 1 25 eeee barrel
10125 1431948 LF contingencyJudgement bim 2531 -100 audio-slider-response 615 0 14 1 25 eeee barrel
10125 1431981 LF contingencyJudgement tob 3720 -80 audio-slider-response 623 0 14 1 25 eeee barrel
10125 1459015 LF contingencyJudgement dep 3262 100 audio-slider-response 601 1 15 1 25 eeee barrel
10175 1431957 FL contingencyJudgement bim 2316 -77 audio-slider-response 596 0 14 1 75 aaaa jar
10175 1431968 LF contingencyJudgement tob 2209 -100 audio-slider-response 607 0 14 1 75 aaaa jar
10175 1431944 FL contingencyJudgement dep 2781 10 audio-slider-response 598 1 14 1 75 aaaa jar
10175 1432009 FL contingencyJudgement bim 2322 -100 audio-slider-response 616 0 14 1 75 aaaa jar
10175 1431984 FL contingencyJudgement bim 2438 -100 audio-slider-response 620 0 14 1 75 aaaa jar
10175 1458992 FL contingencyJudgement dep 2392 -27 audio-slider-response 624 1 15 1 75 aaaa jar
10175 1459767 FL contingencyJudgement bim 1779 -100 audio-slider-response 618 0 15 1 75 aaaa jar
10175 1459036 LF contingencyJudgement tob 3459 -100 audio-slider-response 619 0 15 1 75 aaaa jar
10175 1422470 LF contingencyJudgement tob 2968 84 audio-slider-response 627 0 14 1 75 aaaa jar
10175 1431959 LF contingencyJudgement dep 2341 100 audio-slider-response 609 1 14 1 75 aaaa jar
10225 1431978 FL contingencyJudgement bim 2310 -58 audio-slider-response 602 0 14 1 25 ffff barrel
10225 1459013 FL contingencyJudgement bim 2592 -28 audio-slider-response 596 0 15 1 25 ffff barrel
10225 1414945 FL contingencyJudgement bim 3344 13 audio-slider-response 620 0 14 1 25 ffff barrel
10225 1422678 LF contingencyJudgement bim 3605 -42 audio-slider-response 587 0 14 1 25 ffff barrel
10225 1431949 FL contingencyJudgement dep 2560 100 audio-slider-response 594 1 14 1 25 ffff barrel
10225 1431961 FL contingencyJudgement dep 4267 -96 audio-slider-response 578 1 14 1 25 ffff barrel
10225 1431981 LF contingencyJudgement tob 2619 -46 audio-slider-response 593 0 14 1 25 ffff barrel
10225 1432007 LF contingencyJudgement tob 1219 -99 audio-slider-response 609 0 14 1 25 ffff barrel
10225 1414937 FL contingencyJudgement dep 2309 27 audio-slider-response 604 1 14 1 25 ffff barrel
10225 1432301 LF contingencyJudgement bim 2645 -9 audio-slider-response 611 0 14 1 25 ffff barrel
10225 1431998 LF contingencyJudgement tob 3381 16 audio-slider-response 603 0 14 1 25 ffff barrel
10225 1415040 FL contingencyJudgement tob 2299 -100 audio-slider-response 616 0 14 1 25 ffff barrel
10225 1459001 FL contingencyJudgement tob 2189 27 audio-slider-response 612 0 15 1 25 ffff barrel
10225 1431970 LF contingencyJudgement tob 1570 -100 audio-slider-response 621 0 14 1 25 ffff barrel
10225 1459697 FL contingencyJudgement dep 4992 100 audio-slider-response 618 1 15 1 25 ffff barrel
10225 1431965 FL contingencyJudgement bim 4101 37 audio-slider-response 604 0 14 1 25 ffff barrel
10225 1422470 LF contingencyJudgement tob 3141 91 audio-slider-response 591 0 14 1 25 ffff barrel
10225 1458992 FL contingencyJudgement dep 3040 9 audio-slider-response 606 1 15 1 25 ffff barrel
10225 1431972 FL contingencyJudgement tob 2554 2 audio-slider-response 612 0 14 1 25 ffff barrel
10225 1431953 FL contingencyJudgement tob 2026 100 audio-slider-response 602 0 14 1 25 ffff barrel
10225 1420573 LF contingencyJudgement dep 2647 22 audio-slider-response 597 1 14 1 25 ffff barrel
10275 1431953 FL contingencyJudgement tob 3884 -29 audio-slider-response 598 0 14 1 75 abbb jar
10275 1458996 LF contingencyJudgement dep 3460 100 audio-slider-response 583 1 15 1 75 abbb jar
10275 1459702 FL contingencyJudgement bim 1179 -13 audio-slider-response 606 0 15 1 75 abbb jar
10275 1422473 LF contingencyJudgement dep 3080 54 audio-slider-response 619 1 14 1 75 abbb jar
