Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Correct,learningType,presentedImage,presentedLabel,response
1,1589724684797,17/05/2020 14:11:24,1589724685496,1,17/05/2020 15:11:25,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,fullscreen,0,3069,,,,,
2,1589724684891,17/05/2020 14:11:24,1589724685499,1,17/05/2020 15:11:25,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
3,1589724739714,17/05/2020 14:12:19,1589724740439,1,17/05/2020 15:12:20,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,NA,,,instructions,,instructions,1,58013,,,,,
4,1589724739775,17/05/2020 14:12:19,1589724740441,1,17/05/2020 15:12:20,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
5,1589724740635,17/05/2020 14:12:20,1589724741386,1,17/05/2020 15:12:21,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,2,58960,,,,,
6,1589724740713,17/05/2020 14:12:20,1589724741388,1,17/05/2020 15:12:21,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
7,1589724741579,17/05/2020 14:12:21,1589724742316,1,17/05/2020 15:12:22,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/LFbeb.mp3""]",,,,audio-keyboard-response,3,59890,,,,,
8,1589724741641,17/05/2020 14:12:21,1589724742317,1,17/05/2020 15:12:22,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
9,1589724742021,17/05/2020 14:12:22,1589724742756,1,17/05/2020 15:12:22,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/b1.jpg""]",,practiceTrials,,image-keyboard-response,4,60330,,LF,"[""/task/70033/56/asset/b1.jpg""]","[""/task/70033/56/asset/LFbeb.mp3""]",
10,1589724742100,17/05/2020 14:12:22,1589724742759,1,17/05/2020 15:12:22,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
11,1589724742963,17/05/2020 14:12:22,1589724743702,1,17/05/2020 15:12:23,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,5,61275,,,,,
12,1589724743026,17/05/2020 14:12:23,1589724743704,1,17/05/2020 15:12:23,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
13,1589724743979,17/05/2020 14:12:23,1589724744714,1,17/05/2020 15:12:24,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/LFzab.mp3""]",,,,audio-keyboard-response,6,62288,,,,,
14,1589724744042,17/05/2020 14:12:24,1589724744717,1,17/05/2020 15:12:24,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
15,1589724744422,17/05/2020 14:12:24,1589724745156,1,17/05/2020 15:12:25,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/b3.jpg""]",,practiceTrials,,image-keyboard-response,7,62730,,LF,"[""/task/70033/56/asset/b3.jpg""]","[""/task/70033/56/asset/LFzab.mp3""]",
16,1589724744487,17/05/2020 14:12:24,1589724745159,1,17/05/2020 15:12:25,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
17,1589724745362,17/05/2020 14:12:25,1589724746102,1,17/05/2020 15:12:26,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,8,63676,,,,,
18,1589724745440,17/05/2020 14:12:25,1589724746104,1,17/05/2020 15:12:26,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
19,1589724746275,17/05/2020 14:12:26,1589724747020,1,17/05/2020 15:12:27,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/LFpog.mp3""]",,,,audio-keyboard-response,9,64593,,,,,
20,1589724746339,17/05/2020 14:12:26,1589724747021,1,17/05/2020 15:12:27,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
21,1589724746729,17/05/2020 14:12:26,1589724747461,1,17/05/2020 15:12:27,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/b2.jpg""]",,practiceTrials,,image-keyboard-response,10,65034,,LF,"[""/task/70033/56/asset/b2.jpg""]","[""/task/70033/56/asset/LFpog.mp3""]",
22,1589724746792,17/05/2020 14:12:26,1589724747463,1,17/05/2020 15:12:27,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
23,1589724747668,17/05/2020 14:12:27,1589724748407,1,17/05/2020 15:12:28,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"<div style=""font-size:60px;"">+</div>",,,,html-keyboard-response,11,65981,,,,,
24,1589724747744,17/05/2020 14:12:27,1589724748409,1,17/05/2020 15:12:28,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
25,1589724748622,17/05/2020 14:12:28,1589724749367,1,17/05/2020 15:12:29,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/LFrad.mp3""]",,,,audio-keyboard-response,12,66940,,,,,
26,1589724748685,17/05/2020 14:12:28,1589724749369,1,17/05/2020 15:12:29,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
27,1589724749074,17/05/2020 14:12:29,1589724749809,1,17/05/2020 15:12:29,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,"[""/task/70033/56/asset/b4.jpg""]",,practiceTrials,,image-keyboard-response,13,67383,,LF,"[""/task/70033/56/asset/b4.jpg""]","[""/task/70033/56/asset/LFrad.mp3""]",
28,1589724749121,17/05/2020 14:12:29,1589724749811,1,17/05/2020 15:12:29,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
29,1589724780247,17/05/2020 14:13:00,1589724780975,1,17/05/2020 15:13:00,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,NA,,,instructions,,instructions,14,98549,,,,,
30,1589724780372,17/05/2020 14:13:00,1589724780977,1,17/05/2020 15:13:00,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
31,1589724782293,17/05/2020 14:13:02,1589724783016,1,17/05/2020 15:13:03,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,-1,[39],-1,randomDot,,rdk,15,100590,,,,,
32,1589724782357,17/05/2020 14:13:02,1589724783022,1,17/05/2020 15:13:03,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
33,1589724783685,17/05/2020 14:13:03,1589724784414,1,17/05/2020 15:13:04,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,886,[39],39,randomDot,,rdk,16,101987,1,,,,
34,1589724783746,17/05/2020 14:13:03,1589724784415,1,17/05/2020 15:13:04,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
35,1589724784904,17/05/2020 14:13:04,1589724785645,1,17/05/2020 15:13:05,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,726,[37],37,randomDot,,rdk,17,103219,1,,,,
36,1589724784965,17/05/2020 14:13:04,1589724785647,1,17/05/2020 15:13:05,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
37,1589724786185,17/05/2020 14:13:06,1589724786912,1,17/05/2020 15:13:06,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,760,[37],37,randomDot,,rdk,18,104485,1,,,,
38,1589724786247,17/05/2020 14:13:06,1589724786914,1,17/05/2020 15:13:06,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
39,1589724787513,17/05/2020 14:13:07,1589724788244,1,17/05/2020 15:13:08,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,828,[37],37,randomDot,,rdk,19,105818,1,,,,
40,1589724787575,17/05/2020 14:13:07,1589724788246,1,17/05/2020 15:13:08,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,,,,,,,,,,LF,,,
41,1589724788718,17/05/2020 14:13:08,1589724789461,1,17/05/2020 15:13:09,15519,13,task-q8hp,,4988624,BLIND,1414933,,complete,,5ec1456a35f26d02248ca7f1,computer,Desktop or Laptop,Windows 10,Firefox 76.0,1280x1024,1280x1024,,main exp,56,LF,712,[39],39,randomDot,,rdk,20,107035,1,,,,
