subjID learning frequency type label fribble fribbleCategory resp
1459706 FL low match dep_cat1 1.2 cat1 NA
1459706 FL low match bim_cat2 2.2 cat2 NA
1459706 FL low match tob_cat3 3.2 cat3 NA
1459706 FL low mismatch-type1 dep_cat1 2.2 cat2 27.75
1459706 FL low mismatch-type1 bim_cat2 3.2 cat3 -69
1459706 FL low mismatch-type1 tob_cat3 1.2 cat1 21.75
1459706 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459706 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459706 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431979 FL low match dep_cat1 1.2 cat1 NA
1431979 FL low match bim_cat2 2.2 cat2 NA
1431979 FL low match tob_cat3 3.2 cat3 NA
1431979 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431979 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431979 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431979 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1431979 FL low mismatch-type2 bim_cat2 1.2 cat1 -23.5
1431979 FL low mismatch-type2 tob_cat3 2.2 cat2 -100
1431953 FL low match dep_cat1 1.2 cat1 NA
1431953 FL low match bim_cat2 2.2 cat2 -49
1431953 FL low match tob_cat3 3.2 cat3 NA
1431953 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431953 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431953 FL low mismatch-type1 tob_cat3 1.2 cat1 85.25
1431953 FL low mismatch-type2 dep_cat1 3.2 cat3 -76.25
1431953 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431953 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431957 FL low match dep_cat1 1.2 cat1 NA
1431957 FL low match bim_cat2 2.2 cat2 NA
1431957 FL low match tob_cat3 3.2 cat3 NA
1431957 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431957 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431957 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431957 FL low mismatch-type2 dep_cat1 3.2 cat3 -44.75
1431957 FL low mismatch-type2 bim_cat2 1.2 cat1 -78.3333333333333
1431957 FL low mismatch-type2 tob_cat3 2.2 cat2 -12.75
1431984 FL low match dep_cat1 1.2 cat1 NA
1431984 FL low match bim_cat2 2.2 cat2 NA
1431984 FL low match tob_cat3 3.2 cat3 100
1431984 FL low mismatch-type1 dep_cat1 2.2 cat2 -100
1431984 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431984 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431984 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431984 FL low mismatch-type2 bim_cat2 1.2 cat1 -100
1431984 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1458992 FL low match dep_cat1 1.2 cat1 -1.25
1458992 FL low match bim_cat2 2.2 cat2 -45.25
1458992 FL low match tob_cat3 3.2 cat3 -55.5
1458992 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1458992 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1458992 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1458992 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1458992 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1458992 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459767 FL low match dep_cat1 1.2 cat1 NA
1459767 FL low match bim_cat2 2.2 cat2 NA
1459767 FL low match tob_cat3 3.2 cat3 NA
1459767 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459767 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459767 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459767 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1459767 FL low mismatch-type2 bim_cat2 1.2 cat1 -100
1459767 FL low mismatch-type2 tob_cat3 2.2 cat2 -100
1431978 FL low match dep_cat1 1.2 cat1 NA
1431978 FL low match bim_cat2 2.2 cat2 NA
1431978 FL low match tob_cat3 3.2 cat3 -51.5
1431978 FL low mismatch-type1 dep_cat1 2.2 cat2 -45.5
1431978 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431978 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431978 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431978 FL low mismatch-type2 bim_cat2 1.2 cat1 -69
1431978 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459013 FL low match dep_cat1 1.2 cat1 NA
1459013 FL low match bim_cat2 2.2 cat2 NA
1459013 FL low match tob_cat3 3.2 cat3 NA
1459013 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459013 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459013 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459013 FL low mismatch-type2 dep_cat1 3.2 cat3 -17.5
1459013 FL low mismatch-type2 bim_cat2 1.2 cat1 -14.25
1459013 FL low mismatch-type2 tob_cat3 2.2 cat2 -69
1414945 FL low match dep_cat1 1.2 cat1 NA
1414945 FL low match bim_cat2 2.2 cat2 NA
1414945 FL low match tob_cat3 3.2 cat3 NA
1414945 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1414945 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1414945 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1414945 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1414945 FL low mismatch-type2 bim_cat2 1.2 cat1 -23
1414945 FL low mismatch-type2 tob_cat3 2.2 cat2 38.25
1431949 FL low match dep_cat1 1.2 cat1 100
1431949 FL low match bim_cat2 2.2 cat2 100
1431949 FL low match tob_cat3 3.2 cat3 100
1431949 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431949 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431949 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431949 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431949 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431949 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431961 FL low match dep_cat1 1.2 cat1 -96.5
1431961 FL low match bim_cat2 2.2 cat2 73.25
1431961 FL low match tob_cat3 3.2 cat3 -98.5
1431961 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431961 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431961 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431961 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431961 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431961 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1414937 FL low match dep_cat1 1.2 cat1 23.5
1414937 FL low match bim_cat2 2.2 cat2 100
1414937 FL low match tob_cat3 3.2 cat3 100
1414937 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1414937 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1414937 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1414937 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1414937 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1414937 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1415040 FL low match dep_cat1 1.2 cat1 NA
1415040 FL low match bim_cat2 2.2 cat2 NA
1415040 FL low match tob_cat3 3.2 cat3 NA
1415040 FL low mismatch-type1 dep_cat1 2.2 cat2 -80.75
1415040 FL low mismatch-type1 bim_cat2 3.2 cat3 -100
1415040 FL low mismatch-type1 tob_cat3 1.2 cat1 -87.6666666666667
1415040 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1415040 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1415040 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459697 FL low match dep_cat1 1.2 cat1 100
1459697 FL low match bim_cat2 2.2 cat2 99.75
1459697 FL low match tob_cat3 3.2 cat3 100
1459697 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459697 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459697 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459697 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459697 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459697 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431965 FL low match dep_cat1 1.2 cat1 NA
1431965 FL low match bim_cat2 2.2 cat2 NA
1431965 FL low match tob_cat3 3.2 cat3 49
1431965 FL low mismatch-type1 dep_cat1 2.2 cat2 -19
1431965 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431965 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431965 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431965 FL low mismatch-type2 bim_cat2 1.2 cat1 21.75
1431965 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431972 FL low match dep_cat1 1.2 cat1 NA
1431972 FL low match bim_cat2 2.2 cat2 -24
1431972 FL low match tob_cat3 3.2 cat3 NA
1431972 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431972 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431972 FL low mismatch-type1 tob_cat3 1.2 cat1 -25.3333333333333
1431972 FL low mismatch-type2 dep_cat1 3.2 cat3 -63
1431972 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431972 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459702 FL low match dep_cat1 1.2 cat1 NA
1459702 FL low match bim_cat2 2.2 cat2 NA
1459702 FL low match tob_cat3 3.2 cat3 NA
1459702 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459702 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459702 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459702 FL low mismatch-type2 dep_cat1 3.2 cat3 -2.25
1459702 FL low mismatch-type2 bim_cat2 1.2 cat1 -18.5
1459702 FL low mismatch-type2 tob_cat3 2.2 cat2 -12.5
1422472 FL low match dep_cat1 1.2 cat1 3.33333333333333
1422472 FL low match bim_cat2 2.2 cat2 NA
1422472 FL low match tob_cat3 3.2 cat3 NA
1422472 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1422472 FL low mismatch-type1 bim_cat2 3.2 cat3 -79.6666666666667
1422472 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422472 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422472 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1422472 FL low mismatch-type2 tob_cat3 2.2 cat2 -100
1420622 FL low match dep_cat1 1.2 cat1 NA
1420622 FL low match bim_cat2 2.2 cat2 100
1420622 FL low match tob_cat3 3.2 cat3 NA
1420622 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1420622 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1420622 FL low mismatch-type1 tob_cat3 1.2 cat1 -69.5
1420622 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1420622 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1420622 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431969 FL low match dep_cat1 1.2 cat1 NA
1431969 FL low match bim_cat2 2.2 cat2 50
1431969 FL low match tob_cat3 3.2 cat3 NA
1431969 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431969 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431969 FL low mismatch-type1 tob_cat3 1.2 cat1 100
1431969 FL low mismatch-type2 dep_cat1 3.2 cat3 49.75
1431969 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431969 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1420163 FL low match dep_cat1 1.2 cat1 -57.25
1420163 FL low match bim_cat2 2.2 cat2 -14
1420163 FL low match tob_cat3 3.2 cat3 -15.5
1420163 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1420163 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1420163 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1420163 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1420163 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1420163 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459052 FL low match dep_cat1 1.2 cat1 NA
1459052 FL low match bim_cat2 2.2 cat2 NA
1459052 FL low match tob_cat3 3.2 cat3 NA
1459052 FL low mismatch-type1 dep_cat1 2.2 cat2 -81.75
1459052 FL low mismatch-type1 bim_cat2 3.2 cat3 14
1459052 FL low mismatch-type1 tob_cat3 1.2 cat1 -11.75
1459052 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459052 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459052 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431992 FL low match dep_cat1 1.2 cat1 NA
1431992 FL low match bim_cat2 2.2 cat2 NA
1431992 FL low match tob_cat3 3.2 cat3 NA
1431992 FL low mismatch-type1 dep_cat1 2.2 cat2 -100
1431992 FL low mismatch-type1 bim_cat2 3.2 cat3 -100
1431992 FL low mismatch-type1 tob_cat3 1.2 cat1 -100
1431992 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431992 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431992 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1420165 FL low match dep_cat1 1.2 cat1 NA
1420165 FL low match bim_cat2 2.2 cat2 NA
1420165 FL low match tob_cat3 3.2 cat3 NA
1420165 FL low mismatch-type1 dep_cat1 2.2 cat2 -100
1420165 FL low mismatch-type1 bim_cat2 3.2 cat3 -100
1420165 FL low mismatch-type1 tob_cat3 1.2 cat1 34
1420165 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1420165 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1420165 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1422679 FL low match dep_cat1 1.2 cat1 NA
1422679 FL low match bim_cat2 2.2 cat2 NA
1422679 FL low match tob_cat3 3.2 cat3 NA
1422679 FL low mismatch-type1 dep_cat1 2.2 cat2 -26
1422679 FL low mismatch-type1 bim_cat2 3.2 cat3 -82.75
1422679 FL low mismatch-type1 tob_cat3 1.2 cat1 -50
1422679 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422679 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1422679 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459003 FL low match dep_cat1 1.2 cat1 NA
1459003 FL low match bim_cat2 2.2 cat2 22.75
1459003 FL low match tob_cat3 3.2 cat3 NA
1459003 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459003 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459003 FL low mismatch-type1 tob_cat3 1.2 cat1 -23
1459003 FL low mismatch-type2 dep_cat1 3.2 cat3 84.5
1459003 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459003 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459064 FL low match dep_cat1 1.2 cat1 25.75
1459064 FL low match bim_cat2 2.2 cat2 NA
1459064 FL low match tob_cat3 3.2 cat3 NA
1459064 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459064 FL low mismatch-type1 bim_cat2 3.2 cat3 50
1459064 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459064 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459064 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459064 FL low mismatch-type2 tob_cat3 2.2 cat2 21
1432011 FL low match dep_cat1 1.2 cat1 67.25
1432011 FL low match bim_cat2 2.2 cat2 NA
1432011 FL low match tob_cat3 3.2 cat3 NA
1432011 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1432011 FL low mismatch-type1 bim_cat2 3.2 cat3 22
1432011 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
