resp subjID learning task fribbleID label rt trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10125 1422467 LF generalizationLP 10125_20125_30125_ tob 1174.96500001289 audio-button-response 556 0 14 1 25 eeee barrel
10125 1459702 FL generalizationLP 10125_21125_31225_ bim 1011 audio-button-response 413 0 15 1 25 eeee barrel
10125 1431944 FL generalizationLP 10125_20725_32225_ tob 909.650000001304 audio-button-response 425 0 14 1 25 eeee barrel
10125 1458992 FL generalizationLP 10125_21125_32425_ tob 2314.74999990314 audio-button-response 449 0 15 1 25 eeee barrel
10125 1431958 FL generalizationLP 10125_22125_31825_ dep 1047.25500000012 audio-button-response 423 1 14 1 25 eeee barrel
10125 1422675 FL generalizationLP 10125_20625_31225_ tob 1423.73499998939 audio-button-response 555 0 14 1 25 eeee barrel
10125 1420622 FL generalizationLP 10125_21825_31325_ dep 2385.07500011474 audio-button-response 547 1 14 1 25 eeee barrel
10125 1420573 LF generalizationLP 10125_21825_31325_ dep 1307 audio-button-response 444 1 14 1 25 eeee barrel
10125 1422477 FL generalizationLP 10125_22525_31225_ bim 1610.54500000319 audio-button-response 441 0 14 1 25 eeee barrel
10125 1420204 LF generalizationLP 10125_21225_31525_ tob 1991.19500000007 audio-button-response 544 0 14 1 25 eeee barrel
10125 1459708 FL generalizationLP 10125_20825_31125_ tob 2039.54999998678 audio-button-response 545 0 15 1 25 eeee barrel
10125 1422470 LF generalizationLP 10125_20225_31425_ tob 1142.25499995518 audio-button-response 418 0 14 1 25 eeee barrel
10175 1422473 LF generalizationLP 10175_20375_30875_ dep 1593.62999995938 audio-button-response 538 1 14 1 75 aaaa jar
10175 1415040 FL generalizationLP 10175_21975_30375_ dep 1031 audio-button-response 452 1 14 1 75 aaaa jar
10175 1422679 FL generalizationLP 10175_20975_31475_ dep 980.040000053123 audio-button-response 439 1 14 1 75 aaaa jar
10175 1420622 FL generalizationLP 10175_20575_32175_ dep 1533.08999957517 audio-button-response 545 1 14 1 75 aaaa jar
10175 1431999 LF generalizationLP 10175_20775_31975_ dep 1280.75500001432 audio-button-response 562 1 14 1 75 aaaa jar
10175 1459007 FL generalizationLP 10175_22375_31575_ dep 1668.80499990657 audio-button-response 419 1 15 1 75 aaaa jar
10175 1432003 LF generalizationLP 10175_21875_31075_ dep 2435 audio-button-response 422 1 14 1 75 aaaa jar
10175 1431969 FL generalizationLP 10175_21175_30675_ tob 1120 audio-button-response 567 0 14 1 75 aaaa jar
10175 1431942 LF generalizationLP 10175_22675_32075_ dep 1125.46999985352 audio-button-response 558 1 14 1 75 aaaa jar
10175 1420580 FL generalizationLP 10175_22775_31975_ dep 1534.97999999672 audio-button-response 419 1 14 1 75 aaaa jar
10175 1414937 FL generalizationLP 10175_21975_30575_ dep 1552.93000000529 audio-button-response 416 1 14 1 75 aaaa jar
10175 1414933 LF generalizationLP 10175_22775_31575_ dep 857 audio-button-response 415 1 14 1 75 aaaa jar
10175 1459078 LF generalizationLP 10175_21975_30875_ bim 1449.20000000007 audio-button-response 456 0 15 1 75 aaaa jar
10175 1420204 LF generalizationLP 10175_20375_32375_ dep 2105.08000000007 audio-button-response 576 1 14 1 75 aaaa jar
10175 1431965 FL generalizationLP 10175_21375_32075_ dep 2365 audio-button-response 441 1 14 1 75 aaaa jar
10175 1431961 FL generalizationLP 10175_22075_31975_ bim 930.144999991171 audio-button-response 427 0 14 1 75 aaaa jar
10175 1431979 FL generalizationLP 10175_22575_33575_ dep 2108 audio-button-response 565 1 14 1 75 aaaa jar
10175 1422681 LF generalizationLP 10175_23375_30975_ dep 1208.21499999869 audio-button-response 538 1 14 1 75 aaaa jar
10175 1432007 LF generalizationLP 10175_21875_32875_ dep 1486.48999999929 audio-button-response 536 1 14 1 75 aaaa jar
10225 1459048 FL generalizationLP 10225_21325_30125_ dep 224 audio-button-response 453 1 15 1 25 ffff barrel
10225 1422681 LF generalizationLP 10225_20525_31825_ tob 1673.75000000163 audio-button-response 564 0 14 1 25 ffff barrel
10225 1459003 FL generalizationLP 10225_21525_30725_ bim 2900.61499993317 audio-button-response 543 0 15 1 25 ffff barrel
10225 1459046 LF generalizationLP 10225_21525_32425_ dep 1458 audio-button-response 576 1 15 1 25 ffff barrel
10225 1459702 FL generalizationLP 10225_22125_31625_ bim 1466 audio-button-response 411 0 15 1 25 ffff barrel
10225 1422716 FL generalizationLP 10225_20425_32425_ bim 2148.10500014573 audio-button-response 543 0 14 1 25 ffff barrel
10225 1431968 LF generalizationLP 10225_20625_30725_ dep 1875.39500003913 audio-button-response 440 1 14 1 25 ffff barrel
10225 1459018 FL generalizationLP 10225_21725_31625_ tob 844.819999998435 audio-button-response 443 0 15 1 25 ffff barrel
10225 1459009 FL generalizationLP 10225_20725_31125_ tob 1092.07000000239 audio-button-response 573 0 15 1 25 ffff barrel
10225 1459078 LF generalizationLP 10225_20625_30825_ tob 1817.81999999995 audio-button-response 436 0 15 1 25 ffff barrel
10225 1420165 FL generalizationLP 10225_21425_31225_ dep 2053.72499994701 audio-button-response 407 1 14 1 25 ffff barrel
10275 1459057 FL generalizationLP 10275_21375_31275_ tob 1744.62499999936 audio-button-response 431 0 15 1 75 abbb jar
10275 1459020 LF generalizationLP 10275_22975_31275_ tob 1554.75000000023 audio-button-response 578 0 15 1 75 abbb jar
10275 1459001 FL generalizationLP 10275_20975_32375_ bim 1670.41999999492 audio-button-response 415 0 15 1 75 abbb jar
10275 1459109 LF generalizationLP 10275_22575_32375_ dep 1155.77499999199 audio-button-response 426 1 15 1 75 abbb jar
10275 1414937 FL generalizationLP 10275_23575_33075_ dep 1256.48499999079 audio-button-response 432 1 14 1 75 abbb jar
10275 1432075 FL generalizationLP 10275_22475_31575_ dep 2062.86000018008 audio-button-response 535 1 14 1 75 abbb jar
10275 1459708 FL generalizationLP 10275_20775_32575_ dep 1497.21500001033 audio-button-response 569 1 15 1 75 abbb jar
10275 1459029 FL generalizationLP 10275_21275_33375_ dep 1052.56999999983 audio-button-response 447 1 15 1 75 abbb jar
10275 1459046 LF generalizationLP 10275_23075_30675_ dep 1667 audio-button-response 562 1 15 1 75 abbb jar
10275 1431954 LF generalizationLP 10275_22075_31175_ bim 1049.44500001147 audio-button-response 536 0 14 1 75 abbb jar
10275 1431978 FL generalizationLP 10275_23375_33175_ bim 1939.74499999604 audio-button-response 443 0 14 1 75 abbb jar
10275 1459015 LF generalizationLP 10275_20175_33175_ tob 1617.66000004718 audio-button-response 450 0 15 1 75 abbb jar
10275 1459700 LF generalizationLP 10275_22975_33075_ dep 1654.45500001078 audio-button-response 556 1 15 1 75 abbb jar
10275 1459013 FL generalizationLP 10275_21275_33375_ bim 614 audio-button-response 569 0 15 1 75 abbb jar
10275 1420165 FL generalizationLP 10275_22475_31775_ dep 1946.34500000393 audio-button-response 437 1 14 1 75 abbb jar
10325 1431957 FL generalizationLP 10325_20925_32325_ tob 1691.23500000569 audio-button-response 557 0 14 1 25 efgf barrel
10325 1459047 FL generalizationLP 10325_20925_30625_ tob 2301.06500000693 audio-button-response 439 0 15 1 25 efgf barrel
10325 1415040 FL generalizationLP 10325_21725_31925_ dep 2222 audio-button-response 428 1 14 1 25 efgf barrel
10325 1431969 FL generalizationLP 10325_21925_30625_ tob 1094 audio-button-response 557 0 14 1 25 efgf barrel
10325 1431968 LF generalizationLP 10325_20225_30325_ dep 2282.83499996178 audio-button-response 434 1 14 1 25 efgf barrel
10325 1431966 LF generalizationLP 10325_20425_30625_ dep 1266.64000000164 audio-button-response 548 1 14 1 25 efgf barrel
10325 1422678 LF generalizationLP 10325_22025_31025_ tob 1427.51499999937 audio-button-response 558 0 14 1 25 efgf barrel
10325 1431948 LF generalizationLP 10325_21725_31825_ dep 1087 audio-button-response 548 1 14 1 25 efgf barrel
10325 1431961 FL generalizationLP 10325_20825_30125_ tob 1165.15499999514 audio-button-response 445 0 14 1 25 efgf barrel
10325 1422473 LF generalizationLP 10325_20425_30625_ tob 982.184999971651 audio-button-response 546 0 14 1 25 efgf barrel
10325 1431984 FL generalizationLP 10325_21025_32525_ dep 1208.44499999657 audio-button-response 571 1 14 1 25 efgf barrel
10325 1422675 FL generalizationLP 10325_20525_31925_ dep 1543.67499999353 audio-button-response 537 1 14 1 25 efgf barrel
