fribbleID,category,frequency,cueID,bodyShape,label
10175,1,75,aaaa,jar,dep
10275,1,75,abbb,jar,dep
10375,1,75,aaac,jar,dep
10475,1,75,bcbc,jar,dep
10575,1,75,baac,jar,dep
10675,1,75,cbcd,jar,dep
10775,1,75,ccbc,jar,dep
10875,1,75,abca,jar,dep
10975,1,75,acbc,jar,dep
11075,1,75,aaba,jar,dep
11175,1,75,cabb,jar,dep
11275,1,75,bbca,jar,dep
11375,1,75,aaca,jar,dep
11475,1,75,acaa,jar,dep
11575,1,75,bcac,jar,dep
11675,1,75,abac,jar,dep
11775,1,75,aaab,jar,dep
11875,1,75,baab,jar,dep
11975,1,75,caab,jar,dep
12075,1,75,ccaa,jar,dep
12175,1,75,bcaa,jar,dep
12275,1,75,bcca,jar,dep
12375,1,75,bbbc,jar,dep
12475,1,75,cabc,jar,dep
10125,1,25,eeee,barrel,dep
10225,1,25,ffff,barrel,dep
10325,1,25,efgf,barrel,dep
10425,1,25,fgfg,barrel,dep
10525,1,25,hfee,barrel,dep
10625,1,25,hffe,barrel,dep
10725,1,25,heef,barrel,dep
10825,1,25,eggg,barrel,dep
20175,2,75,aaaa,trunk,wug
20275,2,75,bbbb,trunk,wug
20375,2,75,cccb,trunk,wug
20475,2,75,cdbb,trunk,wug
20575,2,75,baaa,trunk,wug
20675,2,75,baac,trunk,wug
20775,2,75,acca,trunk,wug
20875,2,75,bdbc,trunk,wug
20975,2,75,ccca,trunk,wug
21075,2,75,accb,trunk,wug
21175,2,75,adcc,trunk,wug
21275,2,75,cdcc,trunk,wug
21375,2,75,cdab,trunk,wug
21475,2,75,aaab,trunk,wug
21575,2,75,bdba,trunk,wug
21675,2,75,aabb,trunk,wug
21775,2,75,caac,trunk,wug
21875,2,75,baca,trunk,wug
21975,2,75,babb,trunk,wug
22075,2,75,cabb,trunk,wug
22175,2,75,aaac,trunk,wug
22275,2,75,cdba,trunk,wug
22375,2,75,cdcb,trunk,wug
22475,2,75,aabc,trunk,wug
20125,2,25,eeee,jar,wug
20225,2,25,ffee,jar,wug
20325,2,25,ggff,jar,wug
20425,2,25,ffgg,jar,wug
20525,2,25,gffg,jar,wug
20625,2,25,efgf,jar,wug
20725,2,25,gegf,jar,wug
20825,2,25,egfe,jar,wug
30175,3,75,aaaa,barrel,tob
30275,3,75,abba,barrel,tob
30375,3,75,bccb,barrel,tob
30475,3,75,cccc,barrel,tob
30575,3,75,baab,barrel,tob
30675,3,75,caba,barrel,tob
30775,3,75,cccb,barrel,tob
30875,3,75,cbbc,barrel,tob
30975,3,75,cabc,barrel,tob
31075,3,75,bbbc,barrel,tob
31175,3,75,aabc,barrel,tob
31275,3,75,abbc,barrel,tob
31375,3,75,bcab,barrel,tob
31475,3,75,bacc,barrel,tob
31575,3,75,babc,barrel,tob
31675,3,75,aacc,barrel,tob
31775,3,75,bccc,barrel,tob
31875,3,75,bcca,barrel,tob
31975,3,75,bbca,barrel,tob
32075,3,75,baca,barrel,tob
32175,3,75,abac,barrel,tob
32275,3,75,caca,barrel,tob
32375,3,75,abcc,barrel,tob
32475,3,75,cbba,barrel,tob
30125,3,25,eeee,trunk,tob
30225,3,25,feff,trunk,tob
30325,3,25,gfee,trunk,tob
30425,3,25,fgff,trunk,tob
30525,3,25,efge,trunk,tob
30625,3,25,gggf,trunk,tob
30725,3,25,egef,trunk,tob
30825,3,25,gefe,trunk,tob
