Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
1,1596459400399,03/08/2020 12:56:40,1596459400264,1,03/08/2020 13:56:40,15519,20,questionnaire-mkjr,,6345027,BLIND,1798877,,complete,,5f280973aa663b07616d0420,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.111,360x640,980x1524,,Consent,6,LF,BEGIN QUESTIONNAIRE,
2,1596459460549,03/08/2020 12:57:40,1596459460454,1,03/08/2020 13:57:40,15519,20,questionnaire-mkjr,,6345027,BLIND,1798877,,complete,,5f280973aa663b07616d0420,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.111,640x360,980x429,,Consent,6,LF,q1,1
3,1596459460692,03/08/2020 12:57:40,1596459460458,1,03/08/2020 13:57:40,15519,20,questionnaire-mkjr,,6345027,BLIND,1798877,,complete,,5f280973aa663b07616d0420,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.111,640x360,980x429,,Consent,6,LF,q4,1
4,1596459460692,03/08/2020 12:57:40,1596459460458,1,03/08/2020 13:57:40,15519,20,questionnaire-mkjr,,6345027,BLIND,1798877,,complete,,5f280973aa663b07616d0420,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.111,640x360,980x429,,Consent,6,LF,q6,1
5,1596459460692,03/08/2020 12:57:40,1596459460459,1,03/08/2020 13:57:40,15519,20,questionnaire-mkjr,,6345027,BLIND,1798877,,complete,,5f280973aa663b07616d0420,computer,Desktop or Laptop,Linux x86_64,Chrome 84.0.4147.111,640x360,980x429,,Consent,6,LF,END QUESTIONNAIRE,60195
1,1596459675551,03/08/2020 13:01:15,1596459674696,1,03/08/2020 14:01:14,15519,20,questionnaire-mkjr,,6345073,BLIND,1798900,,complete,,5f280a86752ca7084fdd0688,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1440x900,1438x797,,Consent,6,FL,BEGIN QUESTIONNAIRE,
2,1596459722954,03/08/2020 13:02:02,1596459722139,1,03/08/2020 14:02:02,15519,20,questionnaire-mkjr,,6345073,BLIND,1798900,,complete,,5f280a86752ca7084fdd0688,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1918x977,,Consent,6,FL,q1,1
3,1596459723017,03/08/2020 13:02:03,1596459722141,1,03/08/2020 14:02:02,15519,20,questionnaire-mkjr,,6345073,BLIND,1798900,,complete,,5f280a86752ca7084fdd0688,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1918x977,,Consent,6,FL,q4,1
4,1596459723017,03/08/2020 13:02:03,1596459722141,1,03/08/2020 14:02:02,15519,20,questionnaire-mkjr,,6345073,BLIND,1798900,,complete,,5f280a86752ca7084fdd0688,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1918x977,,Consent,6,FL,q6,1
5,1596459723017,03/08/2020 13:02:03,1596459722141,1,03/08/2020 14:02:02,15519,20,questionnaire-mkjr,,6345073,BLIND,1798900,,complete,,5f280a86752ca7084fdd0688,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1918x977,,Consent,6,FL,END QUESTIONNAIRE,47445
