Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
1,1596621930949,05/08/2020 10:05:30,1596621930379,-4,05/08/2020 06:05:30,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,,,,,fullscreen,0,,,,,
2,1596621944192,05/08/2020 10:05:44,1596621943677,-4,05/08/2020 06:05:43,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,NA,,,instructions,,instructions,1,,,,,
3,1596621945228,05/08/2020 10:05:45,1596621944680,-4,05/08/2020 06:05:44,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a tob:,,learningBlock1,,html-keyboard-response,2,,,,,
4,1596621945539,05/08/2020 10:05:45,1596621945010,-4,05/08/2020 06:05:45,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide1.JPG,,,,image-keyboard-response,3,,,,,
5,1596621946556,05/08/2020 10:05:46,1596621946015,-4,05/08/2020 06:05:46,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,4,,/task/90393/10/asset/Slide1.JPG,This is a tob:,LF,
6,1596621947539,05/08/2020 10:05:47,1596621947020,-4,05/08/2020 06:05:47,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a wug:,,learningBlock1,,html-keyboard-response,5,,,,,
7,1596621947883,05/08/2020 10:05:47,1596621947352,-4,05/08/2020 06:05:47,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide2.JPG,,,,image-keyboard-response,6,,,,,
8,1596621948869,05/08/2020 10:05:48,1596621948355,-4,05/08/2020 06:05:48,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,7,,/task/90393/10/asset/Slide2.JPG,This is a wug:,LF,
9,1596621949883,05/08/2020 10:05:49,1596621949357,-4,05/08/2020 06:05:49,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,This is a bim:,,learningBlock1,,html-keyboard-response,8,,,,,
10,1596621950211,05/08/2020 10:05:50,1596621949687,-4,05/08/2020 06:05:49,15519,21,task-mmu4,,6368898,BLIND,1805884,,complete,,5f2a842ef40fa72ac8711c05,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,2560x1440,1707x960,,exp2_visual,10,LF,,/task/90393/10/asset/Slide3.JPG,,,,image-keyboard-response,9,,,,,
