Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response
1,1597392622165,14/08/2020 08:10:22,1597392630060,1,14/08/2020 09:10:30,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x1080,,exp2_visual,14,FL,,,,,,fullscreen,0,,,,,
2,1597392633338,14/08/2020 08:10:33,1597392641318,1,14/08/2020 09:10:41,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,NA,,,instructions,,instructions,1,,,,,
3,1597392633510,14/08/2020 08:10:33,1597392641504,1,14/08/2020 09:10:41,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,/task/90393/14/asset/Slide1.JPG,,,,image-keyboard-response,2,,,,,
4,1597392634688,14/08/2020 08:10:34,1597392642659,1,14/08/2020 09:10:42,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,That was a tob.,,learningBlock1,,html-keyboard-response,3,,,,,
5,1597392635657,14/08/2020 08:10:35,1597392643664,1,14/08/2020 09:10:43,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,4,,/task/90393/14/asset/Slide1.JPG,That was a tob.,FL,
6,1597392635843,14/08/2020 08:10:35,1597392643843,1,14/08/2020 09:10:43,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,/task/90393/14/asset/Slide2.JPG,,,,image-keyboard-response,5,,,,,
7,1597392637003,14/08/2020 08:10:37,1597392644997,1,14/08/2020 09:10:44,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,That was a wug.,,learningBlock1,,html-keyboard-response,6,,,,,
8,1597392638008,14/08/2020 08:10:38,1597392646000,1,14/08/2020 09:10:46,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,7,,/task/90393/14/asset/Slide2.JPG,That was a wug.,FL,
9,1597392638186,14/08/2020 08:10:38,1597392646179,1,14/08/2020 09:10:46,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,/task/90393/14/asset/Slide3.JPG,,,,image-keyboard-response,8,,,,,
10,1597392639327,14/08/2020 08:10:39,1597392647333,1,14/08/2020 09:10:47,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,That was a bim.,,learningBlock1,,html-keyboard-response,9,,,,,
11,1597392640342,14/08/2020 08:10:40,1597392648337,1,14/08/2020 09:10:48,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,10,,/task/90393/14/asset/Slide3.JPG,That was a bim.,FL,
12,1597392640513,14/08/2020 08:10:40,1597392648516,1,14/08/2020 09:10:48,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,/task/90393/14/asset/Slide4.JPG,,,,image-keyboard-response,11,,,,,
13,1597392641681,14/08/2020 08:10:41,1597392649670,1,14/08/2020 09:10:49,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,That was a dep.,,learningBlock1,,html-keyboard-response,12,,,,,
14,1597392642666,14/08/2020 08:10:42,1597392650674,1,14/08/2020 09:10:50,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,"<div style=""font-size:60px;""> </div>",,learningBlock1,,html-keyboard-response,13,,/task/90393/14/asset/Slide4.JPG,That was a dep.,FL,
15,1597392642884,14/08/2020 08:10:42,1597392650853,1,14/08/2020 09:10:50,15519,25,task-19t9,,6490448,BLIND,1851569,,complete,,5f3646b2ec8505695fcc9235,computer,Desktop or Laptop,Windows 7,Chrome 84.0.4147.125,1920x1080,1920x969,,exp2_visual,14,FL,,/task/90393/14/asset/Slide5.JPG,,,,image-keyboard-response,14,,,,,
