resp,subjID,learning,task,fribbleID,label,rt,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1846268,FL,labelPictures,1_2_3_7_,bim,1105.61500000767,html-button-response,536,0,10375,3,high,dep,blue,exp
1,1825245,FL,labelPictures,1_2_3_7_,bim,2435.90000004042,html-button-response,488,0,10375,3,high,dep,blue,exp
1,1845200,LF,labelPictures,1_2_3_7_,bim,2186.42500019632,html-button-response,560,0,10375,3,high,dep,blue,exp
1,1826924,LF,labelPictures,1_2_3_7_,bim,1640.86000001407,html-button-response,520,0,10375,3,high,dep,blue,exp
1,1839564,LF,labelPictures,1_2_3_7_,bim,2162,html-button-response,492,0,10375,3,high,dep,blue,exp
1,1823745,LF,labelPictures,1_2_3_7_,bim,529.279999987921,html-button-response,568,0,10375,3,high,dep,blue,exp
1,1805884,LF,labelPictures,1_2_3_7_,bim,2495.66499999491,html-button-response,574,0,10375,3,high,dep,blue,exp
1,1823768,LF,labelPictures,1_2_3_7_,bim,595.080000000889,html-button-response,562,0,10375,3,high,dep,blue,exp
1,1824285,LF,labelPictures,1_2_3_7_,bim,2740.25500000059,html-button-response,546,0,10375,3,high,dep,blue,exp
1,1823743,LF,labelPictures,1_2_3_7_,bim,290.090000024065,html-button-response,496,0,10375,3,high,dep,blue,exp
10,1800333,LF,labelPictures,14_53_10_37_,wug,1560.70499999984,html-button-response,496,1,100275,2,high,wug,purple,exp
10,1827631,FL,labelPictures,14_53_10_37_,wug,1300.59999998775,html-button-response,490,1,100275,2,high,wug,purple,exp
10,1803026,FL,labelPictures,14_53_10_37_,wug,1847.92500000913,html-button-response,554,1,100275,2,high,wug,purple,exp
10,1823770,FL,labelPictures,14_53_10_37_,wug,1492,html-button-response,496,1,100275,2,high,wug,purple,exp
10,1851604,LF,labelPictures,14_53_10_37_,wug,1277.82999980263,html-button-response,536,1,100275,2,high,wug,purple,exp
10,1803558,LF,labelPictures,14_53_10_37_,wug,2439.40999999177,html-button-response,538,1,100275,2,high,wug,purple,exp
10,1827036,LF,labelPictures,14_53_10_37_,wug,1053,html-button-response,506,1,100275,2,high,wug,purple,exp
10,1826960,LF,labelPictures,14_53_10_37_,wug,1499.83999994583,html-button-response,518,1,100275,2,high,wug,purple,exp
10,1823770,FL,labelPictures,14_53_10_37_,wug,1569,html-button-response,506,1,100275,2,high,wug,purple,exp
10,1824285,LF,labelPictures,14_53_10_37_,wug,905.249999999767,html-button-response,586,1,100275,2,high,wug,purple,exp
10,1851573,LF,labelPictures,14_53_10_37_,wug,1478.17499999655,html-button-response,590,1,100275,2,high,wug,purple,exp
10,1807564,LF,labelPictures,14_53_10_37_,wug,1088.44999998109,html-button-response,578,1,100275,2,high,wug,purple,exp
10,1826942,FL,labelPictures,14_53_10_37_,wug,2069.17500000051,html-button-response,512,1,100275,2,high,wug,purple,exp
10,1826948,FL,labelPictures,14_53_10_37_,wug,1460.46499998192,html-button-response,510,1,100275,2,high,wug,purple,exp
10,1825245,FL,labelPictures,14_53_10_37_,wug,2929.70000009518,html-button-response,582,1,100275,2,high,wug,purple,exp
10,1800346,LF,labelPictures,14_53_10_37_,wug,1545,html-button-response,576,1,100275,2,high,wug,purple,exp
10,1839499,FL,labelPictures,14_53_10_37_,wug,952.834999999963,html-button-response,576,1,100275,2,high,wug,purple,exp
10,1828968,LF,labelPictures,14_53_10_37_,wug,2384.09499987029,html-button-response,576,1,100275,2,high,wug,purple,exp
10,1807533,LF,labelPictures,14_53_10_37_,wug,1183.39000013657,html-button-response,506,1,100275,2,high,wug,purple,exp
10,1851569,FL,labelPictures,14_53_10_37_,wug,986.999999999884,html-button-response,574,1,100275,2,high,wug,purple,exp
10,1826947,FL,labelPictures,14_53_10_37_,wug,1068.70999990497,html-button-response,492,1,100275,2,high,wug,purple,exp
10,1826939,LF,labelPictures,14_53_10_37_,wug,1687.74500000291,html-button-response,536,1,100275,2,high,wug,purple,exp
10,1828971,FL,labelPictures,14_53_10_37_,wug,1758,html-button-response,570,1,100275,2,high,wug,purple,exp
10,1851604,LF,labelPictures,14_10_6_12_,bim,985.249999910593,html-button-response,578,0,100275,2,high,wug,purple,exp
10,1826533,FL,labelPictures,14_53_10_37_,wug,991.159999975935,html-button-response,554,1,100275,2,high,wug,purple,exp
10,1805848,LF,labelPictures,14_53_10_37_,wug,2017.96500000008,html-button-response,594,1,100275,2,high,wug,purple,exp
10,1803466,LF,labelPictures,14_53_10_37_,wug,2506.16500002798,html-button-response,496,1,100275,2,high,wug,purple,exp
10,1802093,LF,labelPictures,14_53_10_37_,wug,1204.07499998691,html-button-response,500,1,100275,2,high,wug,purple,exp
10,1802184,FL,labelPictures,14_53_10_37_,wug,2519.99999998952,html-button-response,514,1,100275,2,high,wug,purple,exp
10,1826934,FL,labelPictures,14_53_10_37_,wug,810.540000000386,html-button-response,514,1,100275,2,high,wug,purple,exp
10,1823768,LF,labelPictures,14_53_10_37_,wug,1793.89000000083,html-button-response,532,1,100275,2,high,wug,purple,exp
10,1827631,FL,labelPictures,14_10_6_12_,bim,1311.50000001071,html-button-response,588,0,100275,2,high,wug,purple,exp
10,1825231,LF,labelPictures,14_53_10_37_,wug,1639.09499999863,html-button-response,508,1,100275,2,high,wug,purple,exp
10,1824289,LF,labelPictures,14_53_10_37_,wug,1763.45500000753,html-button-response,592,1,100275,2,high,wug,purple,exp
10,1845984,LF,labelPictures,14_53_10_37_,wug,1185.66000000283,html-button-response,546,1,100275,2,high,wug,purple,exp
10,1802117,LF,labelPictures,14_53_10_37_,wug,1728,html-button-response,496,1,100275,2,high,wug,purple,exp
10,1802360,FL,labelPictures,14_53_10_37_,wug,914.099999999977,html-button-response,512,1,100275,2,high,wug,purple,exp
10,1802088,FL,labelPictures,14_53_10_37_,wug,1241.56500000024,html-button-response,508,1,100275,2,high,wug,purple,exp
10,1802164,LF,labelPictures,14_53_10_37_,wug,1607.19999999984,html-button-response,566,1,100275,2,high,wug,purple,exp
10,1805884,LF,labelPictures,14_53_10_37_,wug,1057.88999999641,html-button-response,516,1,100275,2,high,wug,purple,exp
10,1845983,FL,labelPictures,14_53_10_37_,wug,1120,html-button-response,590,1,100275,2,high,wug,purple,exp
10,1826946,FL,labelPictures,14_10_6_12_,bim,1530.60999999975,html-button-response,514,0,100275,2,high,wug,purple,exp
10,1826934,FL,labelPictures,14_53_10_37_,wug,1212.28000000154,html-button-response,500,1,100275,2,high,wug,purple,exp
10,1845993,FL,labelPictures,14_53_10_37_,wug,1119.39999996684,html-button-response,594,1,100275,2,high,wug,purple,exp
10,1798885,LF,labelPictures,14_53_10_37_,wug,2256.90000003669,html-button-response,562,1,100275,2,high,wug,purple,exp
10,1845984,LF,labelPictures,14_53_10_37_,wug,1372.10500000219,html-button-response,550,1,100275,2,high,wug,purple,exp
10,1826950,LF,labelPictures,14_53_10_37_,wug,1979.77499989793,html-button-response,528,1,100275,2,high,wug,purple,exp
10,1828957,LF,labelPictures,14_53_10_37_,wug,1516.54499996221,html-button-response,586,1,100275,2,high,wug,purple,exp
10,1851574,LF,labelPictures,14_53_10_37_,wug,860.845000017434,html-button-response,510,1,100275,2,high,wug,purple,exp
10,1852241,LF,labelPictures,14_53_10_37_,wug,867,html-button-response,508,1,100275,2,high,wug,purple,exp
10,1826932,FL,labelPictures,14_53_10_37_,wug,2357.08999999764,html-button-response,490,1,100275,2,high,wug,purple,exp
10,1846268,FL,labelPictures,14_53_10_37_,wug,2083.86000012979,html-button-response,488,1,100275,2,high,wug,purple,exp
10,1805817,FL,labelPictures,14_53_10_37_,wug,1793.85000001639,html-button-response,562,1,100275,2,high,wug,purple,exp
10,1839503,FL,labelPictures,14_53_10_37_,wug,1216,html-button-response,588,1,100275,2,high,wug,purple,exp
10,1825229,FL,labelPictures,14_53_10_37_,wug,753,html-button-response,544,1,100275,2,high,wug,purple,exp
10,1823763,FL,labelPictures,14_53_10_37_,wug,1735.12500000652,html-button-response,534,1,100275,2,high,wug,purple,exp
10,1828971,FL,labelPictures,14_53_10_37_,wug,1092,html-button-response,500,1,100275,2,high,wug,purple,exp
10,1839503,FL,labelPictures,14_53_10_37_,wug,1157,html-button-response,548,1,100275,2,high,wug,purple,exp
10,1845205,FL,labelPictures,14_53_10_37_,wug,2262.2450000199,html-button-response,532,1,100275,2,high,wug,purple,exp
10,1803482,LF,labelPictures,14_53_10_37_,wug,938.524999888614,html-button-response,550,1,100275,2,high,wug,purple,exp
10,1803026,FL,labelPictures,14_53_10_37_,wug,2655.84000002127,html-button-response,552,1,100275,2,high,wug,purple,exp
10,1845198,FL,labelPictures,14_53_10_37_,wug,2350.59500000038,html-button-response,504,1,100275,2,high,wug,purple,exp
10,1839502,LF,labelPictures,14_53_10_37_,wug,1230.45000000088,html-button-response,506,1,100275,2,high,wug,purple,exp
10,1851569,FL,labelPictures,14_53_10_37_,wug,1732,html-button-response,486,1,100275,2,high,wug,purple,exp
10,1802090,FL,labelPictures,14_53_10_37_,wug,2054.29000000004,html-button-response,492,1,100275,2,high,wug,purple,exp
10,1807562,FL,labelPictures,14_53_10_37_,wug,1573.73500009999,html-button-response,546,1,100275,2,high,wug,purple,exp
10,1823770,FL,labelPictures,14_53_10_37_,wug,1663,html-button-response,532,1,100275,2,high,wug,purple,exp
10,1826932,FL,labelPictures,14_53_10_37_,wug,1875.57000000379,html-button-response,574,1,100275,2,high,wug,purple,exp
10,1824046,FL,labelPictures,14_53_10_37_,wug,1419.83999998774,html-button-response,558,1,100275,2,high,wug,purple,exp
10,1823789,LF,labelPictures,14_53_10_37_,wug,1977.62499999953,html-button-response,530,1,100275,2,high,wug,purple,exp
10,1826938,LF,labelPictures,14_53_10_37_,wug,2971.54499997851,html-button-response,560,1,100275,2,high,wug,purple,exp
