fribbleID,subjID,learning,task,label,rt,resp,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1798900,FL,pictureLabels,tobdepwugbim,3443.10000000405,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803472,FL,pictureLabels,tobdepwugbim,1762.83999999589,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826954,LF,pictureLabels,tobdepwugbim,1910,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1829020,FL,pictureLabels,tobdepwugbim,2555,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846359,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1826937,LF,pictureLabels,tobdepwugbim,1720,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1825226,LF,pictureLabels,tobdepwugbim,2934.40999998711,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1824300,FL,pictureLabels,tobdepwugbim,1875.03499997547,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1810084,LF,pictureLabels,tobdepwugbim,1353.81000000052,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1799963,FL,pictureLabels,tobdepwugbim,1551.7300000065,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803469,FL,pictureLabels,tobdepwugbim,3497.04000000202,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1826930,LF,pictureLabels,tobdepwugbim,1317.93999997899,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1828953,FL,pictureLabels,tobdepwugbim,2278.78000000055,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846353,FL,pictureLabels,tobdepwugbim,1984,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826929,LF,pictureLabels,tobdepwugbim,2103,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1824287,LF,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1823786,FL,pictureLabels,tobdepwugbim,1749.1750000008,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1800335,LF,pictureLabels,tobdepwugbim,3067.48500000685,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1800348,FL,pictureLabels,tobdepwugbim,2024.32500000577,bim,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1803489,FL,pictureLabels,tobdepwugbim,1753,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846355,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1851493,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1846262,LF,pictureLabels,tobdepwugbim,1592.75499987416,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826538,LF,pictureLabels,tobdepwugbim,1790.53499997826,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846250,FL,pictureLabels,tobdepwugbim,1433.99499999941,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1823744,FL,pictureLabels,tobdepwugbim,1549.04499999247,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802216,LF,pictureLabels,tobdepwugbim,2714,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802104,FL,pictureLabels,tobdepwugbim,2412.09499980323,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803490,FL,pictureLabels,tobdepwugbim,2339.24500001012,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
