Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,learningProcedure,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Correct,presentedImage,presentedLabel,learningType,response,examID
1,1603186988000,20/10/2020 09:43:08,1603186989025,1,20/10/2020 10:43:09,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,NA,,,instructions,,instructions,0,,,,,,vlbgw
2,1603186988976,20/10/2020 09:43:08,1603186990073,1,20/10/2020 10:43:10,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,null,"<div style=""font-size:60px;"">+</div>",null,,,html-keyboard-response,1,,,,,,vlbgw
3,1603186991257,20/10/2020 09:43:11,1603186992359,1,20/10/2020 10:43:12,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,2274.84500000719,"[""dep""]",/task/129839/2/asset/6.JPG,labelPictures,,html-button-response,2,,"[""/task/129839/2/asset/6.JPG"",""/task/129839/2/asset/3.JPG"",""/task/129839/2/asset/36.JPG"",""/task/129839/2/asset/44.JPG""]","[""dep""]",FL,,vlbgw
4,1603186992273,20/10/2020 09:43:12,1603186993372,1,20/10/2020 10:43:13,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,null,"<div style=""font-size:60px;"">+</div>",null,,,html-keyboard-response,3,,,,,,vlbgw
5,1603186994774,20/10/2020 09:43:14,1603186995878,1,20/10/2020 10:43:15,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,2497.0250000042142,"[""tob""]",/task/129839/2/asset/44.JPG,labelPictures,,html-button-response,4,,"[""/task/129839/2/asset/44.JPG"",""/task/129839/2/asset/47.JPG"",""/task/129839/2/asset/51.JPG"",""/task/129839/2/asset/49.JPG""]","[""tob""]",FL,,vlbgw
6,1603186995821,20/10/2020 09:43:15,1603186996902,1,20/10/2020 10:43:16,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,null,"<div style=""font-size:60px;"">+</div>",null,,,html-keyboard-response,5,,,,,,vlbgw
7,1603186997726,20/10/2020 09:43:17,1603186998817,1,20/10/2020 10:43:18,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,1904.4399999984307,"[""dep""]",/task/129839/2/asset/51.JPG,labelPictures,,html-button-response,6,,"[""/task/129839/2/asset/9.JPG"",""/task/129839/2/asset/21.JPG"",""/task/129839/2/asset/30.JPG"",""/task/129839/2/asset/51.JPG""]","[""dep""]",FL,,vlbgw
8,1603186998789,20/10/2020 09:43:18,1603186999833,1,20/10/2020 10:43:19,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,null,"<div style=""font-size:60px;"">+</div>",null,,,html-keyboard-response,7,,,,,,vlbgw
9,1603187000024,20/10/2020 09:43:20,1603187001128,1,20/10/2020 10:43:21,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,1286.0749999963446,"[""bim""]",/task/129839/2/asset/2.JPG,labelPictures,,html-button-response,8,,"[""/task/129839/2/asset/1.JPG"",""/task/129839/2/asset/2.JPG"",""/task/129839/2/asset/3.JPG"",""/task/129839/2/asset/7.JPG""]","[""bim""]",FL,,vlbgw
10,1603187001311,20/10/2020 09:43:21,1603187002142,1,20/10/2020 10:43:22,28739,2,task-95gb,,7327985,,2138447,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1600x900,1778x841,,exp2_visual_testing,2,LF,FL,null,"<div style=""font-size:60px;"">+</div>",null,,,html-keyboard-response,9,,,,,,vlbgw
