"trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","attention","distraction","conscientious","prolificID","success","rt","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response","responses"
"pavlovia","0","255","0.0-0.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","","","","","","","","","","","","","","",""
"fullscreen","1","1925698","0.0-1.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","true","","","","","","","","","","","","","","",""
"external-html","2","1966239","0.0-2.0-0.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","40326.714999973774","text/information_english.html","","","","","","","","","","","","",""
"external-html","3","1990309","0.0-2.0-1.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","24006.1299999943","text/consent_english.html","","","","","","","","","","","","",""
"instructions","4","2049333","0.0-3.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","NA","","[{""page_index"":0,""viewing_time"":26493.020000023535},{""page_index"":1,""viewing_time"":32525.82499998971}]","instructions","","","","","","","","","","",""
"resize","5","2108111","0.0-4.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","","","","","","364","2.311111111111111","","","","","","","",""
"image-keyboard-response","6","2108289","0.0-5.0-0.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide1.JPG","null","","","","","",""
"html-keyboard-response","7","2109442","0.0-5.0-1.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","8","2110444","0.0-5.0-2.0","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","","",""
"image-keyboard-response","9","2110623","0.0-5.0-0.1","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide2.JPG","null","","","","","",""
"html-keyboard-response","10","2111775","0.0-5.0-1.1","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","11","2112777","0.0-5.0-2.1","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","","",""
"image-keyboard-response","12","2112955","0.0-5.0-0.2","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide3.JPG","null","","","","","",""
"html-keyboard-response","13","2114108","0.0-5.0-1.2","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","14","2115111","0.0-5.0-2.2","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","","",""
"image-keyboard-response","15","2115290","0.0-5.0-0.3","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide4.JPG","null","","","","","",""
"html-keyboard-response","16","2116443","0.0-5.0-1.3","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","17","2117445","0.0-5.0-2.3","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","","",""
"image-keyboard-response","18","2117622","0.0-5.0-0.4","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide5.JPG","null","","","","","",""
"html-keyboard-response","19","2118775","0.0-5.0-1.4","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","20","2119777","0.0-5.0-2.4","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","","",""
"image-keyboard-response","21","2119954","0.0-5.0-0.5","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide6.JPG","null","","","","","",""
"html-keyboard-response","22","2121108","0.0-5.0-1.5","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","23","2122111","0.0-5.0-2.5","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","","",""
"image-keyboard-response","24","2122288","0.0-5.0-0.6","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide7.JPG","null","","","","","",""
"html-keyboard-response","25","2123441","0.0-5.0-1.6","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","26","2124444","0.0-5.0-2.6","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","","",""
"image-keyboard-response","27","2124622","0.0-5.0-0.7","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide8.JPG","null","","","","","",""
"html-keyboard-response","28","2125773","0.0-5.0-1.7","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","29","2126775","0.0-5.0-2.7","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","","",""
"image-keyboard-response","30","2126953","0.0-5.0-0.8","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide9.JPG","null","","","","","",""
"html-keyboard-response","31","2128106","0.0-5.0-1.8","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
"html-keyboard-response","32","2129108","0.0-5.0-2.8","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","","",""
"image-keyboard-response","33","2129286","0.0-5.0-0.9","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide10.JPG","null","","","","","",""
"html-keyboard-response","34","2130438","0.0-5.0-1.9","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","35","2131441","0.0-5.0-2.9","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","","",""
"image-keyboard-response","36","2131620","0.0-5.0-0.10","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide11.JPG","null","","","","","",""
"html-keyboard-response","37","2132773","0.0-5.0-1.10","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a tob.","null","","","","","",""
"html-keyboard-response","38","2133775","0.0-5.0-2.10","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","","",""
"image-keyboard-response","39","2133953","0.0-5.0-0.11","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide12.JPG","null","","","","","",""
"html-keyboard-response","40","2135105","0.0-5.0-1.11","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a dep.","null","","","","","",""
"html-keyboard-response","41","2136107","0.0-5.0-2.11","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","","",""
"image-keyboard-response","42","2136284","0.0-5.0-0.12","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide13.JPG","null","","","","","",""
"html-keyboard-response","43","2137436","0.0-5.0-1.12","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a bim.","null","","","","","",""
"html-keyboard-response","44","2138439","0.0-5.0-2.12","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","","",""
"image-keyboard-response","45","2138616","0.0-5.0-0.13","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","","","","","learning/Slide14.JPG","null","","","","","",""
"html-keyboard-response","46","2139768","0.0-5.0-1.13","FL","xtbpfv8d5p","1920","1080","0","1","0","5fbade0c4594d6b7c7d96ca9","","null","","","learningBlock1","","","","That was a wug.","null","","","","","",""
