,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
(Intercept),0.754,0.1163,6.4819,0,39,NA,N,N,51
correctFrequency.ct,-3.9388,0.222,-17.7403,0,39,4.21E+66,N,N,51
learning.ct,-0.141,0.218,-0.647,0.5177,39,0.205767038,N,N,51
correctFrequency.ct:learning.ct,-0.0033,0.4141,-0.008,0.9936,39,0.372082933,N,N,51
correctFrequencyhigh:learning.ct,-0.1394,0.3426,-0.4069,0.6841,39,0.211027825,N,N,51
correctFrequencylow:learning.ct,-0.1427,0.2524,-0.5653,0.5719,39,0.143149591,N,N,51
(Intercept)1,0.8234,0.3163,2.6033,0.0092,179,NA,N,N,51
correctFrequency.ct1,-4.0748,0.7417,-5.4936,0,179,256933.086,N,N,51
learning.ct1,-0.0418,0.5855,-0.0714,0.9431,179,0.636991029,N,N,51
correctFrequency.ct:learning.ct1,-0.8464,1.4048,-0.6025,0.5468,179,0.620863148,N,N,51
correctFrequencyhigh:learning.ct1,-0.9526,0.8926,-1.0672,0.2859,179,0.343361863,N,N,51
correctFrequencylow:learning.ct1,-1.128,0.4809,-2.3454,0.019,179,0.120948092,N,N,51
(Intercept)2,0.8381,0.427,1.9626,0.0497,159,NA,N,N,51
correctFrequency.ct2,-4.7536,0.966,-4.921,0,159,9343.570018,N,N,51
learning.ct2,0.3775,0.7594,0.4972,0.6191,159,0.999483288,N,N,51
correctFrequency.ct:learning.ct2,0.276,1.7657,0.1563,0.8758,159,0.921012256,N,N,51
correctFrequencyhigh:learning.ct2,0.3814,1.0854,0.3514,0.7253,159,0.843177568,N,N,51
correctFrequencylow:learning.ct2,-0.465,0.7033,-0.6612,0.5085,159,0.344255215,N,N,51
(Intercept)3,0.6671,0.457,1.4597,0.1444,139,NA,N,N,51
correctFrequency.ct3,-3.0497,0.6125,-4.979,0,139,39528.62445,N,N,51
learning.ct3,-0.4011,0.9016,-0.4449,0.6564,139,0.662794319,N,N,51
correctFrequency.ct:learning.ct3,0.5397,1.1919,0.4528,0.6507,139,0.974623916,N,N,51
correctFrequencyhigh:learning.ct3,0.2396,1.2171,0.1968,0.844,139,0.804119575,N,N,51
correctFrequencylow:learning.ct3,0.5155,1.1096,0.4646,0.6422,139,0.917803942,N,N,51
(Intercept)4,0.3386,0.3474,0.9747,0.3297,119,NA,N,N,51
correctFrequency.ct4,-4.25,0.7801,-5.4481,0,119,176252.1926,N,N,51
learning.ct4,-1.3296,0.66,-2.0146,0.0439,119,0.302342953,N,N,51
correctFrequency.ct:learning.ct4,1.5774,1.5118,1.0434,0.2967,119,1.416428471,N,N,51
correctFrequencyhigh:learning.ct4,-0.6709,0.9713,-0.6908,0.4897,119,0.43618976,N,N,51
correctFrequencylow:learning.ct4,-0.1312,1.1802,-0.1112,0.9115,119,0.665580893,N,N,51
(Intercept)5,0.5571,0.277,2.0108,0.0443,99,NA,N,N,51
correctFrequency.ct5,-3.4683,0.5694,-6.0913,0,99,11161612.33,N,N,51
learning.ct5,0.3816,0.5382,0.7091,0.4783,99,1.041596695,N,N,51
correctFrequency.ct:learning.ct5,-1.3442,1.1079,-1.2133,0.225,99,0.422250987,N,N,51
correctFrequencyhigh:learning.ct5,-2.1183,0.7651,-2.7687,0.0056,99,0.164722871,N,N,51
correctFrequencylow:learning.ct5,-0.5409,1.1952,-0.4526,0.6509,99,0.562646464,N,N,51
(Intercept)6,0.6659,0.3905,1.7053,0.0881,79,NA,N,N,51
correctFrequency.ct6,-2.4921,0.7232,-3.4461,6.00E-04,79,119.5694989,N,N,51
learning.ct6,1.5805,0.7455,2.1201,0.034,79,3.692984309,N,N,51
correctFrequency.ct:learning.ct6,0.2249,1.3798,0.163,0.8705,79,0.867971037,N,N,51
correctFrequencyhigh:learning.ct6,1.0537,1.0025,1.0511,0.2932,79,1.406340789,N,N,51
correctFrequencylow:learning.ct6,-0.2905,0.4339,-0.6695,0.5032,79,0.224285616,N,N,51
(Intercept)7,0.3723,0.2869,1.2976,0.1944,59,NA,N,N,51
correctFrequency.ct7,-3.4201,0.4588,-7.4542,0,59,92297537554,N,N,51
learning.ct7,-0.1296,0.5571,-0.2326,0.816,59,0.563707034,N,N,51
correctFrequency.ct:learning.ct7,-0.3553,0.878,-0.4046,0.6857,59,0.516649241,N,N,51
correctFrequencyhigh:learning.ct7,1.4124,1.2221,1.1557,0.2478,59,1.565544437,N,N,51
correctFrequencylow:learning.ct7,1.692,0.5973,2.8326,0.0046,59,21.85556572,N,N,51
(Intercept)8,1.2371,0.23,5.379,0,39,NA,N,N,51
correctFrequency.ct8,-4.2852,0.5533,-7.7446,0,39,3.71E+11,N,N,51
learning.ct8,-1.1001,0.3812,-2.8857,0.0039,39,0.143135542,N,N,51
correctFrequency.ct:learning.ct8,-0.3407,0.9834,-0.3465,0.729,39,0.572441185,N,N,51
correctFrequencyhigh:learning.ct8,0.048,0.826,0.0581,0.9536,39,0.596716086,N,N,51
correctFrequencylow:learning.ct8,-0.3072,0.5689,-0.54,0.5892,39,0.307713498,N,N,51
(Intercept)9,0.6962,0.2455,2.836,0.0046,19,NA,N,N,51
correctFrequency.ct9,-4.7081,0.5664,-8.3117,0,19,2.02E+13,N,N,51
learning.ct9,-0.9654,0.4402,-2.1933,0.0283,19,0.201139185,N,N,51
correctFrequency.ct:learning.ct9,0.5055,1.0529,0.4801,0.6311,19,0.955215984,N,N,51
correctFrequencyhigh:learning.ct9,-0.9297,0.7774,-1.196,0.2317,19,0.289438368,N,N,51
correctFrequencylow:learning.ct9,-1.2704,0.4119,-3.0844,0.002,19,0.083980373,N,N,51
11,NA,NA,NA,NA,NA,NA,NA,NA,52
(Intercept)10,0.9505,0.2791,3.4061,7.00E-04,179,NA,N,N,52
correctFrequency.ct10,-3.2688,0.575,-5.6847,0,179,1273136.429,N,N,52
learning.ct10,-0.2025,0.5352,-0.3783,0.7052,179,0.506612419,N,N,52
correctFrequency.ct:learning.ct10,0.6094,1.1066,0.5507,0.5819,179,1.015045443,N,N,52
correctFrequencyhigh:learning.ct10,-1.2182,0.795,-1.5322,0.1255,179,0.256812171,N,N,52
correctFrequencylow:learning.ct10,-0.7126,0.5566,-1.2803,0.2004,179,0.2075055,N,N,52
(Intercept)11,0.6032,0.3283,1.8372,0.0662,159,NA,N,N,52
correctFrequency.ct11,-4.0459,0.5562,-7.2742,0,159,14915783169,N,N,52
learning.ct11,0.2143,0.6185,0.3464,0.729,159,0.84721722,N,N,52
correctFrequency.ct:learning.ct11,-0.7107,1.03,-0.69,0.4902,159,0.499294516,N,N,52
correctFrequencyhigh:learning.ct11,-0.5072,0.9481,-0.535,0.5927,159,0.463396197,N,N,52
correctFrequencylow:learning.ct11,0.1022,0.5352,0.1909,0.8486,159,0.478287716,N,N,52
(Intercept)21,0.3265,0.2835,1.1517,0.2494,139,NA,N,N,52
correctFrequency.ct21,-3.3967,0.771,-4.4056,0,139,2591.165932,N,N,52
learning.ct21,-0.0291,0.5426,-0.0536,0.9573,139,0.615367776,N,N,52
correctFrequency.ct:learning.ct21,1.4333,1.5095,0.9495,0.3424,139,1.34093747,N,N,52
correctFrequencyhigh:learning.ct21,0.5696,1.0255,0.5555,0.5786,139,0.949062503,N,N,52
correctFrequencylow:learning.ct21,-0.1411,0.4939,-0.2857,0.7751,139,0.318015888,N,N,52
(Intercept)31,0.4566,0.2448,1.8652,0.0621,119,NA,N,N,52
correctFrequency.ct31,-3.0317,0.5369,-5.6466,0,119,1192492.321,N,N,52
learning.ct31,0.2515,0.4807,0.5233,0.6008,119,0.855033349,N,N,52
correctFrequency.ct:learning.ct31,-1.8703,1.0567,-1.7701,0.0767,119,0.334144735,N,N,52
correctFrequencyhigh:learning.ct31,-0.7457,1.1687,-0.6381,0.5234,119,0.508123419,N,N,52
correctFrequencylow:learning.ct31,0.6875,0.6021,1.142,0.2535,119,1.288513212,N,N,52
(Intercept)41,1.9688,0.7258,2.7126,0.0067,99,NA,N,N,52
correctFrequency.ct41,-4.5564,1.2207,-3.7324,2.00E-04,99,115.7118297,N,N,52
learning.ct41,1.1324,1.2931,0.8757,0.3812,99,1.261982709,N,N,52
correctFrequency.ct:learning.ct41,1.275,2.0369,0.626,0.5313,99,1.135002337,N,N,52
correctFrequencyhigh:learning.ct41,1.1867,0.8607,1.3787,0.168,99,1.899272921,N,N,52
correctFrequencylow:learning.ct41,-0.6836,0.5283,-1.294,0.1957,99,0.196612927,N,N,52
(Intercept)51,1.016,0.523,1.9425,0.0521,79,NA,N,N,52
correctFrequency.ct51,-4.1117,0.8668,-4.7437,0,79,6871.821426,N,N,52
learning.ct51,-0.6185,0.9985,-0.6194,0.5357,79,0.64863821,N,N,52
correctFrequency.ct:learning.ct51,-0.6747,1.6322,-0.4134,0.6793,79,0.715794957,N,N,52
correctFrequencyhigh:learning.ct51,0.4949,1.7841,0.2774,0.7815,79,0.946638729,N,N,52
correctFrequencylow:learning.ct51,1.7699,1.4957,1.1833,0.2367,79,1.576720451,N,N,52
(Intercept)61,0.7827,0.3983,1.9649,0.0494,59,NA,N,N,52
correctFrequency.ct61,-5.0638,0.8366,-6.053,0,59,2245966.72,N,N,52
learning.ct61,0.542,0.7028,0.7712,0.4406,59,1.174850145,N,N,52
correctFrequency.ct:learning.ct61,-0.3426,1.4933,-0.2294,0.8185,59,0.744657757,N,N,52
correctFrequencyhigh:learning.ct61,-0.2811,1.3085,-0.2148,0.8299,59,0.665186312,N,N,52
correctFrequencylow:learning.ct61,-0.9558,1.2705,-0.7523,0.4519,59,0.5094217,N,N,52
(Intercept)71,1.1083,0.3965,2.7952,0.0052,39,NA,N,N,52
correctFrequency.ct71,-4.625,0.728,-6.3528,0,39,20095707.95,N,N,52
learning.ct71,-0.5158,0.7408,-0.6963,0.4863,39,0.535586164,N,N,52
correctFrequency.ct:learning.ct71,-0.4442,1.3456,-0.3301,0.7413,39,0.682003504,N,N,52
correctFrequencyhigh:learning.ct71,0.7133,1.3353,0.5342,0.5932,39,1.018216562,N,N,52
correctFrequencylow:learning.ct71,0.3707,0.5673,0.6534,0.5135,39,0.744697681,N,N,52
(Intercept)81,0.7865,0.2799,2.8098,0.005,19,NA,N,N,52
correctFrequency.ct81,-3.9319,0.6901,-5.6974,0,19,849351.6223,N,N,52
learning.ct81,-1.7175,0.5259,-3.2661,0.0011,19,0.1747726,N,N,52
correctFrequency.ct:learning.ct81,0.1054,1.3371,0.0788,0.9372,19,0.823903529,N,N,52
correctFrequencyhigh:learning.ct81,-0.2937,0.9469,-0.3102,0.7564,19,0.522213552,N,N,52
correctFrequencylow:learning.ct81,-0.7379,1.052,-0.7014,0.483,19,0.459452928,N,N,52
12,NA,NA,NA,NA,NA,NA,NA,NA,53
(Intercept)12,1.6851,0.5117,3.2931,0.001,179,NA,N,N,53
correctFrequency.ct12,-4.9055,1.1391,-4.3066,0,179,670.9660786,N,N,53
learning.ct12,-2.1362,0.8586,-2.4881,0.0128,179,0.325329161,N,N,53
correctFrequency.ct:learning.ct12,2.2928,1.9889,1.1528,0.249,179,1.433946796,N,N,53
correctFrequencyhigh:learning.ct12,-1.7702,1.0806,-1.6381,0.1014,179,0.319415536,N,N,53
correctFrequencylow:learning.ct12,-1.6648,0.5288,-3.1481,0.0016,179,0.104882322,N,N,53
(Intercept)13,0.7755,0.4815,1.6105,0.1073,159,NA,N,N,53
correctFrequency.ct13,-4.5248,0.8723,-5.1873,0,159,38586.24607,N,N,53
learning.ct13,-0.1869,0.8823,-0.2118,0.8323,159,0.726263722,N,N,53
correctFrequency.ct:learning.ct13,-0.4644,1.5632,-0.2971,0.7664,159,0.736905558,N,N,53
correctFrequencyhigh:learning.ct13,-3.2826,1.75,-1.8758,0.0607,159,0.424063065,N,N,53
