fribbleID,subjID,trial_index,plugin,rt,prolificID,task,resp,learning,label,trialType,frequency,fribblePresented,trial,labelPresented,correctCategory,correctFrequency,correctLabel,body
1025,2n2kv71sum,657,image-slider-response,3687,5e67d9ed33e6a60542f4dfd7,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,j07stgzsr2,633,image-slider-response,3417,5d77c0eb4a666c0019561a80,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,67zqwpqc3v,667,image-slider-response,2273,5ea3066769713007dfc5f1c3,conJudg,45,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,jfuskuq35s,715,image-slider-response,3916,5f50e3d60305bb088998b766,conJudg,-61,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,rhglzajksw,635,image-slider-response,2864,5ea98f445ef6ee093f4f05ec,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,e72zvev590,679,image-slider-response,1587,5e6617541d7e1a3885c45e85,conJudg,-16,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,xekfnorue1,619,image-slider-response,2469,5a11a7d0f2e3460001edbe35,conJudg,-84,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,rl7z98kzoa,635,image-slider-response,4597,5faa8121f8f5533a5c7f7a20,conJudg,-67,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,vzebe40w15,619,image-slider-response,2163,5fce9a625474c41129c10fb1,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,dn0e1jm7ff,619,image-slider-response,4882,5e0cf83bc12a3649f4c9ee92,conJudg,0,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,mus0v446tm,623,image-slider-response,3896,5f8dda4538ed0614d9ac476b,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,4euvjgbfcc,687,image-slider-response,2976,600355394a113e408f54cce5,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,b00qxzsc7o,687,image-slider-response,2899,5ffc250201d8312c325a16a5,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,71bdswcm9k,685,image-slider-response,2492,5f591a5a9a49e211efead835,conJudg,-99,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,lpb8r8jcs5,699,image-slider-response,4013,5dc1e79c880a2915309a8ee3,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,b576vfvfdd,605,image-slider-response,5303,5ea85cf4ad1f760a537eadfe,conJudg,49,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,581oqcuhue,699,image-slider-response,3524,6009c2eda21be3026447d80e,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,55ovzw4068,623,image-slider-response,2745,5f830f1644cc14447b03305c,conJudg,-71,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,v9kdh4rpsp,655,image-slider-response,2814,5ed14691e983f5067842fd20,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,s0xp76sxy4,657,image-slider-response,1758,5f68a907efe6b000080540be,conJudg,0,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ol68ft1h8h,667,image-slider-response,3195,5e5e17c97593e912e086c640,conJudg,65,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,wod6ma11s3,689,image-slider-response,2556,5f8228f40afba53534e6f583,conJudg,80,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,yhakp9pfe9,645,image-slider-response,3934,5f57a42b46df8927414990fc,conJudg,98,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,mvqchu948c,665,image-slider-response,2677,5b421b9ac2e3810001763252,conJudg,-33,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,8706z1pc24,701,image-slider-response,1877,5c916456ec114b0016418dca,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,yc8mkz3uaa,677,image-slider-response,2084,5eaeb8b513f83a57d35db285,conJudg,5,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,kfhtlqkth4,711,image-slider-response,4150,5edf8803c008532459792282,conJudg,-50,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ffbjr4pqha,721,image-slider-response,2108,6009c27b9e9b700266fd52b5,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,psp3bt1vuy,631,image-slider-response,509,5933d3c4ed2e9a0001d37ab4,conJudg,0,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,1e9hhup9lf,609,image-slider-response,2209,5cbc680bfb8dfe0001839ba2,conJudg,-23,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,gqq2p40hu9,697,image-slider-response,NA,5d41aa9ec61bc300012c73f6,conJudg,NA,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,e9dxj57s6l,711,image-slider-response,3044,5eb58476f88d4008fa483809,conJudg,-45,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ssktzegauz,685,image-slider-response,3317,5edba672293f3b028b70eb25,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,0yjn7eg9zc,703,image-slider-response,3482,5f06ee44c10cab2655ea3822,conJudg,-96,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,pmz1eqhg0u,631,image-slider-response,3493,5f1bfe98441e2743f34fa16a,conJudg,50,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,xtbpfv8d5p,655,image-slider-response,3882,5fbade0c4594d6b7c7d96ca9,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,6j0z0b0c72,605,image-slider-response,NA,5ea44104a980d23d4f21f7ad,conJudg,NA,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,q3zadoj47e,635,image-slider-response,2788,5e47ad846c3d4425c60ccbe5,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,jlov66vr8s,707,image-slider-response,2205,5fc65eb000091528ea745f65,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,jxvpkh0u3z,607,image-slider-response,1837,5fd74512393436000a1a7323,conJudg,-97,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,vkybhfxevw,685,image-slider-response,1840,5f9d4170f629422451ac7fd8,conJudg,-58,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,t5ex7zbfo2,621,image-slider-response,1624,5fd7ee02c0a4610ea7d258b4,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,hcnkaylepg,609,image-slider-response,3268,5ce8ebe9c9379d0019898681,conJudg,31,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,d1c4anqfzp,609,image-slider-response,5894,5c5d6b55b7ce2100011fa04e,conJudg,56,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,zq33udleq5,633,image-slider-response,5055,5ec527351fc19046fdd6cd59,conJudg,-57,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ker7u0dhxt,635,image-slider-response,3115,5c87d68fe5bc060001ee8498,conJudg,1,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,pbt3n7l1gj,627,image-slider-response,2647,5f63d70e4e460f141abccbc1,conJudg,56,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,nsqbzarmrc,681,image-slider-response,4789,601e9d81606b8d337ab338e4,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,8k7ujzqkju,685,image-slider-response,3146,5e8b2e599abd417d9512a877,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,53gv7n4gtu,687,image-slider-response,3001,601fd3cd92f028532a257baf,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ufb4y7bj2f,643,image-slider-response,1993,5c2ce112f422870001fcab1f,conJudg,-34,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,f9gvt2ubve,627,image-slider-response,3207,5f529cd9e0a90c58773ec3fe,conJudg,44,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,4xwhpmkg0h,705,image-slider-response,3174,5ef12a14ab53a21a9012b389,conJudg,-71,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,g8ez0w4wvj,629,image-slider-response,1695,5ec32348079dcc17451cac16,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,zt96waez4c,687,image-slider-response,1186,5daca66b71a51b00113172ce,conJudg,57,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,d1snyw7jw6,665,image-slider-response,2268,5fc13b486833fb13fef1720b,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,f208my9c1t,667,image-slider-response,3999,5d920df12b679a00182bbc73,conJudg,-95,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,9x75jv8vpf,695,image-slider-response,2335,5f34cb60fa6cf63ecf31902d,conJudg,-91,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,t2ubvm70lv,621,image-slider-response,2156,5f858743256d25036d9fa693,conJudg,48,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,uyc3tp4v50,667,image-slider-response,2055,6017d6a23bdebea5e9062e9d,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,1gynr5ywqp,615,image-slider-response,1808,5db1bba0e20f58000b8717f6,conJudg,-51,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ym6cxam2f3,657,image-slider-response,3376,5ee87dba82ed8101333c7744,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,3mctt6t3lt,659,image-slider-response,2149,5b3cb17b6779080001fe88c1,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,daqg5rc8xw,645,image-slider-response,3363,5eadc934201643479a185e59,conJudg,18,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,5urksolxqo,689,image-slider-response,4643,5d10fe33fbbf3d001a56d936,conJudg,40,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,hc4uh4u04h,695,image-slider-response,3171,5f5d6c3cbacc025bf0a03440,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,5qj7var04h,611,image-slider-response,4305,5f4f835cea1e870397a4d295,conJudg,-83,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,98ysefwhzk,649,image-slider-response,2550,5f482f05cd5e5d2d1d57c1ff,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,e4s1gf870t,665,image-slider-response,1809,5f677b748c011837e12cba61,conJudg,59,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,s52728tqhv,685,image-slider-response,3440,6014777b8a88c449408352c5,conJudg,35,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,yj9gmh2tyv,657,image-slider-response,3527,5e8dcc81e6686e035680594e,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,9y1b9uh65r,639,image-slider-response,1037,5daca079bf590700167f704d,conJudg,28,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,823tgxfuz7,611,image-slider-response,3830,5f632ea32e85353d93872c67,conJudg,-90,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,0tf06g8uzp,619,image-slider-response,4393,5b98223fbdb1df0001f1e684,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,cjpw7y8c1k,705,image-slider-response,2235,5efdc12f5d69f622915a97a1,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,163k2z1uov,671,image-slider-response,3890,5f11ccbc1a1a2c08b4a99efb,conJudg,-5,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,85gul0f7qh,647,image-slider-response,2368,5e4ab1b4ca765d000edebd15,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,32gxlbaw1s,717,image-slider-response,1873,5ea2381ad0a4b71481c298e7,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,qfloq0vkd1,617,image-slider-response,1821,5acb896da3ba7a0001b4e99f,conJudg,41,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,o0xz7vf2yt,703,image-slider-response,1858,5f2b196c0c610f4ec3eb5451,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,ek1v85vere,611,image-slider-response,2215,5bdcd99964215c0001282b34,conJudg,100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,w2brxm7ay2,607,image-slider-response,5360,5f60713e595007000a8e1da7,conJudg,-44,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,o7w146d4yj,625,image-slider-response,2657,5f343de4d0c07630b7f90b92,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,38cgqt2jvy,721,image-slider-response,3366,5f83138efa73fa44e23c5237,conJudg,65,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,9q76krfydn,619,image-slider-response,2127,5f3d9a9f10a5f219cfe0b404,conJudg,37,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,26fmzvup9c,605,image-slider-response,3254,5e94262948e806768dfa43ed,conJudg,-49,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,y20qp8dcxo,625,image-slider-response,4061,5f578563765fec223eb51594,conJudg,40,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,cpd84kvzmq,679,image-slider-response,4103,5ed63a6d50ece703aa7bffb9,conJudg,91,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,t8qovvqyjq,657,image-slider-response,3652,5f89cbc45b38f5016101011c,conJudg,100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,q963ed16o4,627,image-slider-response,2974,6006cf1238099707863fc7b4,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,371addqx7x,703,image-slider-response,4772,5d8cd4be7bd5180017d887a3,conJudg,0,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,pusqm5jv5t,643,image-slider-response,3592,5f477a85d919ec03cadfaddd,conJudg,-99,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,e4msx463h0,715,image-slider-response,4310,5f1f04c1604e3508877cf62a,conJudg,31,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,oqwgn1zhn1,645,image-slider-response,3733,5eb5cb8ddef42c4ad1456dd9,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,qnx5xathwg,619,image-slider-response,7755,5cc7f4b3854fb30001d0c13a,conJudg,-38,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,sxbrz00bs5,701,image-slider-response,2811,5ee7335388010f4c1b6bbdc2,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,fkw1vwzc6v,697,image-slider-response,3176,5f50d630390521264e606772,conJudg,-91,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,fggxxfkvfo,655,image-slider-response,3106,5fbfb86436a5de31c546f37b,conJudg,41,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,5g2fbehb04,663,image-slider-response,2938,591a1f4800a5650001276188,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,kyb3lzn0xx,605,image-slider-response,884,5ee9cbbbdcf662000932fb78,conJudg,-37,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,r4145wj5y7,611,image-slider-response,6323,5f78b0e3b43f410c88d3af45,conJudg,-48,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,z4xhznw88z,661,image-slider-response,4016,5fae68d5b74c182cacbe5d6a,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,s80pnsgly8,709,image-slider-response,2256,5ed09b6985143f000c08b6b8,conJudg,42,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,3b8h3oor4p,657,image-slider-response,3701,5f61bbe3c18cc915aac68b32,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,xu8vthdm2k,707,image-slider-response,2763,5f85eb74d99dd00d735c107f,conJudg,-100,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,3a2waojqmg,715,image-slider-response,3086,5e6a2c7c5b057b08e930e89d,conJudg,-33,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,x8lrz32hbv,663,image-slider-response,NA,5e7b899a6b890e0659e5e82e,conJudg,NA,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,gcrz58pdx0,621,image-slider-response,4221,5f9b106e21189e2d3b853846,conJudg,-100,LF,wug,match,l,2.2,5,wug,2,low,wug,blue
1025,aj9q5o0gf2,635,image-slider-response,4059,5b01e69aa496b300013d5b9b,conJudg,-72,FL,wug,match,l,2.2,5,wug,2,low,wug,blue
1075,qfloq0vkd1,711,image-slider-response,2309,5acb896da3ba7a0001b4e99f,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,fkw1vwzc6v,649,image-slider-response,NA,5f50d630390521264e606772,conJudg,NA,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,581oqcuhue,667,image-slider-response,3505,6009c2eda21be3026447d80e,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,823tgxfuz7,645,image-slider-response,3262,5f632ea32e85353d93872c67,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,9y1b9uh65r,683,image-slider-response,1972,5daca079bf590700167f704d,conJudg,25,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,f208my9c1t,629,image-slider-response,6438,5d920df12b679a00182bbc73,conJudg,95,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,ek1v85vere,677,image-slider-response,1937,5bdcd99964215c0001282b34,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,g8ez0w4wvj,643,image-slider-response,1718,5ec32348079dcc17451cac16,conJudg,100,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,zq33udleq5,637,image-slider-response,2723,5ec527351fc19046fdd6cd59,conJudg,88,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,e4s1gf870t,615,image-slider-response,2166,5f677b748c011837e12cba61,conJudg,-48,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,3a2waojqmg,647,image-slider-response,3322,5e6a2c7c5b057b08e930e89d,conJudg,54,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,4euvjgbfcc,631,image-slider-response,2125,600355394a113e408f54cce5,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,55ovzw4068,645,image-slider-response,3600,5f830f1644cc14447b03305c,conJudg,100,FL,wug,match,h,2.1,5,wug,2,high,wug,purple
1075,yc8mkz3uaa,631,image-slider-response,2094,5eaeb8b513f83a57d35db285,conJudg,100,LF,wug,match,h,2.1,5,wug,2,high,wug,purple
