"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2387","0.0-0.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","","","","","","","","","","","","","","",""
"","survey-html-form","1","3796","0.0-1.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","1407","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","5841","0.0-3.0-0.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","2042","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","23037","0.0-3.0-1.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","16549","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","73096","0.0-3.0-2.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","50057","{""codeword_enter"":""UAJIIN24""}","","","","","","","","","","","","",""
"","instructions","5","91549","0.0-4.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","NA","","","[{""page_index"":0,""viewing_time"":2587},{""page_index"":1,""viewing_time"":14360}]","instructions","","","","","","","","","",""
"","resize","6","176637","0.0-5.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","","","","","","","429","2.723809523809524","","","","","","",""
"","image-keyboard-response","7","176814","0.0-6.0-0.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","177971","0.0-6.0-1.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","178973","0.0-6.0-2.0","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","179150","0.0-6.0-0.1","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","180302","0.0-6.0-1.1","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","181305","0.0-6.0-2.1","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","181480","0.0-6.0-0.2","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","182632","0.0-6.0-1.2","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","183634","0.0-6.0-2.2","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","183811","0.0-6.0-0.3","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","184965","0.0-6.0-1.3","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","185968","0.0-6.0-2.3","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","186146","0.0-6.0-0.4","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","187298","0.0-6.0-1.4","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","188304","0.0-6.0-2.4","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","188480","0.0-6.0-0.5","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","189637","0.0-6.0-1.5","FL","0e2jb9zq47","1440","900","en","UAJIIN24","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
