"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4052","0.0-0.0","LF","0ypu8hv44k","1280","720","de","en06oi05","","","","","","","","","","","","","","",""
"","survey-html-form","1","11816","0.0-1.0","LF","0ypu8hv44k","1280","720","de","en06oi05","7759.360000025481","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","120593","0.0-2.0-0.0","LF","0ypu8hv44k","1280","720","de","en06oi05","108678.10000001919","","text/information.html","","","","","","","","","","","",""
"","external-html","3","143180","0.0-2.0-1.0","LF","0ypu8hv44k","1280","720","de","en06oi05","22502.229999983683","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","218298","0.0-2.0-2.0","LF","0ypu8hv44k","1280","720","de","en06oi05","75113.39500005124","{""codeword_enter"":""en06oi05""}","","","","","","","","","","","","",""
"","instructions","5","231158","0.0-4.0","LF","0ypu8hv44k","1280","720","de","en06oi05","NA","","","[{""page_index"":0,""viewing_time"":2632.510000024922},{""page_index"":1,""viewing_time"":8713.8949999935}]","instructions","","","","","","","","","",""
"","resize","6","272067","0.0-5.0","LF","0ypu8hv44k","1280","720","de","en06oi05","","","","","","","372","2.361904761904762","","","","","","",""
"","html-keyboard-response","7","273073","0.0-6.0-0.0","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","273401","0.0-6.0-1.0","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","274409","0.0-6.0-2.0","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","275415","0.0-6.0-0.1","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","275743","0.0-6.0-1.1","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","276751","0.0-6.0-2.1","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","277759","0.0-6.0-0.2","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","278095","0.0-6.0-1.2","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","279103","0.0-6.0-2.2","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","280112","0.0-6.0-0.3","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","280440","0.0-6.0-1.3","LF","0ypu8hv44k","1280","720","de","en06oi05","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
