"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","718704","0.0-0.0","FL","19l91w0hqd","1536","864","en","NE07SE16","","","","","","","","","","","","","","",""
"","survey-html-form","1","727629","0.0-1.0","FL","19l91w0hqd","1536","864","en","NE07SE16","8921.794999856502","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","766663","0.0-3.0-0.0","FL","19l91w0hqd","1536","864","en","NE07SE16","38886.93500007503","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","777471","0.0-3.0-1.0","FL","19l91w0hqd","1536","864","en","NE07SE16","10741.380000021309","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","833788","0.0-3.0-2.0","FL","19l91w0hqd","1536","864","en","NE07SE16","56315.940000116825","{""codeword_enter"":""NE07SE16""}","","","","","","","","","","","","",""
"","instructions","5","851946","0.0-4.0","FL","19l91w0hqd","1536","864","en","NE07SE16","NA","","","[{""page_index"":0,""viewing_time"":5745.240000076592},{""page_index"":1,""viewing_time"":10900.670000119135}]","instructions","","","","","","","","","",""
"","resize","6","870533","0.0-5.0","FL","19l91w0hqd","1536","864","en","NE07SE16","","","","","","","344","2.1841269841269844","","","","","","",""
"","image-keyboard-response","7","870718","0.0-6.0-0.0","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","871892","0.0-6.0-1.0","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","872897","0.0-6.0-2.0","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","873086","0.0-6.0-0.1","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","874243","0.0-6.0-1.1","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","875251","0.0-6.0-2.1","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","875433","0.0-6.0-0.2","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","876613","0.0-6.0-1.2","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","877621","0.0-6.0-2.2","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","877807","0.0-6.0-0.3","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","878971","0.0-6.0-1.3","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","879976","0.0-6.0-2.3","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","880162","0.0-6.0-0.4","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","881329","0.0-6.0-1.4","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","882332","0.0-6.0-2.4","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","882512","0.0-6.0-0.5","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","883671","0.0-6.0-1.5","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","884682","0.0-6.0-2.5","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","884864","0.0-6.0-0.6","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","886023","0.0-6.0-1.6","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","887028","0.0-6.0-2.6","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","887205","0.0-6.0-0.7","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","888373","0.0-6.0-1.7","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","889382","0.0-6.0-2.7","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","889561","0.0-6.0-0.8","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","890731","0.0-6.0-1.8","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","891736","0.0-6.0-2.8","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","891916","0.0-6.0-0.9","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","893084","0.0-6.0-1.9","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","894094","0.0-6.0-2.9","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","894276","0.0-6.0-0.10","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","895443","0.0-6.0-1.10","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","896445","0.0-6.0-2.10","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","896632","0.0-6.0-0.11","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","897801","0.0-6.0-1.11","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","898817","0.0-6.0-2.11","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","898994","0.0-6.0-0.12","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","900163","0.0-6.0-1.12","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","901172","0.0-6.0-2.12","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","901349","0.0-6.0-0.13","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","902508","0.0-6.0-1.13","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","903517","0.0-6.0-2.13","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","903710","0.0-6.0-0.14","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","904882","0.0-6.0-1.14","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","905887","0.0-6.0-2.14","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","906080","0.0-6.0-0.15","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","907239","0.0-6.0-1.15","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","908245","0.0-6.0-2.15","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","908424","0.0-6.0-0.16","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","909592","0.0-6.0-1.16","FL","19l91w0hqd","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
