"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6030","0.0-0.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","","","","","","","","","","","","","","",""
"","survey-html-form","1","19100","0.0-1.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","13060.244999825954","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","80102","0.0-2.0-0.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","60867.935000220314","","text/information.html","","","","","","","","","","","",""
"","external-html","3","91724","0.0-2.0-1.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","11408.850000007078","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","175105","0.0-2.0-2.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","83375.99000008777","{""codeword_enter"":""KE05KO08""}","","","","","","","","","","","","",""
"","instructions","5","206203","0.0-4.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","NA","","","[{""page_index"":0,""viewing_time"":4569.134999997914},{""page_index"":1,""viewing_time"":25017.035000026226}]","instructions","","","","","","","","","",""
"","resize","6","313807","0.0-5.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","","","","","","","426","2.7047619047619045","","","","","","",""
"","image-keyboard-response","7","313995","0.0-6.0-0.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","315153","0.0-6.0-1.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","316158","0.0-6.0-2.0","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","316342","0.0-6.0-0.1","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","317500","0.0-6.0-1.1","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","318504","0.0-6.0-2.1","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","318688","0.0-6.0-0.2","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","319847","0.0-6.0-1.2","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","320852","0.0-6.0-2.2","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","321032","0.0-6.0-0.3","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","322189","0.0-6.0-1.3","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","323192","0.0-6.0-2.3","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","323371","0.0-6.0-0.4","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","324528","0.0-6.0-1.4","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","325537","0.0-6.0-2.4","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","325718","0.0-6.0-0.5","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","326877","0.0-6.0-1.5","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","327880","0.0-6.0-2.5","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","328064","0.0-6.0-0.6","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","329222","0.0-6.0-1.6","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","330231","0.0-6.0-2.6","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","330414","0.0-6.0-0.7","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","331570","0.0-6.0-1.7","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","332576","0.0-6.0-2.7","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","332755","0.0-6.0-0.8","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","333913","0.0-6.0-1.8","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","334917","0.0-6.0-2.8","FL","1nbemfkd3a","1536","864","de","KE05KO08","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
