"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","13371","0.0-0.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","","","","","","","","","","","","","","",""
"","survey-html-form","1","29041","0.0-1.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","15661","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","81006","0.0-3.0-0.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","51835","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","131595","0.0-3.0-1.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","50500","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","284021","0.0-3.0-2.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","152418","{""codeword_enter"":""de05nk26""}","","","","","","","","","","","","",""
"","instructions","5","311596","0.0-4.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","NA","","","[{""page_index"":0,""viewing_time"":4900},{""page_index"":1,""viewing_time"":21167}]","instructions","","","","","","","","","",""
"","resize","6","403202","0.0-5.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","","","","","","","338","2.146031746031746","","","","","","",""
"","html-keyboard-response","7","404207","0.0-6.0-0.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","404534","0.0-6.0-1.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","405537","0.0-6.0-2.0","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","406539","0.0-6.0-0.1","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","406868","0.0-6.0-1.1","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","407870","0.0-6.0-2.1","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","408872","0.0-6.0-0.2","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","409200","0.0-6.0-1.2","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","410202","0.0-6.0-2.2","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","411205","0.0-6.0-0.3","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","411532","0.0-6.0-1.3","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","412534","0.0-6.0-2.3","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","413535","0.0-6.0-0.4","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","413863","0.0-6.0-1.4","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","414865","0.0-6.0-2.4","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","415869","0.0-6.0-0.5","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","416197","0.0-6.0-1.5","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","417199","0.0-6.0-2.5","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","418201","0.0-6.0-0.6","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","418529","0.0-6.0-1.6","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","419531","0.0-6.0-2.6","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","420532","0.0-6.0-0.7","LF","1x4fxyrk6x","1366","768","en","de05nk26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
