"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","13154","0.0-0.0","LF","22elk0nh1m","1280","1024","de","er08rd25","","","","","","","","","","","","","","",""
"","survey-html-form","1","27246","0.0-1.0","LF","22elk0nh1m","1280","1024","de","er08rd25","14088.329999998678","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","75724","0.0-2.0-0.0","LF","22elk0nh1m","1280","1024","de","er08rd25","45380.5149999971","","text/information.html","","","","","","","","","","","",""
"","external-html","3","85540","0.0-2.0-1.0","LF","22elk0nh1m","1280","1024","de","er08rd25","9732.60499999742","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","178044","0.0-2.0-2.0","LF","22elk0nh1m","1280","1024","de","er08rd25","92500.46000001021","{""codeword_enter"":""er08rd25""}","","","","","","","","","","","","",""
"","instructions","5","201509","0.0-4.0","LF","22elk0nh1m","1280","1024","de","er08rd25","NA","","","[{""page_index"":0,""viewing_time"":6488.400000002002},{""page_index"":1,""viewing_time"":15462.490000005346}]","instructions","","","","","","","","","",""
"","resize","6","264697","0.0-5.0","LF","22elk0nh1m","1280","1024","de","er08rd25","","","","","","","348","2.2095238095238097","","","","","","",""
"","html-keyboard-response","7","265701","0.0-6.0-0.0","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","266048","0.0-6.0-1.0","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","267067","0.0-6.0-2.0","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","268076","0.0-6.0-0.1","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","268416","0.0-6.0-1.1","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","269425","0.0-6.0-2.1","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","270426","0.0-6.0-0.2","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","270764","0.0-6.0-1.2","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","271780","0.0-6.0-2.2","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","272786","0.0-6.0-0.3","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","273130","0.0-6.0-1.3","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","274140","0.0-6.0-2.3","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","275148","0.0-6.0-0.4","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","275501","0.0-6.0-1.4","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","276508","0.0-6.0-2.4","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","277514","0.0-6.0-0.5","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","277865","0.0-6.0-1.5","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","278874","0.0-6.0-2.5","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","279884","0.0-6.0-0.6","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","280229","0.0-6.0-1.6","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","281250","0.0-6.0-2.6","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","282259","0.0-6.0-0.7","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","282596","0.0-6.0-1.7","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","283613","0.0-6.0-2.7","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","284631","0.0-6.0-0.8","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","284979","0.0-6.0-1.8","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","285988","0.0-6.0-2.8","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","287004","0.0-6.0-0.9","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","287346","0.0-6.0-1.9","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","288352","0.0-6.0-2.9","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","289359","0.0-6.0-0.10","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","289695","0.0-6.0-1.10","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","290707","0.0-6.0-2.10","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","291725","0.0-6.0-0.11","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","292061","0.0-6.0-1.11","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","293071","0.0-6.0-2.11","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","294080","0.0-6.0-0.12","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","294427","0.0-6.0-1.12","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","295430","0.0-6.0-2.12","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","296432","0.0-6.0-0.13","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","296778","0.0-6.0-1.13","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","297792","0.0-6.0-2.13","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","298800","0.0-6.0-0.14","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","299144","0.0-6.0-1.14","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","300146","0.0-6.0-2.14","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","301163","0.0-6.0-0.15","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","301510","0.0-6.0-1.15","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","302514","0.0-6.0-2.15","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","303522","0.0-6.0-0.16","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","303861","0.0-6.0-1.16","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","304864","0.0-6.0-2.16","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","305867","0.0-6.0-0.17","LF","22elk0nh1m","1280","1024","de","er08rd25","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
