"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6008","0.0-0.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","","","","","","","","","","","","","","",""
"","survey-html-form","1","17482","0.0-1.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","11467.075000051409","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","53609","0.0-3.0-0.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","36043.040000018664","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","70570","0.0-3.0-1.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","16884.42000001669","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","188867","0.0-3.0-2.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","118289.02000002563","{""codeword_enter"":""rt08ed02""}","","","","","","","","","","","","",""
"","instructions","5","208466","0.0-4.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","NA","","","[{""page_index"":0,""viewing_time"":4364.120000042021},{""page_index"":1,""viewing_time"":13730.774999945424}]","instructions","","","","","","","","","",""
"","resize","6","246376","0.0-5.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","","","","","","","426","2.7047619047619045","","","","","","",""
"","image-keyboard-response","7","246569","0.0-6.0-0.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","247728","0.0-6.0-1.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","248744","0.0-6.0-2.0","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","248929","0.0-6.0-0.1","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","250085","0.0-6.0-1.1","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","251087","0.0-6.0-2.1","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","251264","0.0-6.0-0.2","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","252432","0.0-6.0-1.2","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","253435","0.0-6.0-2.2","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","253613","0.0-6.0-0.3","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","254768","0.0-6.0-1.3","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","255772","0.0-6.0-2.3","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","255956","0.0-6.0-0.4","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","257113","0.0-6.0-1.4","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","258117","0.0-6.0-2.4","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","258294","0.0-6.0-0.5","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","259458","0.0-6.0-1.5","FL","2z8ekchs9g","1920","1080","en","rt08ed02","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
