"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2246","0.0-0.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","","","","","","","","","","","","","","",""
"","survey-html-form","1","4435","0.0-1.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","2185.7500000623986","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","9658","0.0-2.0-0.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","5210.97000001464","","text/information.html","","","","","","","","","","","",""
"","external-html","3","22834","0.0-2.0-1.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","13069.540000054985","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","54187","0.0-2.0-2.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","31350.209999945946","{""codeword_enter"":""cz06an18""}","","","","","","","","","","","","",""
"","instructions","5","76811","0.0-4.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","NA","","","[{""page_index"":0,""viewing_time"":2577.324999962002},{""page_index"":1,""viewing_time"":18543.805000022985}]","instructions","","","","","","","","","",""
"","resize","6","129170","0.0-5.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","","","","","","","334","2.1206349206349207","","","","","","",""
"","image-keyboard-response","7","129351","0.0-6.0-0.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","130503","0.0-6.0-1.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","131520","0.0-6.0-2.0","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","131705","0.0-6.0-0.1","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","132873","0.0-6.0-1.1","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","133876","0.0-6.0-2.1","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","134060","0.0-6.0-0.2","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","135226","0.0-6.0-1.2","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","136229","0.0-6.0-2.2","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","136414","0.0-6.0-0.3","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","137583","0.0-6.0-1.3","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","138588","0.0-6.0-2.3","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","138772","0.0-6.0-0.4","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","139938","0.0-6.0-1.4","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","140941","0.0-6.0-2.4","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","141139","0.0-6.0-0.5","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","142298","0.0-6.0-1.5","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","143301","0.0-6.0-2.5","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","143478","0.0-6.0-0.6","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","144640","0.0-6.0-1.6","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","145658","0.0-6.0-2.6","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","145836","0.0-6.0-0.7","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","146993","0.0-6.0-1.7","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","147996","0.0-6.0-2.7","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","148181","0.0-6.0-0.8","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","149344","0.0-6.0-1.8","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","150347","0.0-6.0-2.8","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","150533","0.0-6.0-0.9","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","151687","0.0-6.0-1.9","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","152689","0.0-6.0-2.9","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","152868","0.0-6.0-0.10","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","154023","0.0-6.0-1.10","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","155026","0.0-6.0-2.10","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","155210","0.0-6.0-0.11","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","156369","0.0-6.0-1.11","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","157371","0.0-6.0-2.11","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","157560","0.0-6.0-0.12","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","158732","0.0-6.0-1.12","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","159733","0.0-6.0-2.12","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","159918","0.0-6.0-0.13","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","161090","0.0-6.0-1.13","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","162093","0.0-6.0-2.13","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","162271","0.0-6.0-0.14","FL","3yxnw7xt1g","1366","768","de","cz06an18","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
