"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","26236","0.0-0.0","LF","3zzac4tx1p","1280","720","en","on03as29","","","","","","","","","","","","","","",""
"","survey-html-form","1","37885","0.0-1.0","LF","3zzac4tx1p","1280","720","en","on03as29","11642.289999988861","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","230871","0.0-3.0-0.0","LF","3zzac4tx1p","1280","720","en","on03as29","192888.09999998193","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","267425","0.0-3.0-1.0","LF","3zzac4tx1p","1280","720","en","on03as29","36430.15000002924","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","353952","0.0-3.0-2.0","LF","3zzac4tx1p","1280","720","en","on03as29","86520.82500001416","{""codeword_enter"":""on03as29""}","","","","","","","","","","","","",""
"","instructions","5","378386","0.0-4.0","LF","3zzac4tx1p","1280","720","en","on03as29","NA","","","[{""page_index"":0,""viewing_time"":4510.505000012927},{""page_index"":1,""viewing_time"":18418.110000086017}]","instructions","","","","","","","","","",""
"","resize","6","566037","0.0-5.0","LF","3zzac4tx1p","1280","720","en","on03as29","","","","","","","365","2.3174603174603177","","","","","","",""
"","html-keyboard-response","7","567042","0.0-6.0-0.0","LF","3zzac4tx1p","1280","720","en","on03as29","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","567371","0.0-6.0-1.0","LF","3zzac4tx1p","1280","720","en","on03as29","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","568374","0.0-6.0-2.0","LF","3zzac4tx1p","1280","720","en","on03as29","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","569377","0.0-6.0-0.1","LF","3zzac4tx1p","1280","720","en","on03as29","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
