"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5828","0.0-0.0","FL","40757xtlgp","1366","768","en","va05er24","","","","","","","","","","","","","","",""
"","survey-html-form","1","17007","0.0-1.0","FL","40757xtlgp","1366","768","en","va05er24","11155.099999974482","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","45161","0.0-3.0-0.0","FL","40757xtlgp","1366","768","en","va05er24","28052.93000000529","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","61751","0.0-3.0-1.0","FL","40757xtlgp","1366","768","en","va05er24","16487.220000009984","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","112988","0.0-3.0-2.0","FL","40757xtlgp","1366","768","en","va05er24","51227.8149999911","{""codeword_enter"":""va05er24""}","","","","","","","","","","","","",""
"","instructions","5","147048","0.0-4.0","FL","40757xtlgp","1366","768","en","va05er24","NA","","","[{""page_index"":0,""viewing_time"":3903.7949999328703},{""page_index"":1,""viewing_time"":28640.780000016093}]","instructions","","","","","","","","","",""
"","resize","6","176240","0.0-5.0","FL","40757xtlgp","1366","768","en","va05er24","","","","","","","374","2.3746031746031746","","","","","","",""
"","image-keyboard-response","7","176429","0.0-6.0-0.0","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","177589","0.0-6.0-1.0","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","178601","0.0-6.0-2.0","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","178786","0.0-6.0-0.1","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","179942","0.0-6.0-1.1","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","180952","0.0-6.0-2.1","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","181135","0.0-6.0-0.2","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","182293","0.0-6.0-1.2","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","183300","0.0-6.0-2.2","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","183498","0.0-6.0-0.3","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","184659","0.0-6.0-1.3","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","185675","0.0-6.0-2.3","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","185858","0.0-6.0-0.4","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","187015","0.0-6.0-1.4","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","188024","0.0-6.0-2.4","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","188207","0.0-6.0-0.5","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","189364","0.0-6.0-1.5","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","190369","0.0-6.0-2.5","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","190550","0.0-6.0-0.6","FL","40757xtlgp","1366","768","en","va05er24","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","191708","0.0-6.0-1.6","FL","40757xtlgp","1366","768","en","va05er24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
