"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3509","0.0-0.0","LF","408x5p8cy7","2560","1440","en","va08ar03","","","","","","","","","","","","","","",""
"","survey-html-form","1","8644","0.0-1.0","LF","408x5p8cy7","2560","1440","en","va08ar03","5130.360000010114","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","86875","0.0-3.0-0.0","LF","408x5p8cy7","2560","1440","en","va08ar03","78209.85499996459","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","111409","0.0-3.0-1.0","LF","408x5p8cy7","2560","1440","en","va08ar03","24468.244999996386","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","238779","0.0-3.0-2.0","LF","408x5p8cy7","2560","1440","en","va08ar03","127360.4499999783","{""codeword_enter"":""va08ar03""}","","","","","","","","","","","","",""
"","instructions","5","257988","0.0-4.0","LF","408x5p8cy7","2560","1440","en","va08ar03","NA","","","[{""page_index"":0,""viewing_time"":4537.160000007134},{""page_index"":1,""viewing_time"":13169.304999988526}]","instructions","","","","","","","","","",""
"","resize","6","331370","0.0-5.0","LF","408x5p8cy7","2560","1440","en","va08ar03","","","","","","","299","1.8984126984126986","","","","","","",""
"","html-keyboard-response","7","332374","0.0-6.0-0.0","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","332704","0.0-6.0-1.0","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","333705","0.0-6.0-2.0","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","334707","0.0-6.0-0.1","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","335034","0.0-6.0-1.1","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","336037","0.0-6.0-2.1","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","337039","0.0-6.0-0.2","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","337367","0.0-6.0-1.2","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","338369","0.0-6.0-2.2","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","339370","0.0-6.0-0.3","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","339697","0.0-6.0-1.3","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","340700","0.0-6.0-2.3","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","341701","0.0-6.0-0.4","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","342029","0.0-6.0-1.4","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","343042","0.0-6.0-2.4","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","344043","0.0-6.0-0.5","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","344371","0.0-6.0-1.5","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","345372","0.0-6.0-2.5","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","346375","0.0-6.0-0.6","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","346702","0.0-6.0-1.6","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","347703","0.0-6.0-2.6","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","348705","0.0-6.0-0.7","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","349033","0.0-6.0-1.7","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","350034","0.0-6.0-2.7","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","351037","0.0-6.0-0.8","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","351365","0.0-6.0-1.8","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","352368","0.0-6.0-2.8","LF","408x5p8cy7","2560","1440","en","va08ar03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
