"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","11830","0.0-0.0","FL","43qjs0ts63","1440","900","en","la07as21","","","","","","","","","","","","","","",""
"","survey-html-form","1","22417","0.0-1.0","FL","43qjs0ts63","1440","900","en","la07as21","10581.479999993462","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","122637","0.0-3.0-0.0","FL","43qjs0ts63","1440","900","en","la07as21","100136.49000000441","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","150778","0.0-3.0-1.0","FL","43qjs0ts63","1440","900","en","la07as21","28044.77500001667","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","289928","0.0-3.0-2.0","FL","43qjs0ts63","1440","900","en","la07as21","139153.3000000054","{""codeword_enter"":""la07as21""}","","","","","","","","","","","","",""
"","instructions","5","323125","0.0-4.0","FL","43qjs0ts63","1440","900","en","la07as21","NA","","","[{""page_index"":0,""viewing_time"":10331.845000007888},{""page_index"":1,""viewing_time"":21358.659999998054}]","instructions","","","","","","","","","",""
"","resize","6","416790","0.0-5.0","FL","43qjs0ts63","1440","900","en","la07as21","","","","","","","436","2.768253968253968","","","","","","",""
"","image-keyboard-response","7","416973","0.0-6.0-0.0","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","418131","0.0-6.0-1.0","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","419137","0.0-6.0-2.0","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","419319","0.0-6.0-0.1","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","420478","0.0-6.0-1.1","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","421481","0.0-6.0-2.1","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","421662","0.0-6.0-0.2","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","422822","0.0-6.0-1.2","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","423828","0.0-6.0-2.2","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","424009","0.0-6.0-0.3","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","425169","0.0-6.0-1.3","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","426171","0.0-6.0-2.3","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","426351","0.0-6.0-0.4","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","427509","0.0-6.0-1.4","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","428515","0.0-6.0-2.4","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","428696","0.0-6.0-0.5","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","429856","0.0-6.0-1.5","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","430862","0.0-6.0-2.5","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","431043","0.0-6.0-0.6","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","432205","0.0-6.0-1.6","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","433208","0.0-6.0-2.6","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","433390","0.0-6.0-0.7","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","434551","0.0-6.0-1.7","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","435557","0.0-6.0-2.7","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","435738","0.0-6.0-0.8","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","436898","0.0-6.0-1.8","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","437899","0.0-6.0-2.8","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","438094","0.0-6.0-0.9","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","439248","0.0-6.0-1.9","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","440253","0.0-6.0-2.9","FL","43qjs0ts63","1440","900","en","la07as21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
