"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4681","0.0-0.0","LF","490hj15f5l","1280","720","en","el05rd15","","","","","","","","","","","","","","",""
"","survey-html-form","1","16151","0.0-1.0","LF","490hj15f5l","1280","720","en","el05rd15","11467.29000005871","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","50663","0.0-3.0-0.0","LF","490hj15f5l","1280","720","en","el05rd15","34437.79499991797","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","61329","0.0-3.0-1.0","LF","490hj15f5l","1280","720","en","el05rd15","10586.535000009462","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","145409","0.0-3.0-2.0","LF","490hj15f5l","1280","720","en","el05rd15","84078.50000006147","{""codeword_enter"":""el05rd15""}","","","","","","","","","","","","",""
"","instructions","5","167331","0.0-4.0","LF","490hj15f5l","1280","720","en","el05rd15","NA","","","[{""page_index"":0,""viewing_time"":4787.390000070445},{""page_index"":1,""viewing_time"":15631.579999928363}]","instructions","","","","","","","","","",""
"","resize","6","249085","0.0-5.0","LF","490hj15f5l","1280","720","en","el05rd15","","","","","","","390","2.4761904761904763","","","","","","",""
"","html-keyboard-response","7","250089","0.0-6.0-0.0","LF","490hj15f5l","1280","720","en","el05rd15","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","250417","0.0-6.0-1.0","LF","490hj15f5l","1280","720","en","el05rd15","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","251419","0.0-6.0-2.0","LF","490hj15f5l","1280","720","en","el05rd15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","252421","0.0-6.0-0.1","LF","490hj15f5l","1280","720","en","el05rd15","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
