"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3295","0.0-0.0","LF","4xjqd36lab","414","896","en","un08ta23","","","","","","","","","","","","","","",""
"","survey-html-form","1","6108","0.0-1.0","LF","4xjqd36lab","414","896","en","un08ta23","2799","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","26838","0.0-3.0-0.0","LF","4xjqd36lab","414","896","en","un08ta23","20714","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","31786","0.0-3.0-1.0","LF","4xjqd36lab","414","896","en","un08ta23","4934","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","54963","0.0-3.0-2.0","LF","4xjqd36lab","414","896","en","un08ta23","23169","{""codeword_enter"":""un08ta23""}","","","","","","","","","","","","",""
"","instructions","5","79267","0.0-4.0","LF","4xjqd36lab","414","896","en","un08ta23","NA","","","[{""page_index"":0,""viewing_time"":1719.0000000000073},{""page_index"":1,""viewing_time"":21072.999999999993}]","instructions","","","","","","","","","",""
"","resize","6","87588","0.0-5.0","LF","4xjqd36lab","414","896","en","un08ta23","","","","","","","104","0.6603174603174603","","","","","","",""
"","html-keyboard-response","7","88600","0.0-6.0-0.0","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","88934","0.0-6.0-1.0","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","89939","0.0-6.0-2.0","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","90947","0.0-6.0-0.1","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","91278","0.0-6.0-1.1","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","92282","0.0-6.0-2.1","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","93291","0.0-6.0-0.2","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","93623","0.0-6.0-1.2","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","94628","0.0-6.0-2.2","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","95634","0.0-6.0-0.3","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","95966","0.0-6.0-1.3","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","96970","0.0-6.0-2.3","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","97977","0.0-6.0-0.4","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","98309","0.0-6.0-1.4","LF","4xjqd36lab","414","896","en","un08ta23","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
