"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6054","0.0-0.0","FL","5baebfz1ea","1536","864","en","Ya05an03","","","","","","","","","","","","","","",""
"","survey-html-form","1","8495","0.0-1.0","FL","5baebfz1ea","1536","864","en","Ya05an03","2432","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","11723","0.0-3.0-0.0","FL","5baebfz1ea","1536","864","en","Ya05an03","3218","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","23806","0.0-3.0-1.0","FL","5baebfz1ea","1536","864","en","Ya05an03","11996","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","75805","0.0-3.0-2.0","FL","5baebfz1ea","1536","864","en","Ya05an03","51995","{""codeword_enter"":""Ya05an03""}","","","","","","","","","","","","",""
"","instructions","5","94423","0.0-4.0","FL","5baebfz1ea","1536","864","en","Ya05an03","NA","","","[{""page_index"":0,""viewing_time"":4302},{""page_index"":1,""viewing_time"":12800}]","instructions","","","","","","","","","",""
"","resize","6","207684","0.0-5.0","FL","5baebfz1ea","1536","864","en","Ya05an03","","","","","","","391","2.4825396825396826","","","","","","",""
"","image-keyboard-response","7","207868","0.0-6.0-0.0","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","209024","0.0-6.0-1.0","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","210029","0.0-6.0-2.0","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","210218","0.0-6.0-0.1","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","211377","0.0-6.0-1.1","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","212380","0.0-6.0-2.1","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","212568","0.0-6.0-0.2","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","213733","0.0-6.0-1.2","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","214741","0.0-6.0-2.2","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","214928","0.0-6.0-0.3","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","216086","0.0-6.0-1.3","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","217087","0.0-6.0-2.3","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","217275","0.0-6.0-0.4","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","218434","0.0-6.0-1.4","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","219446","0.0-6.0-2.4","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","219635","0.0-6.0-0.5","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","220795","0.0-6.0-1.5","FL","5baebfz1ea","1536","864","en","Ya05an03","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
