"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2474","0.0-0.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","","","","","","","","","","","","","","",""
"","survey-html-form","1","9210","0.0-1.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","6731.274999998277","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","28197","0.0-2.0-0.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","18919.024999981048","","text/information.html","","","","","","","","","","","",""
"","external-html","3","38232","0.0-2.0-1.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","9973.900000011781","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","103935","0.0-2.0-2.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","65690.3099999763","{""codeword_enter"":""el06as26""}","","","","","","","","","","","","",""
"","instructions","5","112986","0.0-4.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","NA","","","[{""page_index"":0,""viewing_time"":1302.819999982603},{""page_index"":1,""viewing_time"":6238.260000012815}]","instructions","","","","","","","","","",""
"","resize","6","167625","0.0-5.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","","","","","","","428","2.7174603174603176","","","","","","",""
"","image-keyboard-response","7","167806","0.0-6.0-0.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","168964","0.0-6.0-1.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","169966","0.0-6.0-2.0","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","170146","0.0-6.0-0.1","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","171305","0.0-6.0-1.1","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","172310","0.0-6.0-2.1","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","172487","0.0-6.0-0.2","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","173646","0.0-6.0-1.2","FL","5jpxbwcfh4","1920","1080","de","el06as26","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
