"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","708024","0.0-0.0","FL","75db5dymcw","1366","768","de","er05en16","","","","","","","","","","","","","","",""
"","survey-html-form","1","714631","0.0-1.0","FL","75db5dymcw","1366","768","de","er05en16","6601.589999999967","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","756557","0.0-2.0-0.0","FL","75db5dymcw","1366","768","de","er05en16","41854.659999999916","","text/information.html","","","","","","","","","","","",""
"","external-html","3","777380","0.0-2.0-1.0","FL","75db5dymcw","1366","768","de","er05en16","20801.344999999972","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","874931","0.0-2.0-2.0","FL","75db5dymcw","1366","768","de","er05en16","97543.58500000008","{""codeword_enter"":""er05en16""}","","","","","","","","","","","","",""
"","instructions","5","1038288","0.0-4.0","FL","75db5dymcw","1366","768","de","er05en16","NA","","","[{""page_index"":0,""viewing_time"":150773.42000000004},{""page_index"":1,""viewing_time"":11079.430000000051}]","instructions","","","","","","","","","",""
"","resize","6","1086831","0.0-5.0","FL","75db5dymcw","1366","768","de","er05en16","","","","","","","274","1.7396825396825397","","","","","","",""
"","image-keyboard-response","7","1087010","0.0-6.0-0.0","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","1088162","0.0-6.0-1.0","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","1089164","0.0-6.0-2.0","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","1089342","0.0-6.0-0.1","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","1090493","0.0-6.0-1.1","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","1091495","0.0-6.0-2.1","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","1091671","0.0-6.0-0.2","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","1092822","0.0-6.0-1.2","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","1093824","0.0-6.0-2.2","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","1094000","0.0-6.0-0.3","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","1095151","0.0-6.0-1.3","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","1096153","0.0-6.0-2.3","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","1096329","0.0-6.0-0.4","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","1097480","0.0-6.0-1.4","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","1098482","0.0-6.0-2.4","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","1098658","0.0-6.0-0.5","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","1099809","0.0-6.0-1.5","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","1100810","0.0-6.0-2.5","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","1100987","0.0-6.0-0.6","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","1102138","0.0-6.0-1.6","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","1103139","0.0-6.0-2.6","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","1103315","0.0-6.0-0.7","FL","75db5dymcw","1366","768","de","er05en16","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","1104467","0.0-6.0-1.7","FL","75db5dymcw","1366","768","de","er05en16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
