"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3834","0.0-0.0","FL","75e8k8531m","1920","1080","en","tz05yu04","","","","","","","","","","","","","","",""
"","survey-html-form","1","9898","0.0-1.0","FL","75e8k8531m","1920","1080","en","tz05yu04","6057","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","47367","0.0-3.0-0.0","FL","75e8k8531m","1920","1080","en","tz05yu04","37427","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","63781","0.0-3.0-1.0","FL","75e8k8531m","1920","1080","en","tz05yu04","16349","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","237705","0.0-3.0-2.0","FL","75e8k8531m","1920","1080","en","tz05yu04","173922","{""codeword_enter"":""tz05yu04""}","","","","","","","","","","","","",""
"","instructions","5","251732","0.0-4.0","FL","75e8k8531m","1920","1080","en","tz05yu04","NA","","","[{""page_index"":0,""viewing_time"":3288},{""page_index"":1,""viewing_time"":9229}]","instructions","","","","","","","","","",""
"","resize","6","298569","0.0-5.0","FL","75e8k8531m","1920","1080","en","tz05yu04","","","","","","","276","1.7523809523809524","","","","","","",""
"","image-keyboard-response","7","298750","0.0-6.0-0.0","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","299918","0.0-6.0-1.0","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","300936","0.0-6.0-2.0","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","301128","0.0-6.0-0.1","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","302295","0.0-6.0-1.1","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","303296","0.0-6.0-2.1","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","303487","0.0-6.0-0.2","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","304645","0.0-6.0-1.2","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","305658","0.0-6.0-2.2","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","305847","0.0-6.0-0.3","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","307009","0.0-6.0-1.3","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","308014","0.0-6.0-2.3","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","308205","0.0-6.0-0.4","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","309379","0.0-6.0-1.4","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","310383","0.0-6.0-2.4","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","310570","0.0-6.0-0.5","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","311742","0.0-6.0-1.5","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","312756","0.0-6.0-2.5","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","312944","0.0-6.0-0.6","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","314110","0.0-6.0-1.6","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","315124","0.0-6.0-2.6","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","315316","0.0-6.0-0.7","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","316484","0.0-6.0-1.7","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","317498","0.0-6.0-2.7","FL","75e8k8531m","1920","1080","en","tz05yu04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
