"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5234","0.0-0.0","LF","7acm8wjh3r","1280","720","en","na09ay17","","","","","","","","","","","","","","",""
"","survey-html-form","1","12769","0.0-1.0","LF","7acm8wjh3r","1280","720","en","na09ay17","7529.360000044107","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","120437","0.0-3.0-0.0","LF","7acm8wjh3r","1280","720","en","na09ay17","107608.66000002716","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","165474","0.0-3.0-1.0","LF","7acm8wjh3r","1280","720","en","na09ay17","44977.55499999039","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","350214","0.0-3.0-2.0","LF","7acm8wjh3r","1280","720","en","na09ay17","184729.49499997776","{""codeword_enter"":""na09ay17""}","","","","","","","","","","","","",""
"","instructions","5","377691","0.0-4.0","LF","7acm8wjh3r","1280","720","en","na09ay17","NA","","","[{""page_index"":0,""viewing_time"":6843.20999996271},{""page_index"":1,""viewing_time"":19128.670000005513}]","instructions","","","","","","","","","",""
"","resize","6","462387","0.0-5.0","LF","7acm8wjh3r","1280","720","en","na09ay17","","","","","","","361","2.292063492063492","","","","","","",""
"","html-keyboard-response","7","463392","0.0-6.0-0.0","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","463722","0.0-6.0-1.0","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","464724","0.0-6.0-2.0","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","465728","0.0-6.0-0.1","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","466056","0.0-6.0-1.1","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","467060","0.0-6.0-2.1","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","468063","0.0-6.0-0.2","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","468391","0.0-6.0-1.2","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","469394","0.0-6.0-2.2","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","470398","0.0-6.0-0.3","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","470725","0.0-6.0-1.3","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","471727","0.0-6.0-2.3","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","472730","0.0-6.0-0.4","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","473058","0.0-6.0-1.4","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","474060","0.0-6.0-2.4","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","475065","0.0-6.0-0.5","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","475394","0.0-6.0-1.5","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","476397","0.0-6.0-2.5","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","477399","0.0-6.0-0.6","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","477726","0.0-6.0-1.6","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","478729","0.0-6.0-2.6","LF","7acm8wjh3r","1280","720","en","na09ay17","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
