"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3462","0.0-0.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","","","","","","","","","","","","","","",""
"","survey-html-form","1","7716","0.0-1.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","4252.044999971986","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","56986","0.0-3.0-0.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","49226.210000226274","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","78930","0.0-3.0-1.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","21805.500000016764","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","151926","0.0-3.0-2.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","72992.24499985576","{""codeword_enter"":""nd05ff22""}","","","","","","","","","","","","",""
"","instructions","5","166192","0.0-4.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","NA","","","[{""page_index"":0,""viewing_time"":1830.515000037849},{""page_index"":1,""viewing_time"":10932.915000012144}]","instructions","","","","","","","","","",""
"","resize","6","250231","0.0-5.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","","","","","","","378","2.4","","","","","","",""
"","image-keyboard-response","7","250409","0.0-6.0-0.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","251563","0.0-6.0-1.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","252565","0.0-6.0-2.0","FL","7jmcv9rt87","1280","720","en","nd05ff22","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
