"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","96589399","0.0-0.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","","","","","","","","","","","","","","",""
"","survey-html-form","1","96601055","0.0-1.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","11650","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","96681100","0.0-2.0-0.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","79922","","text/information.html","","","","","","","","","","","",""
"","external-html","3","96714742","0.0-2.0-1.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","33563","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","96791945","0.0-2.0-2.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","77198","{""codeword_enter"":""er07rg24""}","","","","","","","","","","","","",""
"","instructions","5","96819880","0.0-4.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","NA","","","[{""page_index"":0,""viewing_time"":3546},{""page_index"":1,""viewing_time"":24364}]","instructions","","","","","","","","","",""
"","resize","6","97087913","0.0-5.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","","","","","","","534","3.390476190476191","","","","","","",""
"","image-keyboard-response","7","97088090","0.0-6.0-0.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","97089244","0.0-6.0-1.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","97090245","0.0-6.0-2.0","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","97090422","0.0-6.0-0.1","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","97091575","0.0-6.0-1.1","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","97092577","0.0-6.0-2.1","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","97092755","0.0-6.0-0.2","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","97093907","0.0-6.0-1.2","FL","7jnze5y1xt","1920","1080","de","er07rg24","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
