"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","64391372","0.0-0.0","FL","7ksbngduvy","1280","800","en","ng09ei12","","","","","","","","","","","","","","",""
"","survey-html-form","1","65397258","0.0-1.0","FL","7ksbngduvy","1280","800","en","ng09ei12","1005834","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","65481771","0.0-3.0-0.0","FL","7ksbngduvy","1280","800","en","ng09ei12","84198","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","65493230","0.0-3.0-1.0","FL","7ksbngduvy","1280","800","en","ng09ei12","11240","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","65532360","0.0-3.0-2.0","FL","7ksbngduvy","1280","800","en","ng09ei12","39112","{""codeword_enter"":""ng09ei12""}","","","","","","","","","","","","",""
"","instructions","5","65549371","0.0-4.0","FL","7ksbngduvy","1280","800","en","ng09ei12","NA","","","[{""page_index"":0,""viewing_time"":3774},{""page_index"":1,""viewing_time"":11725}]","instructions","","","","","","","","","",""
"","resize","6","65659537","0.0-5.0","FL","7ksbngduvy","1280","800","en","ng09ei12","","","","","","","387","2.4571428571428573","","","","","","",""
"","image-keyboard-response","7","65659718","0.0-6.0-0.0","FL","7ksbngduvy","1280","800","en","ng09ei12","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","65660871","0.0-6.0-1.0","FL","7ksbngduvy","1280","800","en","ng09ei12","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","65661873","0.0-6.0-2.0","FL","7ksbngduvy","1280","800","en","ng09ei12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","65662052","0.0-6.0-0.1","FL","7ksbngduvy","1280","800","en","ng09ei12","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
