"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","1084982","0.0-0.0","FL","7xgb6axxfk","1368","912","de","rf07as06","","","","","","","","","","","","","","",""
"","survey-html-form","1","1096118","0.0-1.0","FL","7xgb6axxfk","1368","912","de","rf07as06","11128.724999725819","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","1146558","0.0-2.0-0.0","FL","7xgb6axxfk","1368","912","de","rf07as06","49949.53499967232","","text/information.html","","","","","","","","","","","",""
"","external-html","3","1176657","0.0-2.0-1.0","FL","7xgb6axxfk","1368","912","de","rf07as06","29503.38499993086","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","1255521","0.0-2.0-2.0","FL","7xgb6axxfk","1368","912","de","rf07as06","78858.15500002354","{""codeword_enter"":""rf07as06""}","","","","","","","","","","","","",""
"","instructions","5","1305032","0.0-4.0","FL","7xgb6axxfk","1368","912","de","rf07as06","NA","","","[{""page_index"":0,""viewing_time"":20104.12499960512},{""page_index"":1,""viewing_time"":27897.415000014007}]","instructions","","","","","","","","","",""
"","resize","6","1511789","0.0-5.0","FL","7xgb6axxfk","1368","912","de","rf07as06","","","","","","","452","2.86984126984127","","","","","","",""
"","image-keyboard-response","7","1511978","0.0-6.0-0.0","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","1513150","0.0-6.0-1.0","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","1514154","0.0-6.0-2.0","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","1514342","0.0-6.0-0.1","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","1515515","0.0-6.0-1.1","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","1516527","0.0-6.0-2.1","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","1516714","0.0-6.0-0.2","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","1517872","0.0-6.0-1.2","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","1518879","0.0-6.0-2.2","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","1519066","0.0-6.0-0.3","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","1520241","0.0-6.0-1.3","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","1521244","0.0-6.0-2.3","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","1521433","0.0-6.0-0.4","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","1522609","0.0-6.0-1.4","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","1523625","0.0-6.0-2.4","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","1523814","0.0-6.0-0.5","FL","7xgb6axxfk","1368","912","de","rf07as06","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
