"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","36560","0.0-0.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","","","","","","","","","","","","","","",""
"","survey-html-form","1","44156","0.0-1.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","7590.725000016391","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","123771","0.0-3.0-0.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","79340.62499995343","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","137205","0.0-3.0-1.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","13107.104999944568","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","169036","0.0-3.0-2.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","31825.62500005588","{""codeword_enter"":""ke05us31""}","","","","","","","","","","","","",""
"","instructions","5","191871","0.0-4.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","NA","","","[{""page_index"":0,""viewing_time"":5345.045000081882},{""page_index"":1,""viewing_time"":15982.910000020638}]","instructions","","","","","","","","","",""
"","resize","6","217638","0.0-5.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","","","","","","","376","2.3873015873015873","","","","","","",""
"","image-keyboard-response","7","217819","0.0-6.0-0.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","218974","0.0-6.0-1.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","219977","0.0-6.0-2.0","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","220155","0.0-6.0-0.1","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","221307","0.0-6.0-1.1","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","222311","0.0-6.0-2.1","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","222488","0.0-6.0-0.2","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","223641","0.0-6.0-1.2","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","224644","0.0-6.0-2.2","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","224821","0.0-6.0-0.3","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","225976","0.0-6.0-1.3","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","226979","0.0-6.0-2.3","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","227157","0.0-6.0-0.4","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","228309","0.0-6.0-1.4","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","229312","0.0-6.0-2.4","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","229489","0.0-6.0-0.5","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","230643","0.0-6.0-1.5","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","231645","0.0-6.0-2.5","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","231823","0.0-6.0-0.6","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","232976","0.0-6.0-1.6","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","233978","0.0-6.0-2.6","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","234157","0.0-6.0-0.7","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","235310","0.0-6.0-1.7","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","236313","0.0-6.0-2.7","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","236491","0.0-6.0-0.8","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","237644","0.0-6.0-1.8","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","238649","0.0-6.0-2.8","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","238826","0.0-6.0-0.9","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","239980","0.0-6.0-1.9","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","240983","0.0-6.0-2.9","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","241160","0.0-6.0-0.10","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","242313","0.0-6.0-1.10","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","243315","0.0-6.0-2.10","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","243492","0.0-6.0-0.11","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","244645","0.0-6.0-1.11","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","245647","0.0-6.0-2.11","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","245825","0.0-6.0-0.12","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","246978","0.0-6.0-1.12","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","247981","0.0-6.0-2.12","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","248159","0.0-6.0-0.13","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","249312","0.0-6.0-1.13","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","250314","0.0-6.0-2.13","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","250492","0.0-6.0-0.14","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","251645","0.0-6.0-1.14","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","252648","0.0-6.0-2.14","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","252826","0.0-6.0-0.15","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","253979","0.0-6.0-1.15","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","254982","0.0-6.0-2.15","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","255160","0.0-6.0-0.16","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","256315","0.0-6.0-1.16","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","257317","0.0-6.0-2.16","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","257494","0.0-6.0-0.17","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","258647","0.0-6.0-1.17","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","259650","0.0-6.0-2.17","FL","8vhxe9t9g0","1500","1000","en","ke05us31","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
