"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","8862","0.0-0.0","LF","99v3ayruzp","1440","900","de","ki04as07","","","","","","","","","","","","","","",""
"","survey-html-form","1","14500","0.0-1.0","LF","99v3ayruzp","1440","900","de","ki04as07","5635.065000038594","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","27915","0.0-2.0-0.0","LF","99v3ayruzp","1440","900","de","ki04as07","13337.174999993294","","text/information.html","","","","","","","","","","","",""
"","external-html","3","35219","0.0-2.0-1.0","LF","99v3ayruzp","1440","900","de","ki04as07","7203.704999992624","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","64203","0.0-2.0-2.0","LF","99v3ayruzp","1440","900","de","ki04as07","28983.055000077","{""codeword_enter"":""ki04as07""}","","","","","","","","","","","","",""
"","instructions","5","75892","0.0-4.0","LF","99v3ayruzp","1440","900","de","ki04as07","NA","","","[{""page_index"":0,""viewing_time"":2974.475000053644},{""page_index"":1,""viewing_time"":7211.9699999457225}]","instructions","","","","","","","","","",""
"","resize","6","116989","0.0-5.0","LF","99v3ayruzp","1440","900","de","ki04as07","","","","","","","426","2.7047619047619045","","","","","","",""
"","html-keyboard-response","7","117994","0.0-6.0-0.0","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","118327","0.0-6.0-1.0","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","119329","0.0-6.0-2.0","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","120334","0.0-6.0-0.1","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","120666","0.0-6.0-1.1","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","121669","0.0-6.0-2.1","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","122676","0.0-6.0-0.2","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","123003","0.0-6.0-1.2","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","124007","0.0-6.0-2.2","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","125009","0.0-6.0-0.3","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","125340","0.0-6.0-1.3","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","126346","0.0-6.0-2.3","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","127351","0.0-6.0-0.4","LF","99v3ayruzp","1440","900","de","ki04as07","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
