"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5486","0.0-0.0","LF","9dovdyxkak","1280","720","de","er09us26","","","","","","","","","","","","","","",""
"","survey-html-form","1","23491","0.0-1.0","LF","9dovdyxkak","1280","720","de","er09us26","18000","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","261069","0.0-2.0-0.0","LF","9dovdyxkak","1280","720","de","er09us26","237503","","text/information.html","","","","","","","","","","","",""
"","external-html","3","330999","0.0-2.0-1.0","LF","9dovdyxkak","1280","720","de","er09us26","69885","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","455880","0.0-2.0-2.0","LF","9dovdyxkak","1280","720","de","er09us26","124877","{""codeword_enter"":""er09us26""}","","","","","","","","","","","","",""
"","instructions","5","484294","0.0-4.0","LF","9dovdyxkak","1280","720","de","er09us26","NA","","","[{""page_index"":0,""viewing_time"":3055},{""page_index"":1,""viewing_time"":23850}]","instructions","","","","","","","","","",""
"","resize","6","677157","0.0-5.0","LF","9dovdyxkak","1280","720","de","er09us26","","","","","","","372","2.361904761904762","","","","","","",""
"","html-keyboard-response","7","678176","0.0-6.0-0.0","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","678517","0.0-6.0-1.0","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","679536","0.0-6.0-2.0","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","680556","0.0-6.0-0.1","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","680896","0.0-6.0-1.1","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","681907","0.0-6.0-2.1","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","682916","0.0-6.0-0.2","LF","9dovdyxkak","1280","720","de","er09us26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
