"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3401","0.0-0.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","","","","","","","","","","","","","","",""
"","survey-html-form","1","9467","0.0-1.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","6042","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","45893","0.0-2.0-0.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","36388","","text/information.html","","","","","","","","","","","",""
"","external-html","3","56664","0.0-2.0-1.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","10717","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","112424","0.0-2.0-2.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","55750","{""codeword_enter"":""ER06RD19""}","","","","","","","","","","","","",""
"","instructions","5","131602","0.0-4.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","NA","","","[{""page_index"":0,""viewing_time"":3251},{""page_index"":1,""viewing_time"":14418}]","instructions","","","","","","","","","",""
"","resize","6","201646","0.0-5.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","","","","","","","426","2.7047619047619045","","","","","","",""
"","image-keyboard-response","7","201829","0.0-6.0-0.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","202991","0.0-6.0-1.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","203994","0.0-6.0-2.0","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","204175","0.0-6.0-0.1","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","205329","0.0-6.0-1.1","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","206334","0.0-6.0-2.1","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","206513","0.0-6.0-0.2","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","207670","0.0-6.0-1.2","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","208672","0.0-6.0-2.2","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","208852","0.0-6.0-0.3","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","210013","0.0-6.0-1.3","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","211018","0.0-6.0-2.3","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","211196","0.0-6.0-0.4","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","212353","0.0-6.0-1.4","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","213359","0.0-6.0-2.4","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","213537","0.0-6.0-0.5","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","214694","0.0-6.0-1.5","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","215697","0.0-6.0-2.5","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","215876","0.0-6.0-0.6","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","217033","0.0-6.0-1.6","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","218040","0.0-6.0-2.6","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","218216","0.0-6.0-0.7","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","219369","0.0-6.0-1.7","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","220375","0.0-6.0-2.7","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","220557","0.0-6.0-0.8","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","221714","0.0-6.0-1.8","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","222716","0.0-6.0-2.8","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","222897","0.0-6.0-0.9","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","224055","0.0-6.0-1.9","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","225060","0.0-6.0-2.9","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","225240","0.0-6.0-0.10","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","226397","0.0-6.0-1.10","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","227400","0.0-6.0-2.10","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","227581","0.0-6.0-0.11","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","228735","0.0-6.0-1.11","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","229737","0.0-6.0-2.11","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","229914","0.0-6.0-0.12","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","231073","0.0-6.0-1.12","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","232078","0.0-6.0-2.12","FL","9hgljjcs6a","1440","900","de","ER06RD19","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
