"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4184","0.0-0.0","FL","9kjfelsstb","1440","960","en","er09ch20","","","","","","","","","","","","","","",""
"","survey-html-form","1","16403","0.0-1.0","FL","9kjfelsstb","1440","960","en","er09ch20","12210","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","49962","0.0-3.0-0.0","FL","9kjfelsstb","1440","960","en","er09ch20","33530","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","64149","0.0-3.0-1.0","FL","9kjfelsstb","1440","960","en","er09ch20","14152","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","139444","0.0-3.0-2.0","FL","9kjfelsstb","1440","960","en","er09ch20","75292","{""codeword_enter"":""er09ch20""}","","","","","","","","","","","","",""
"","instructions","5","156097","0.0-4.0","FL","9kjfelsstb","1440","960","en","er09ch20","NA","","","[{""page_index"":0,""viewing_time"":2914},{""page_index"":1,""viewing_time"":12231}]","instructions","","","","","","","","","",""
"","resize","6","205874","0.0-5.0","FL","9kjfelsstb","1440","960","en","er09ch20","","","","","","","477","3.0285714285714285","","","","","","",""
"","image-keyboard-response","7","206060","0.0-6.0-0.0","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","207239","0.0-6.0-1.0","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","208241","0.0-6.0-2.0","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","208430","0.0-6.0-0.1","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","209620","0.0-6.0-1.1","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","210639","0.0-6.0-2.1","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","210820","0.0-6.0-0.2","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","211990","0.0-6.0-1.2","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","213009","0.0-6.0-2.2","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","213189","0.0-6.0-0.3","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","214368","0.0-6.0-1.3","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","215379","0.0-6.0-2.3","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","215558","0.0-6.0-0.4","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","216739","0.0-6.0-1.4","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","217759","0.0-6.0-2.4","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","217940","0.0-6.0-0.5","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","219100","0.0-6.0-1.5","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","220119","0.0-6.0-2.5","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","220299","0.0-6.0-0.6","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","221478","0.0-6.0-1.6","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","222498","0.0-6.0-2.6","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","222679","0.0-6.0-0.7","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","223859","0.0-6.0-1.7","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","224879","0.0-6.0-2.7","FL","9kjfelsstb","1440","960","en","er09ch20","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
