"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6027","0.0-0.0","FL","9zuef86ced","1280","720","de","rz06as26","","","","","","","","","","","","","","",""
"","survey-html-form","1","18567","0.0-1.0","FL","9zuef86ced","1280","720","de","rz06as26","12532.160000002477","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","83500","0.0-2.0-0.0","FL","9zuef86ced","1280","720","de","rz06as26","64520.85499999521","","text/information.html","","","","","","","","","","","",""
"","external-html","3","111558","0.0-2.0-1.0","FL","9zuef86ced","1280","720","de","rz06as26","27374.23499999568","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","198984","0.0-2.0-2.0","FL","9zuef86ced","1280","720","de","rz06as26","87419.53499999363","{""codeword_enter"":""rz06as26""}","","","","","","","","","","","","",""
"","instructions","5","221994","0.0-4.0","FL","9zuef86ced","1280","720","de","rz06as26","NA","","","[{""page_index"":0,""viewing_time"":4095.274999999674},{""page_index"":1,""viewing_time"":17407.935000010184}]","instructions","","","","","","","","","",""
"","resize","6","280274","0.0-5.0","FL","9zuef86ced","1280","720","de","rz06as26","","","","","","","352","2.234920634920635","","","","","","",""
"","image-keyboard-response","7","280459","0.0-6.0-0.0","FL","9zuef86ced","1280","720","de","rz06as26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","281615","0.0-6.0-1.0","FL","9zuef86ced","1280","720","de","rz06as26","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","282620","0.0-6.0-2.0","FL","9zuef86ced","1280","720","de","rz06as26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","282798","0.0-6.0-0.1","FL","9zuef86ced","1280","720","de","rz06as26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
