"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6033","0.0-0.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","","","","","","","","","","","","","","",""
"","survey-html-form","1","701514","0.0-1.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","695472","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","845932","0.0-2.0-0.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","144208","","text/information.html","","","","","","","","","","","",""
"","external-html","3","869321","0.0-2.0-1.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","23250","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","940999","0.0-2.0-2.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","71668","{""codeword_enter"":""ll08ar27""}","","","","","","","","","","","","",""
"","instructions","5","963262","0.0-4.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","NA","","","[{""page_index"":0,""viewing_time"":2592},{""page_index"":1,""viewing_time"":18167}]","instructions","","","","","","","","","",""
"","resize","6","1015531","0.0-5.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","","","","","","","306","1.9428571428571428","","","","","","",""
"","image-keyboard-response","7","1015709","0.0-6.0-0.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","1016862","0.0-6.0-1.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","1017865","0.0-6.0-2.0","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","1018043","0.0-6.0-0.1","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","1019196","0.0-6.0-1.1","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","1020199","0.0-6.0-2.1","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","1020376","0.0-6.0-0.2","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","1021531","0.0-6.0-1.2","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","1022532","0.0-6.0-2.2","FL","a7hqcrbor2","1680","1050","de","ll08ar27","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
