"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","895598","0.0-0.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","","","","","","","","","","","","","","",""
"","survey-html-form","1","907319","0.0-1.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","11715.490000000107","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","1047393","0.0-2.0-0.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","139991.24000000034","","text/information.html","","","","","","","","","","","",""
"","external-html","3","1094657","0.0-2.0-1.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","47197.769999999786","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","1185564","0.0-2.0-2.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","90903.04500000016","{""codeword_enter"":""VO06AS02""}","","","","","","","","","","","","",""
"","instructions","5","1206224","0.0-4.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","NA","","","[{""page_index"":0,""viewing_time"":3408.0399999998044},{""page_index"":1,""viewing_time"":15739.770000000251}]","instructions","","","","","","","","","",""
"","resize","6","1414396","0.0-5.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","","","","","","","310","1.9682539682539681","","","","","","",""
"","html-keyboard-response","7","1415399","0.0-6.0-0.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","1415734","0.0-6.0-1.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","1416752","0.0-6.0-2.0","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","1417757","0.0-6.0-0.1","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","1418084","0.0-6.0-1.1","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","1419101","0.0-6.0-2.1","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","1420108","0.0-6.0-0.2","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","1420450","0.0-6.0-1.2","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","1421459","0.0-6.0-2.2","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","1422467","0.0-6.0-0.3","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","1422810","0.0-6.0-1.3","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","1423821","0.0-6.0-2.3","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","1424831","0.0-6.0-0.4","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","1425161","0.0-6.0-1.4","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","1426167","0.0-6.0-2.4","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","1427177","0.0-6.0-0.5","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","1427520","0.0-6.0-1.5","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","1428533","0.0-6.0-2.5","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","1429543","0.0-6.0-0.6","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","1429871","0.0-6.0-1.6","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","1430880","0.0-6.0-2.6","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","1431888","0.0-6.0-0.7","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","1432216","0.0-6.0-1.7","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","1433226","0.0-6.0-2.7","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","1434235","0.0-6.0-0.8","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","1434576","0.0-6.0-1.8","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","1435583","0.0-6.0-2.8","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","1436592","0.0-6.0-0.9","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","1436924","0.0-6.0-1.9","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","1437941","0.0-6.0-2.9","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","1438950","0.0-6.0-0.10","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","1439278","0.0-6.0-1.10","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","1440287","0.0-6.0-2.10","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","1441302","0.0-6.0-0.11","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","1441634","0.0-6.0-1.11","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","1442643","0.0-6.0-2.11","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","1443653","0.0-6.0-0.12","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","1443981","0.0-6.0-1.12","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","1444988","0.0-6.0-2.12","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","1446000","0.0-6.0-0.13","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","1446329","0.0-6.0-1.13","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","1447335","0.0-6.0-2.13","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","1448346","0.0-6.0-0.14","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","1448687","0.0-6.0-1.14","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","1449701","0.0-6.0-2.14","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","1450709","0.0-6.0-0.15","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","1451036","0.0-6.0-1.15","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","1452048","0.0-6.0-2.15","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","1453058","0.0-6.0-0.16","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","1453386","0.0-6.0-1.16","LF","acgok0jj2j","1920","1080","de","VO06AS02","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
