"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","14489","0.0-0.0","LF","asumwjv4nj","1440","900","en","ne06je04","","","","","","","","","","","","","","",""
"","survey-html-form","1","20285","0.0-1.0","LF","asumwjv4nj","1440","900","en","ne06je04","5792.319999978645","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","125196","0.0-3.0-0.0","LF","asumwjv4nj","1440","900","en","ne06je04","104590.41500001331","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","144752","0.0-3.0-1.0","LF","asumwjv4nj","1440","900","en","ne06je04","19254.990000015823","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","193941","0.0-3.0-2.0","LF","asumwjv4nj","1440","900","en","ne06je04","49183.95499998587","{""codeword_enter"":""ne06je04""}","","","","","","","","","","","","",""
"","instructions","5","204156","0.0-4.0","LF","asumwjv4nj","1440","900","en","ne06je04","NA","","","[{""page_index"":0,""viewing_time"":1575.6249999976717},{""page_index"":1,""viewing_time"":7133.12000001315}]","instructions","","","","","","","","","",""
"","resize","6","237620","0.0-5.0","LF","asumwjv4nj","1440","900","en","ne06je04","","","","","","","377","2.3936507936507936","","","","","","",""
"","html-keyboard-response","7","238625","0.0-6.0-0.0","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","238953","0.0-6.0-1.0","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","239954","0.0-6.0-2.0","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","240957","0.0-6.0-0.1","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","241291","0.0-6.0-1.1","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","242295","0.0-6.0-2.1","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","243300","0.0-6.0-0.2","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","243631","0.0-6.0-1.2","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","244634","0.0-6.0-2.2","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","245636","0.0-6.0-0.3","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","245965","0.0-6.0-1.3","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","246969","0.0-6.0-2.3","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","247974","0.0-6.0-0.4","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","248304","0.0-6.0-1.4","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","249310","0.0-6.0-2.4","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","250315","0.0-6.0-0.5","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","250645","0.0-6.0-1.5","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","251647","0.0-6.0-2.5","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","252653","0.0-6.0-0.6","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","252984","0.0-6.0-1.6","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","253988","0.0-6.0-2.6","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","254993","0.0-6.0-0.7","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","255327","0.0-6.0-1.7","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","256333","0.0-6.0-2.7","LF","asumwjv4nj","1440","900","en","ne06je04","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
