"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","5075","0.0-0.0","FL","atap00wwqb","1366","768","en","ft08en25","","","","","","","","","","","","","","",""
"","survey-html-form","1","11798","0.0-1.0","FL","atap00wwqb","1366","768","en","ft08en25","6688","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","68689","0.0-3.0-0.0","FL","atap00wwqb","1366","768","en","ft08en25","56794","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","100942","0.0-3.0-1.0","FL","atap00wwqb","1366","768","en","ft08en25","32138","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","165721","0.0-3.0-2.0","FL","atap00wwqb","1366","768","en","ft08en25","64774","{""codeword_enter"":""ft08en25""}","","","","","","","","","","","","",""
"","instructions","5","195395","0.0-4.0","FL","atap00wwqb","1366","768","en","ft08en25","NA","","","[{""page_index"":0,""viewing_time"":9245},{""page_index"":1,""viewing_time"":18906}]","instructions","","","","","","","","","",""
"","resize","6","253058","0.0-5.0","FL","atap00wwqb","1366","768","en","ft08en25","","","","","","","337","2.1396825396825396","","","","","","",""
"","image-keyboard-response","7","253237","0.0-6.0-0.0","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","254420","0.0-6.0-1.0","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","255437","0.0-6.0-2.0","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","255621","0.0-6.0-0.1","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","256801","0.0-6.0-1.1","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","257820","0.0-6.0-2.1","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","258001","0.0-6.0-0.2","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","259168","0.0-6.0-1.2","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","260181","0.0-6.0-2.2","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","260361","0.0-6.0-0.3","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","261540","0.0-6.0-1.3","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","262560","0.0-6.0-2.3","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","262740","0.0-6.0-0.4","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","263911","0.0-6.0-1.4","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","264931","0.0-6.0-2.4","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","265111","0.0-6.0-0.5","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","266289","0.0-6.0-1.5","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","267311","0.0-6.0-2.5","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","267490","0.0-6.0-0.6","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","268670","0.0-6.0-1.6","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","269690","0.0-6.0-2.6","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","269870","0.0-6.0-0.7","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","271050","0.0-6.0-1.7","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","272070","0.0-6.0-2.7","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","272251","0.0-6.0-0.8","FL","atap00wwqb","1366","768","en","ft08en25","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
