"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4461","0.0-0.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","","","","","","","","","","","","","","",""
"","survey-html-form","1","14153","0.0-1.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","9687.29000003077","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","21801","0.0-2.0-0.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","7574.374999967404","","text/information.html","","","","","","","","","","","",""
"","external-html","3","31471","0.0-2.0-1.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","9622.959999949671","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","124225","0.0-2.0-2.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","92752.47000006493","{""codeword_enter"":""IC06IR09""}","","","","","","","","","","","","",""
"","instructions","5","144706","0.0-4.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","NA","","","[{""page_index"":0,""viewing_time"":5185.300000011921},{""page_index"":1,""viewing_time"":13791.450000018813}]","instructions","","","","","","","","","",""
"","resize","6","216419","0.0-5.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","","","","","","","373","2.3682539682539683","","","","","","",""
"","image-keyboard-response","7","216597","0.0-6.0-0.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","217750","0.0-6.0-1.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","218754","0.0-6.0-2.0","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","218931","0.0-6.0-0.1","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","220084","0.0-6.0-1.1","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","221086","0.0-6.0-2.1","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","221263","0.0-6.0-0.2","FL","bhjyudy7kq","1536","864","de","IC06IR09","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
