"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2191","0.0-0.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","","","","","","","","","","","","","","",""
"","survey-html-form","1","4055","0.0-1.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","1862.6150000018242","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","17770","0.0-2.0-0.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","13704.639999999927","","text/information.html","","","","","","","","","","","",""
"","external-html","3","39500","0.0-2.0-1.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","21648.73499999885","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","116498","0.0-2.0-2.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","76994.55999999918","{""codeword_enter"":""ck05ng18""}","","","","","","","","","","","","",""
"","instructions","5","132448","0.0-4.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","NA","","","[{""page_index"":0,""viewing_time"":3070.240000000922},{""page_index"":1,""viewing_time"":11370.199999997567}]","instructions","","","","","","","","","",""
"","resize","6","171675","0.0-5.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","","","","","","","270","1.7142857142857142","","","","","","",""
"","html-keyboard-response","7","172690","0.0-6.0-0.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","173022","0.0-6.0-1.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","174024","0.0-6.0-2.0","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","175036","0.0-6.0-0.1","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","175386","0.0-6.0-1.1","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","176402","0.0-6.0-2.1","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","177403","0.0-6.0-0.2","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","177734","0.0-6.0-1.2","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","178750","0.0-6.0-2.2","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","179762","0.0-6.0-0.3","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","180090","0.0-6.0-1.3","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","181091","0.0-6.0-2.3","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","182095","0.0-6.0-0.4","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","182427","0.0-6.0-1.4","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","183439","0.0-6.0-2.4","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","184454","0.0-6.0-0.5","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","184781","0.0-6.0-1.5","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","185787","0.0-6.0-2.5","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","186801","0.0-6.0-0.6","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","187152","0.0-6.0-1.6","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","188166","0.0-6.0-2.6","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","189179","0.0-6.0-0.7","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","189513","0.0-6.0-1.7","LF","c7w24j9nfq","1920","1080","de","ck05ng18","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
