"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","4775","0.0-0.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","","","","","","","","","","","","","","",""
"","survey-html-form","1","13500","0.0-1.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","8720.104999999989","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","186269","0.0-2.0-0.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","172649.4550000001","","text/information.html","","","","","","","","","","","",""
"","external-html","3","230558","0.0-2.0-1.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","44174.654999999824","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","285939","0.0-2.0-2.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","55379.17500000002","{""codeword_enter"":""RL05OR28""}","","","","","","","","","","","","",""
"","instructions","5","305507","0.0-4.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","NA","","","[{""page_index"":0,""viewing_time"":2947.6650000001537},{""page_index"":1,""viewing_time"":15111.859999999986}]","instructions","","","","","","","","","",""
"","resize","6","344276","0.0-5.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","","","","","","","433","2.749206349206349","","","","","","",""
"","image-keyboard-response","7","344458","0.0-6.0-0.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","345615","0.0-6.0-1.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","346621","0.0-6.0-2.0","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","346803","0.0-6.0-0.1","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","347964","0.0-6.0-1.1","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","348970","0.0-6.0-2.1","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","349151","0.0-6.0-0.2","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","350312","0.0-6.0-1.2","FL","cdnsgh8l6s","1440","900","de","RL05OR28","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
