"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","11039","0.0-0.0","LF","csfpvftfnx","1600","900","de","ko05or02","","","","","","","","","","","","","","",""
"","survey-html-form","1","33398","0.0-1.0","LF","csfpvftfnx","1600","900","de","ko05or02","22353.29500027001","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","175724","0.0-2.0-0.0","LF","csfpvftfnx","1600","900","de","ko05or02","142232.21499845386","","text/information.html","","","","","","","","","","","",""
"","external-html","3","193229","0.0-2.0-1.0","LF","csfpvftfnx","1600","900","de","ko05or02","17432.77500011027","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","310002","0.0-2.0-2.0","LF","csfpvftfnx","1600","900","de","ko05or02","116768.42499896884","{""codeword_enter"":""ko05or02""}","","","","","","","","","","","","",""
"","instructions","5","351217","0.0-4.0","LF","csfpvftfnx","1600","900","de","ko05or02","NA","","","[{""page_index"":0,""viewing_time"":3439.6349992603064},{""page_index"":1,""viewing_time"":36263.365000486374}]","instructions","","","","","","","","","",""
"","resize","6","502859","0.0-5.0","LF","csfpvftfnx","1600","900","de","ko05or02","","","","","","","444","2.8190476190476192","","","","","","",""
"","html-keyboard-response","7","503864","0.0-6.0-0.0","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","504205","0.0-6.0-1.0","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","505214","0.0-6.0-2.0","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","506219","0.0-6.0-0.1","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","506555","0.0-6.0-1.1","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","507563","0.0-6.0-2.1","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","508576","0.0-6.0-0.2","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","508921","0.0-6.0-1.2","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","509932","0.0-6.0-2.2","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","510944","0.0-6.0-0.3","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","511286","0.0-6.0-1.3","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","512304","0.0-6.0-2.3","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","513309","0.0-6.0-0.4","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","513645","0.0-6.0-1.4","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","514648","0.0-6.0-2.4","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","515658","0.0-6.0-0.5","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","516004","0.0-6.0-1.5","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","517019","0.0-6.0-2.5","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","518028","0.0-6.0-0.6","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","518366","0.0-6.0-1.6","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","519381","0.0-6.0-2.6","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","520386","0.0-6.0-0.7","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","520728","0.0-6.0-1.7","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","521736","0.0-6.0-2.7","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","522740","0.0-6.0-0.8","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","523079","0.0-6.0-1.8","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","524093","0.0-6.0-2.8","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","525102","0.0-6.0-0.9","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","525440","0.0-6.0-1.9","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","526456","0.0-6.0-2.9","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","527469","0.0-6.0-0.10","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","527803","0.0-6.0-1.10","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","528819","0.0-6.0-2.10","LF","csfpvftfnx","1600","900","de","ko05or02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
