"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","1824","0.0-0.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","","","","","","","","","","","","","","",""
"","survey-html-form","1","3228","0.0-1.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","1397.705000003043","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","5911","0.0-3.0-0.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","2673.86500000066","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","14954","0.0-3.0-1.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","9034.934999999678","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","17350","0.0-3.0-2.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","2393.180000002758","{""codeword_enter"":""ER04LF09""}","","","","","","","","","","","","",""
"","instructions","5","23607","0.0-4.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","NA","","","[{""page_index"":0,""viewing_time"":1375.915000000532},{""page_index"":1,""viewing_time"":3374.9800000005052}]","instructions","","","","","","","","","",""
"","resize","6","32114","0.0-5.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","","","","","","","386","2.450793650793651","","","","","","",""
"","image-keyboard-response","7","32294","0.0-6.0-0.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","33450","0.0-6.0-1.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","34457","0.0-6.0-2.0","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","34639","0.0-6.0-0.1","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","35794","0.0-6.0-1.1","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","36797","0.0-6.0-2.1","FL","dt4f26xnjv","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
