"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","13810","0.0-0.0","LF","dy38rvvnxc","1366","768","de","rf07er10","","","","","","","","","","","","","","",""
"","survey-html-form","1","26803","0.0-1.0","LF","dy38rvvnxc","1366","768","de","rf07er10","12986","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","71762","0.0-2.0-0.0","LF","dy38rvvnxc","1366","768","de","rf07er10","44816","","text/information.html","","","","","","","","","","","",""
"","external-html","3","95292","0.0-2.0-1.0","LF","dy38rvvnxc","1366","768","de","rf07er10","23449","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","187392","0.0-2.0-2.0","LF","dy38rvvnxc","1366","768","de","rf07er10","92093","{""codeword_enter"":""rf07er10""}","","","","","","","","","","","","",""
"","instructions","5","210809","0.0-4.0","LF","dy38rvvnxc","1366","768","de","rf07er10","NA","","","[{""page_index"":0,""viewing_time"":4638},{""page_index"":1,""viewing_time"":17275}]","instructions","","","","","","","","","",""
"","resize","6","336612","0.0-5.0","LF","dy38rvvnxc","1366","768","de","rf07er10","","","","","","","336","2.1333333333333333","","","","","","",""
"","html-keyboard-response","7","337616","0.0-6.0-0.0","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","337945","0.0-6.0-1.0","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","338947","0.0-6.0-2.0","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","339949","0.0-6.0-0.1","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","340277","0.0-6.0-1.1","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","341280","0.0-6.0-2.1","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","342282","0.0-6.0-0.2","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","342610","0.0-6.0-1.2","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","343613","0.0-6.0-2.2","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","344614","0.0-6.0-0.3","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","344942","0.0-6.0-1.3","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","345945","0.0-6.0-2.3","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","346947","0.0-6.0-0.4","LF","dy38rvvnxc","1366","768","de","rf07er10","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
