"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","11002","0.0-0.0","FL","emk1tsfc0c","1280","720","en","dt05as10","","","","","","","","","","","","","","",""
"","survey-html-form","1","27932","0.0-1.0","FL","emk1tsfc0c","1280","720","en","dt05as10","16923","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","202390","0.0-3.0-0.0","FL","emk1tsfc0c","1280","720","en","dt05as10","174368","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","281002","0.0-3.0-1.0","FL","emk1tsfc0c","1280","720","en","dt05as10","78513","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","386981","0.0-3.0-2.0","FL","emk1tsfc0c","1280","720","en","dt05as10","105973","{""codeword_enter"":""dt05as10""}","","","","","","","","","","","","",""
"","instructions","5","423502","0.0-4.0","FL","emk1tsfc0c","1280","720","en","dt05as10","NA","","","[{""page_index"":0,""viewing_time"":6267},{""page_index"":1,""viewing_time"":28742}]","instructions","","","","","","","","","",""
"","resize","6","524974","0.0-5.0","FL","emk1tsfc0c","1280","720","en","dt05as10","","","","","","","380","2.4126984126984126","","","","","","",""
"","image-keyboard-response","7","525166","0.0-6.0-0.0","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","526336","0.0-6.0-1.0","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","527342","0.0-6.0-2.0","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","527533","0.0-6.0-0.1","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","528713","0.0-6.0-1.1","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","529724","0.0-6.0-2.1","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","529913","0.0-6.0-0.2","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","531093","0.0-6.0-1.2","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","532113","0.0-6.0-2.2","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","532303","0.0-6.0-0.3","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","533483","0.0-6.0-1.3","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","534493","0.0-6.0-2.3","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","534672","0.0-6.0-0.4","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","535853","0.0-6.0-1.4","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","536874","0.0-6.0-2.4","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","537064","0.0-6.0-0.5","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","538243","0.0-6.0-1.5","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","539263","0.0-6.0-2.5","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","539453","0.0-6.0-0.6","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","540623","0.0-6.0-1.6","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","541643","0.0-6.0-2.6","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","541834","0.0-6.0-0.7","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","543013","0.0-6.0-1.7","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","544033","0.0-6.0-2.7","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","544224","0.0-6.0-0.8","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","545393","0.0-6.0-1.8","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","546403","0.0-6.0-2.8","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","546593","0.0-6.0-0.9","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","547762","0.0-6.0-1.9","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","548784","0.0-6.0-2.9","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","548973","0.0-6.0-0.10","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","550143","0.0-6.0-1.10","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","551163","0.0-6.0-2.10","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","551353","0.0-6.0-0.11","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","552529","0.0-6.0-1.11","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","553533","0.0-6.0-2.11","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","553723","0.0-6.0-0.12","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","554892","0.0-6.0-1.12","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","45","555913","0.0-6.0-2.12","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide13.JPG","That was a bim.","",""
"","image-keyboard-response","46","556103","0.0-6.0-0.13","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","47","557282","0.0-6.0-1.13","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","48","558303","0.0-6.0-2.13","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide14.JPG","That was a wug.","",""
"","image-keyboard-response","49","558493","0.0-6.0-0.14","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","50","559673","0.0-6.0-1.14","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","51","560682","0.0-6.0-2.14","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide15.JPG","That was a tob.","",""
"","image-keyboard-response","52","560873","0.0-6.0-0.15","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","53","562052","0.0-6.0-1.15","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","54","563063","0.0-6.0-2.15","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide16.JPG","That was a dep.","",""
"","image-keyboard-response","55","563242","0.0-6.0-0.16","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","56","564422","0.0-6.0-1.16","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","57","565442","0.0-6.0-2.16","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide17.JPG","That was a bim.","",""
"","image-keyboard-response","58","565630","0.0-6.0-0.17","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","59","566813","0.0-6.0-1.17","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","60","567822","0.0-6.0-2.17","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide18.JPG","That was a tob.","",""
"","image-keyboard-response","61","568002","0.0-6.0-0.18","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","62","569172","0.0-6.0-1.18","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","63","570193","0.0-6.0-2.18","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide19.JPG","That was a wug.","",""
"","image-keyboard-response","64","570383","0.0-6.0-0.19","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","65","571563","0.0-6.0-1.19","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","66","572582","0.0-6.0-2.19","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide20.JPG","That was a bim.","",""
"","image-keyboard-response","67","572773","0.0-6.0-0.20","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","68","573952","0.0-6.0-1.20","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","69","574958","0.0-6.0-2.20","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide21.JPG","That was a dep.","",""
"","image-keyboard-response","70","575148","0.0-6.0-0.21","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide22.JPG","null","","","","",""
"","html-keyboard-response","71","576322","0.0-6.0-1.21","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","72","577343","0.0-6.0-2.21","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide22.JPG","That was a bim.","",""
"","image-keyboard-response","73","577533","0.0-6.0-0.22","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide23.JPG","null","","","","",""
"","html-keyboard-response","74","578713","0.0-6.0-1.22","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","75","579723","0.0-6.0-2.22","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide23.JPG","That was a tob.","",""
"","image-keyboard-response","76","579913","0.0-6.0-0.23","FL","emk1tsfc0c","1280","720","en","dt05as10","null","","","","","","","","learning/Slide24.JPG","null","","","","",""
