"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","21504","0.0-0.0","FL","et4cc4zeqy","1366","768","de","er08an21","","","","","","","","","","","","","","",""
"","survey-html-form","1","30945","0.0-1.0","FL","et4cc4zeqy","1366","768","de","er08an21","9438.400000013644","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","185285","0.0-2.0-0.0","FL","et4cc4zeqy","1366","768","de","er08an21","154259.73000001977","","text/information.html","","","","","","","","","","","",""
"","external-html","3","231352","0.0-2.0-1.0","FL","et4cc4zeqy","1366","768","de","er08an21","45940.39500001236","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","365531","0.0-2.0-2.0","FL","et4cc4zeqy","1366","768","de","er08an21","134173.9649999945","{""codeword_enter"":""er08an21""}","","","","","","","","","","","","",""
"","instructions","5","408741","0.0-4.0","FL","et4cc4zeqy","1366","768","de","er08an21","NA","","","[{""page_index"":0,""viewing_time"":4272.555000003194},{""page_index"":1,""viewing_time"":37424.219999986235}]","instructions","","","","","","","","","",""
"","resize","6","534644","0.0-5.0","FL","et4cc4zeqy","1366","768","de","er08an21","","","","","","","334","2.1206349206349207","","","","","","",""
"","image-keyboard-response","7","534824","0.0-6.0-0.0","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","535984","0.0-6.0-1.0","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","536993","0.0-6.0-2.0","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","537174","0.0-6.0-0.1","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","538333","0.0-6.0-1.1","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","539338","0.0-6.0-2.1","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","539518","0.0-6.0-0.2","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","540677","0.0-6.0-1.2","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","541680","0.0-6.0-2.2","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","541860","0.0-6.0-0.3","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","543017","0.0-6.0-1.3","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","544022","0.0-6.0-2.3","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","544204","0.0-6.0-0.4","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","545365","0.0-6.0-1.4","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","546369","0.0-6.0-2.4","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","546550","0.0-6.0-0.5","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","547712","0.0-6.0-1.5","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","548715","0.0-6.0-2.5","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","548896","0.0-6.0-0.6","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","550058","0.0-6.0-1.6","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","551063","0.0-6.0-2.6","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","551243","0.0-6.0-0.7","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","552404","0.0-6.0-1.7","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","553414","0.0-6.0-2.7","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","553594","0.0-6.0-0.8","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","554756","0.0-6.0-1.8","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","555763","0.0-6.0-2.8","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","555944","0.0-6.0-0.9","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","557106","0.0-6.0-1.9","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","558108","0.0-6.0-2.9","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","558289","0.0-6.0-0.10","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","559451","0.0-6.0-1.10","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","560454","0.0-6.0-2.10","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","560635","0.0-6.0-0.11","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","561796","0.0-6.0-1.11","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","562799","0.0-6.0-2.11","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","562980","0.0-6.0-0.12","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","564143","0.0-6.0-1.12","FL","et4cc4zeqy","1366","768","de","er08an21","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
