"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3563","0.0-0.0","LF","et8whud6pz","1792","1120","en","er07el13","","","","","","","","","","","","","","",""
"","survey-html-form","1","7635","0.0-1.0","LF","et8whud6pz","1792","1120","en","er07el13","4070.5249999882653","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","100536","0.0-3.0-0.0","LF","et8whud6pz","1792","1120","en","er07el13","92812.68999993335","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","111971","0.0-3.0-1.0","LF","et8whud6pz","1792","1120","en","er07el13","11392.594999982975","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","185316","0.0-3.0-2.0","LF","et8whud6pz","1792","1120","en","er07el13","73344.91999994498","{""codeword_enter"":""er07el13""}","","","","","","","","","","","","",""
"","instructions","5","196465","0.0-4.0","LF","et8whud6pz","1792","1120","en","er07el13","NA","","","[{""page_index"":0,""viewing_time"":2492.489999975078},{""page_index"":1,""viewing_time"":7149.499999941327}]","instructions","","","","","","","","","",""
"","resize","6","250759","0.0-5.0","LF","et8whud6pz","1792","1120","en","er07el13","","","","","","","444","2.8190476190476192","","","","","","",""
"","html-keyboard-response","7","251766","0.0-6.0-0.0","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","252102","0.0-6.0-1.0","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","253108","0.0-6.0-2.0","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","254114","0.0-6.0-0.1","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","254450","0.0-6.0-1.1","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","255456","0.0-6.0-2.1","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","256463","0.0-6.0-0.2","LF","et8whud6pz","1792","1120","en","er07el13","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
