"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3199","0.0-0.0","FL","eyn4ys1wrs","1536","864","en","va07il15","","","","","","","","","","","","","","",""
"","survey-html-form","1","4546","0.0-1.0","FL","eyn4ys1wrs","1536","864","en","va07il15","1340.4650000011316","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","7995","0.0-3.0-0.0","FL","eyn4ys1wrs","1536","864","en","va07il15","3438.1049999938114","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","47443","0.0-3.0-1.0","FL","eyn4ys1wrs","1536","864","en","va07il15","39408.049999998184","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","129662","0.0-3.0-2.0","FL","eyn4ys1wrs","1536","864","en","va07il15","82215.2999999962","{""codeword_enter"":""va07il15""}","","","","","","","","","","","","",""
"","instructions","5","150477","0.0-4.0","FL","eyn4ys1wrs","1536","864","en","va07il15","NA","","","[{""page_index"":0,""viewing_time"":4011.480000001029},{""page_index"":1,""viewing_time"":15297.980000003008}]","instructions","","","","","","","","","",""
"","resize","6","233428","0.0-5.0","FL","eyn4ys1wrs","1536","864","en","va07il15","","","","","","","387","2.4571428571428573","","","","","","",""
"","image-keyboard-response","7","233608","0.0-6.0-0.0","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","234762","0.0-6.0-1.0","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","235765","0.0-6.0-2.0","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","235942","0.0-6.0-0.1","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","237095","0.0-6.0-1.1","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","238097","0.0-6.0-2.1","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","238275","0.0-6.0-0.2","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","239429","0.0-6.0-1.2","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","240431","0.0-6.0-2.2","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","240608","0.0-6.0-0.3","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","241762","0.0-6.0-1.3","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","242765","0.0-6.0-2.3","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","242945","0.0-6.0-0.4","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","244098","0.0-6.0-1.4","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","245101","0.0-6.0-2.4","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","245279","0.0-6.0-0.5","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","246432","0.0-6.0-1.5","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","247434","0.0-6.0-2.5","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","247612","0.0-6.0-0.6","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","248766","0.0-6.0-1.6","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","249769","0.0-6.0-2.6","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","249947","0.0-6.0-0.7","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","251100","0.0-6.0-1.7","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","252102","0.0-6.0-2.7","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","252281","0.0-6.0-0.8","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","253434","0.0-6.0-1.8","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","254436","0.0-6.0-2.8","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","254617","0.0-6.0-0.9","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","255769","0.0-6.0-1.9","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","256772","0.0-6.0-2.9","FL","eyn4ys1wrs","1536","864","en","va07il15","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
