"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","6779","0.0-0.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","","","","","","","","","","","","","","",""
"","survey-html-form","1","8876","0.0-1.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","2092.2099999152124","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","13441","0.0-3.0-0.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","4557.319999905303","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","19453","0.0-3.0-1.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","6004.855000181124","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","24282","0.0-3.0-2.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","4827.689999947324","{""codeword_enter"":""NE07SE16""}","","","","","","","","","","","","",""
"","instructions","5","29649","0.0-4.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","NA","","","[{""page_index"":0,""viewing_time"":2650.9799999184906},{""page_index"":1,""viewing_time"":1212.2599999420345}]","instructions","","","","","","","","","",""
"","resize","6","35025","0.0-5.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","","","","","","","360","2.2857142857142856","","","","","","",""
"","image-keyboard-response","7","35209","0.0-6.0-0.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","36382","0.0-6.0-1.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","37398","0.0-6.0-2.0","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","37579","0.0-6.0-0.1","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","38744","0.0-6.0-1.1","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","39762","0.0-6.0-2.1","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","39949","0.0-6.0-0.2","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","41116","0.0-6.0-1.2","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","42122","0.0-6.0-2.2","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","42310","0.0-6.0-0.3","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","43483","0.0-6.0-1.3","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","44485","0.0-6.0-2.3","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","44672","0.0-6.0-0.4","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","45841","0.0-6.0-1.4","FL","f00qbt8xgh","1536","864","en","NE07SE16","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
