"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","83732","0.0-0.0","LF","f0xfptzqrg","1366","768","de","ay05em02","","","","","","","","","","","","","","",""
"","survey-html-form","1","95872","0.0-1.0","LF","f0xfptzqrg","1366","768","de","ay05em02","12136.079999967478","{""language"":""de""}","","","","","","","","","","","","",""
"","external-html","2","241905","0.0-2.0-0.0","LF","f0xfptzqrg","1366","768","de","ay05em02","145961.959999986","","text/information.html","","","","","","","","","","","",""
"","external-html","3","309705","0.0-2.0-1.0","LF","f0xfptzqrg","1366","768","de","ay05em02","67719.37499998603","","text/consent.html","","","","","","","","","","","",""
"","survey-html-form","4","400604","0.0-2.0-2.0","LF","f0xfptzqrg","1366","768","de","ay05em02","90895.03999997396","{""codeword_enter"":""ay05em02""}","","","","","","","","","","","","",""
"","instructions","5","420887","0.0-4.0","LF","f0xfptzqrg","1366","768","de","ay05em02","NA","","","[{""page_index"":0,""viewing_time"":5463.019999908283},{""page_index"":1,""viewing_time"":13316.995000001043}]","instructions","","","","","","","","","",""
"","resize","6","480756","0.0-5.0","LF","f0xfptzqrg","1366","768","de","ay05em02","","","","","","","128","0.8126984126984127","","","","","","",""
"","html-keyboard-response","7","481762","0.0-6.0-0.0","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","482089","0.0-6.0-1.0","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","483090","0.0-6.0-2.0","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","484092","0.0-6.0-0.1","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","484421","0.0-6.0-1.1","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","485422","0.0-6.0-2.1","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","486423","0.0-6.0-0.2","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","486751","0.0-6.0-1.2","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","487754","0.0-6.0-2.2","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","488756","0.0-6.0-0.3","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","489083","0.0-6.0-1.3","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","490085","0.0-6.0-2.3","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","491087","0.0-6.0-0.4","LF","f0xfptzqrg","1366","768","de","ay05em02","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
