"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2989","0.0-0.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","","","","","","","","","","","","","","",""
"","survey-html-form","1","11287","0.0-1.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","8291.91999998875","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","26142","0.0-3.0-0.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","14793.905000027735","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","38710","0.0-3.0-1.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","12517.940000019735","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","121774","0.0-3.0-2.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","83058.61499998719","{""codeword_enter"":""NS08US09""}","","","","","","","","","","","","",""
"","instructions","5","141742","0.0-4.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","NA","","","[{""page_index"":0,""viewing_time"":4515.664999984438},{""page_index"":1,""viewing_time"":13943.430000013905}]","instructions","","","","","","","","","",""
"","resize","6","187286","0.0-5.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","","","","","","","466","2.9587301587301584","","","","","","",""
"","html-keyboard-response","7","188289","0.0-6.0-0.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","188630","0.0-6.0-1.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","189636","0.0-6.0-2.0","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","190652","0.0-6.0-0.1","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","190986","0.0-6.0-1.1","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","191996","0.0-6.0-2.1","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","193003","0.0-6.0-0.2","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","193346","0.0-6.0-1.2","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","194356","0.0-6.0-2.2","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","195374","0.0-6.0-0.3","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","195708","0.0-6.0-1.3","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","196715","0.0-6.0-2.3","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","197727","0.0-6.0-0.4","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","198064","0.0-6.0-1.4","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","199065","0.0-6.0-2.4","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","200073","0.0-6.0-0.5","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","200404","0.0-6.0-1.5","LF","f64ncrzxu3","1920","1080","en","NS08US09","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
