"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3900","0.0-0.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","","","","","","","","","","","","","","",""
"","survey-html-form","1","9365","0.0-1.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","5462.985000000004","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","37199","0.0-3.0-0.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","27712.08999999999","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","52014","0.0-3.0-1.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","14387.375000000022","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","147751","0.0-3.0-2.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","95734.64000000001","{""codeword_enter"":""ng06rd26""}","","","","","","","","","","","","",""
"","instructions","5","183920","0.0-4.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","NA","","","[{""page_index"":0,""viewing_time"":13000.874999999942},{""page_index"":1,""viewing_time"":21665.73000000007}]","instructions","","","","","","","","","",""
"","resize","6","369876","0.0-5.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","","","","","","","287","1.8222222222222222","","","","","","",""
"","html-keyboard-response","7","370878","0.0-6.0-0.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","371206","0.0-6.0-1.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","372207","0.0-6.0-2.0","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","373209","0.0-6.0-0.1","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","373537","0.0-6.0-1.1","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","374538","0.0-6.0-2.1","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","375540","0.0-6.0-0.2","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","375867","0.0-6.0-1.2","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","376868","0.0-6.0-2.2","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","377869","0.0-6.0-0.3","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","378196","0.0-6.0-1.3","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","379198","0.0-6.0-2.3","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","380199","0.0-6.0-0.4","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","380526","0.0-6.0-1.4","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","381528","0.0-6.0-2.4","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","382530","0.0-6.0-0.5","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","382857","0.0-6.0-1.5","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","383858","0.0-6.0-2.5","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","384861","0.0-6.0-0.6","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","385189","0.0-6.0-1.6","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","386190","0.0-6.0-2.6","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","387191","0.0-6.0-0.7","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","387518","0.0-6.0-1.7","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","388519","0.0-6.0-2.7","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","389521","0.0-6.0-0.8","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","389849","0.0-6.0-1.8","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","390850","0.0-6.0-2.8","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","391851","0.0-6.0-0.9","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","392179","0.0-6.0-1.9","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","393181","0.0-6.0-2.9","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","394182","0.0-6.0-0.10","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","394509","0.0-6.0-1.10","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","395511","0.0-6.0-2.10","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","396512","0.0-6.0-0.11","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","396840","0.0-6.0-1.11","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","397842","0.0-6.0-2.11","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","398844","0.0-6.0-0.12","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","399172","0.0-6.0-1.12","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","400173","0.0-6.0-2.12","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","401175","0.0-6.0-0.13","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","401504","0.0-6.0-1.13","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","402507","0.0-6.0-2.13","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","403508","0.0-6.0-0.14","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","403836","0.0-6.0-1.14","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","404838","0.0-6.0-2.14","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","405840","0.0-6.0-0.15","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","406167","0.0-6.0-1.15","LF","fnul5v7u0c","2752","1152","en","ng06rd26","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
