"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3916","0.0-0.0","LF","forzsbtguz","1440","900","en","ng06an28","","","","","","","","","","","","","","",""
"","survey-html-form","1","5956","0.0-1.0","LF","forzsbtguz","1440","900","en","ng06an28","2037.304999998014","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","63978","0.0-3.0-0.0","LF","forzsbtguz","1440","900","en","ng06an28","57995.24000000383","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","84017","0.0-3.0-1.0","LF","forzsbtguz","1440","900","en","ng06an28","19993.224999998347","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","295149","0.0-3.0-2.0","LF","forzsbtguz","1440","900","en","ng06an28","211125.62500000058","{""codeword_enter"":""ng06an28""}","","","","","","","","","","","","",""
"","instructions","5","326350","0.0-4.0","LF","forzsbtguz","1440","900","en","ng06an28","NA","","","[{""page_index"":0,""viewing_time"":21100.579999998445},{""page_index"":1,""viewing_time"":8592.329999999492}]","instructions","","","","","","","","","",""
"","resize","6","417229","0.0-5.0","LF","forzsbtguz","1440","900","en","ng06an28","","","","","","","429","2.723809523809524","","","","","","",""
"","html-keyboard-response","7","418233","0.0-6.0-0.0","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","418565","0.0-6.0-1.0","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","419567","0.0-6.0-2.0","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","420572","0.0-6.0-0.1","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","420904","0.0-6.0-1.1","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","421910","0.0-6.0-2.1","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","422915","0.0-6.0-0.2","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","423245","0.0-6.0-1.2","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","424252","0.0-6.0-2.2","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","425253","0.0-6.0-0.3","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","425589","0.0-6.0-1.3","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","426595","0.0-6.0-2.3","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","427601","0.0-6.0-0.4","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","427936","0.0-6.0-1.4","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","428942","0.0-6.0-2.4","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","429946","0.0-6.0-0.5","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","430275","0.0-6.0-1.5","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","431280","0.0-6.0-2.5","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","432283","0.0-6.0-0.6","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","432620","0.0-6.0-1.6","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","433627","0.0-6.0-2.6","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","434631","0.0-6.0-0.7","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","434963","0.0-6.0-1.7","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","435968","0.0-6.0-2.7","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","436972","0.0-6.0-0.8","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","437301","0.0-6.0-1.8","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","438302","0.0-6.0-2.8","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","439305","0.0-6.0-0.9","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","439641","0.0-6.0-1.9","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","440648","0.0-6.0-2.9","LF","forzsbtguz","1440","900","en","ng06an28","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
