"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","2513","0.0-0.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","","","","","","","","","","","","","","",""
"","survey-html-form","1","3632","0.0-1.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","1115.4250000836328","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","31438","0.0-3.0-0.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","27792.13499999605","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","106452","0.0-3.0-1.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","74925.68999994546","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","190657","0.0-3.0-2.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","84196.809999994","{""codeword_enter"":""LD05ND12""}","","","","","","","","","","","","",""
"","instructions","5","207169","0.0-4.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","NA","","","[{""page_index"":0,""viewing_time"":2328.1999999890104},{""page_index"":1,""viewing_time"":12663.709999993443}]","instructions","","","","","","","","","",""
"","resize","6","267550","0.0-5.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","","","","","","","382","2.425396825396825","","","","","","",""
"","image-keyboard-response","7","267735","0.0-6.0-0.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","8","268901","0.0-6.0-1.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","9","269918","0.0-6.0-2.0","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide1.JPG","That was a tob.","",""
"","image-keyboard-response","10","270102","0.0-6.0-0.1","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","11","271257","0.0-6.0-1.1","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","12","272260","0.0-6.0-2.1","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide2.JPG","That was a wug.","",""
"","image-keyboard-response","13","272445","0.0-6.0-0.2","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","14","273609","0.0-6.0-1.2","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","15","274611","0.0-6.0-2.2","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide3.JPG","That was a bim.","",""
"","image-keyboard-response","16","274796","0.0-6.0-0.3","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","17","275952","0.0-6.0-1.3","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","18","276969","0.0-6.0-2.3","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide4.JPG","That was a dep.","",""
"","image-keyboard-response","19","277154","0.0-6.0-0.4","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","20","278318","0.0-6.0-1.4","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","21","279319","0.0-6.0-2.4","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide5.JPG","That was a wug.","",""
"","image-keyboard-response","22","279507","0.0-6.0-0.5","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","23","280676","0.0-6.0-1.5","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","24","281694","0.0-6.0-2.5","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide6.JPG","That was a dep.","",""
"","image-keyboard-response","25","281878","0.0-6.0-0.6","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","26","283043","0.0-6.0-1.6","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","27","284045","0.0-6.0-2.6","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide7.JPG","That was a wug.","",""
"","image-keyboard-response","28","284229","0.0-6.0-0.7","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","29","285385","0.0-6.0-1.7","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
"","html-keyboard-response","30","286387","0.0-6.0-2.7","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide8.JPG","That was a bim.","",""
"","image-keyboard-response","31","286572","0.0-6.0-0.8","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","32","287737","0.0-6.0-1.8","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a wug.","null","","","","",""
"","html-keyboard-response","33","288739","0.0-6.0-2.8","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide9.JPG","That was a wug.","",""
"","image-keyboard-response","34","288924","0.0-6.0-0.9","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","35","290080","0.0-6.0-1.9","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","36","291082","0.0-6.0-2.9","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide10.JPG","That was a dep.","",""
"","image-keyboard-response","37","291261","0.0-6.0-0.10","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","38","292416","0.0-6.0-1.10","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a tob.","null","","","","",""
"","html-keyboard-response","39","293418","0.0-6.0-2.10","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide11.JPG","That was a tob.","",""
"","image-keyboard-response","40","293603","0.0-6.0-0.11","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","41","294767","0.0-6.0-1.11","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a dep.","null","","","","",""
"","html-keyboard-response","42","295769","0.0-6.0-2.11","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","FL","learning/Slide12.JPG","That was a dep.","",""
"","image-keyboard-response","43","295954","0.0-6.0-0.12","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","44","297110","0.0-6.0-1.12","FL","g0qt0dz9h6","1536","864","en","LD05ND12","null","","","","learningBlock1","","","","That was a bim.","null","","","","",""
