"success","trial_type","trial_index","time_elapsed","internal_node_id","condition","subject","screen_width","screen_height","language","codeword","rt","responses","url","view_history","test_part","final_height_px","final_width_px","scale_factor","stimulus","key_press","learningType","presentedImage","presentedLabel","button_pressed","response"
"true","fullscreen","0","3049","0.0-0.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","","","","","","","","","","","","","","",""
"","survey-html-form","1","5896","0.0-1.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","2840.054999996937","{""language"":""en""}","","","","","","","","","","","","",""
"","external-html","2","139298","0.0-3.0-0.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","133392.9199999984","","text/information_english.html","","","","","","","","","","","",""
"","external-html","3","294543","0.0-3.0-1.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","155182.11000000153","","text/consent_english.html","","","","","","","","","","","",""
"","survey-html-form","4","362179","0.0-3.0-2.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","67632.82999999868","{""codeword_enter"":""ER04LF09""}","","","","","","","","","","","","",""
"","instructions","5","404889","0.0-4.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","NA","","","[{""page_index"":0,""viewing_time"":3951.2599999980303},{""page_index"":1,""viewing_time"":37255.60000000044}]","instructions","","","","","","","","","",""
"","resize","6","491441","0.0-5.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","","","","","","","386","2.450793650793651","","","","","","",""
"","html-keyboard-response","7","492448","0.0-6.0-0.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","8","492779","0.0-6.0-1.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide1.JPG","null","","","","",""
"","html-keyboard-response","9","493784","0.0-6.0-2.0","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide1.JPG","This is a tob:","",""
"","html-keyboard-response","10","494789","0.0-6.0-0.1","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","11","495119","0.0-6.0-1.1","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide2.JPG","null","","","","",""
"","html-keyboard-response","12","496124","0.0-6.0-2.1","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide2.JPG","This is a wug:","",""
"","html-keyboard-response","13","497128","0.0-6.0-0.2","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","14","497458","0.0-6.0-1.2","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide3.JPG","null","","","","",""
"","html-keyboard-response","15","498461","0.0-6.0-2.2","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide3.JPG","This is a bim:","",""
"","html-keyboard-response","16","499465","0.0-6.0-0.3","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","17","499796","0.0-6.0-1.3","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide4.JPG","null","","","","",""
"","html-keyboard-response","18","500801","0.0-6.0-2.3","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide4.JPG","This is a dep:","",""
"","html-keyboard-response","19","501803","0.0-6.0-0.4","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","20","502135","0.0-6.0-1.4","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide5.JPG","null","","","","",""
"","html-keyboard-response","21","503141","0.0-6.0-2.4","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide5.JPG","This is a wug:","",""
"","html-keyboard-response","22","504144","0.0-6.0-0.5","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","23","504474","0.0-6.0-1.5","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide6.JPG","null","","","","",""
"","html-keyboard-response","24","505478","0.0-6.0-2.5","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide6.JPG","This is a dep:","",""
"","html-keyboard-response","25","506480","0.0-6.0-0.6","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","26","506810","0.0-6.0-1.6","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide7.JPG","null","","","","",""
"","html-keyboard-response","27","507813","0.0-6.0-2.6","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide7.JPG","This is a wug:","",""
"","html-keyboard-response","28","508818","0.0-6.0-0.7","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","29","509147","0.0-6.0-1.7","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide8.JPG","null","","","","",""
"","html-keyboard-response","30","510150","0.0-6.0-2.7","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide8.JPG","This is a bim:","",""
"","html-keyboard-response","31","511155","0.0-6.0-0.8","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","32","511486","0.0-6.0-1.8","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide9.JPG","null","","","","",""
"","html-keyboard-response","33","512489","0.0-6.0-2.8","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide9.JPG","This is a wug:","",""
"","html-keyboard-response","34","513492","0.0-6.0-0.9","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","35","513824","0.0-6.0-1.9","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide10.JPG","null","","","","",""
"","html-keyboard-response","36","514827","0.0-6.0-2.9","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide10.JPG","This is a dep:","",""
"","html-keyboard-response","37","515829","0.0-6.0-0.10","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","38","516159","0.0-6.0-1.10","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide11.JPG","null","","","","",""
"","html-keyboard-response","39","517164","0.0-6.0-2.10","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide11.JPG","This is a tob:","",""
"","html-keyboard-response","40","518168","0.0-6.0-0.11","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","41","518500","0.0-6.0-1.11","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide12.JPG","null","","","","",""
"","html-keyboard-response","42","519504","0.0-6.0-2.11","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide12.JPG","This is a dep:","",""
"","html-keyboard-response","43","520507","0.0-6.0-0.12","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","44","520838","0.0-6.0-1.12","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide13.JPG","null","","","","",""
"","html-keyboard-response","45","521841","0.0-6.0-2.12","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide13.JPG","This is a bim:","",""
"","html-keyboard-response","46","522845","0.0-6.0-0.13","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","47","523172","0.0-6.0-1.13","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide14.JPG","null","","","","",""
"","html-keyboard-response","48","524176","0.0-6.0-2.13","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide14.JPG","This is a wug:","",""
"","html-keyboard-response","49","525179","0.0-6.0-0.14","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","50","525507","0.0-6.0-1.14","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide15.JPG","null","","","","",""
"","html-keyboard-response","51","526513","0.0-6.0-2.14","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide15.JPG","This is a tob:","",""
"","html-keyboard-response","52","527517","0.0-6.0-0.15","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","53","527848","0.0-6.0-1.15","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide16.JPG","null","","","","",""
"","html-keyboard-response","54","528852","0.0-6.0-2.15","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide16.JPG","This is a dep:","",""
"","html-keyboard-response","55","529855","0.0-6.0-0.16","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","56","530188","0.0-6.0-1.16","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide17.JPG","null","","","","",""
"","html-keyboard-response","57","531190","0.0-6.0-2.16","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide17.JPG","This is a bim:","",""
"","html-keyboard-response","58","532194","0.0-6.0-0.17","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","59","532525","0.0-6.0-1.17","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide18.JPG","null","","","","",""
"","html-keyboard-response","60","533527","0.0-6.0-2.17","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide18.JPG","This is a tob:","",""
"","html-keyboard-response","61","534532","0.0-6.0-0.18","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","62","534862","0.0-6.0-1.18","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide19.JPG","null","","","","",""
"","html-keyboard-response","63","535866","0.0-6.0-2.18","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide19.JPG","This is a wug:","",""
"","html-keyboard-response","64","536869","0.0-6.0-0.19","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","65","537199","0.0-6.0-1.19","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide20.JPG","null","","","","",""
"","html-keyboard-response","66","538206","0.0-6.0-2.19","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide20.JPG","This is a bim:","",""
"","html-keyboard-response","67","539208","0.0-6.0-0.20","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","68","539541","0.0-6.0-1.20","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide21.JPG","null","","","","",""
"","html-keyboard-response","69","540550","0.0-6.0-2.20","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide21.JPG","This is a dep:","",""
"","html-keyboard-response","70","541554","0.0-6.0-0.21","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a bim:","null","","","","",""
"","image-keyboard-response","71","541885","0.0-6.0-1.21","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide22.JPG","null","","","","",""
"","html-keyboard-response","72","542887","0.0-6.0-2.21","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide22.JPG","This is a bim:","",""
"","html-keyboard-response","73","543890","0.0-6.0-0.22","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a tob:","null","","","","",""
"","image-keyboard-response","74","544220","0.0-6.0-1.22","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide23.JPG","null","","","","",""
"","html-keyboard-response","75","545222","0.0-6.0-2.22","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide23.JPG","This is a tob:","",""
"","html-keyboard-response","76","546225","0.0-6.0-0.23","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","77","546555","0.0-6.0-1.23","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide24.JPG","null","","","","",""
"","html-keyboard-response","78","547559","0.0-6.0-2.23","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide24.JPG","This is a wug:","",""
"","html-keyboard-response","79","548563","0.0-6.0-0.24","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a dep:","null","","","","",""
"","image-keyboard-response","80","548892","0.0-6.0-1.24","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide25.JPG","null","","","","",""
"","html-keyboard-response","81","549897","0.0-6.0-2.24","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide25.JPG","This is a dep:","",""
"","html-keyboard-response","82","550900","0.0-6.0-0.25","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","This is a wug:","null","","","","",""
"","image-keyboard-response","83","551230","0.0-6.0-1.25","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","","","","","learning/Slide26.JPG","null","","","","",""
"","html-keyboard-response","84","552234","0.0-6.0-2.25","LF","g4m3kbu4rq","1536","864","en","ER04LF09","null","","","","learningBlock1","","","","<div style=""font-size:60px;""> </div>","null","LF","learning/Slide26.JPG","This is a wug:","",""
